participant,target,best_classifier,best_feature_family,best_channel_subset,best_feature_count_request,best_ba,fold_ba_sd,fold_ba_min,fold_ba_max,fold_ba_range,oof_sensitivity,oof_specificity,oof_sensitivity_specificity_gap,oof_absolute_sensitivity_specificity_gap,mean_pairwise_selected_feature_jaccard,n_features_selected_in_at_least_80pct_folds,stable_selected_feature_names,retained_trials,low_count,high_count,minority_class_count,minority_class_fraction,median_absolute_cohen_d_all_eeg,maximum_absolute_cohen_d_all_eeg,maximum_absolute_rank_biserial_all_eeg,top_rank_biserial_feature,top_rank_biserial_effect,standardized_centroid_distance_all_eeg,mean_within_class_distance_all_eeg,centroid_to_within_distance_ratio_all_eeg,median_candidate_ba,mean_candidate_ba,best_representation,best_representation_median_ba,second_representation,second_representation_median_ba,representation_median_spread_ba,best_classifier_by_candidate_median,best_classifier_candidate_median_ba,classifier_median_spread_ba,severe_class_imbalance,threshold_optimization_plausible,diagnostic_classification,diagnostic_rationale
P01,arousal,logreg,paper_compact,frontal_central,10,0.5818070818070817,0.0830496834108907,0.4957264957264957,0.7008547008547008,0.20512820512820512,0.6716417910447762,0.4888888888888889,0.1827529021558873,0.1827529021558873,0.4838827838827838,6,eeg_bp_beta__C4;eeg_sd__Fz;eeg_hc__Fz;eeg_se_gamma__C4;eeg_bp_beta__C3;eeg_hm__Fz,112,45,67,45,0.4017857142857143,0.12346331941330356,0.48431642651889795,0.2882255389718076,eeg_se_gamma__C4,0.2882255389718076,2.0682862041942167,15.143951175526436,0.13657507081353348,0.5135836385836385,0.5111891195224528,paper_compact|frontal_central,0.5307997557997559,paper_compact|all_channels,0.5014957264957265,0.029304029304029422,logreg,0.5300671550671551,0.053601953601953634,False,False,unclear,not in focused weak stratum (<0.55 BA)
P02,arousal,svm,paper_compact,frontal_central,8,0.4967032967032967,0.0679090047769744,0.3958333333333333,0.5833333333333333,0.18749999999999994,0.7049180327868853,0.28205128205128205,0.4228667507356032,0.4228667507356032,0.21465201465201464,2,eeg_bp_gamma__Cz;eeg_sd__C4,100,39,61,39,0.39,0.14883020352198958,0.507838798538025,0.2475830180748213,eeg_bp_delta__C3,-0.2475830180748213,2.265383573414596,15.030149898124844,0.15072262011819487,0.43823260073260073,0.4364061864061864,paper_compact|frontal_central,0.4575091575091575,all_eeg|all_channels,0.4378205128205128,0.019688644688644674,svm,0.44645146520146517,0.02119963369963368,False,False,unclear,weak BA without a sufficiently specific descriptive pattern
P03,arousal,gnb,all_eeg,all_channels,8,0.5833333333333334,0.213762588973011,0.3333333333333333,0.9166666666666669,0.5833333333333335,0.391304347826087,0.7666666666666667,-0.37536231884057975,0.37536231884057975,0.32867132867132864,3,eeg_bp_gamma__Pz;eeg_se_alpha__PO8;eeg_se_theta__Cz,53,30,23,23,0.4339622641509434,0.15473454928580366,0.7320858965528251,0.35072463768115947,eeg_se_theta__Cz,-0.35072463768115947,2.4802006979225917,15.398434815796726,0.16106836360915325,0.4733333333333333,0.4624074074074074,all_eeg|all_channels,0.5166666666666666,paper_compact|all_channels,0.4608333333333333,0.05583333333333329,gnb,0.49833333333333335,0.09000000000000002,False,False,unclear,not in focused weak stratum (<0.55 BA)
P04,arousal,logreg,all_eeg,all_channels,8,0.5157051282051283,0.1406445170545756,0.2692307692307692,0.6057692307692308,0.3365384615384616,0.6031746031746031,0.4358974358974359,0.16727716727716724,0.16727716727716724,0.17516483516483516,2,eeg_bp_alpha__Fz;eeg_bp_beta__Fz,102,39,63,39,0.38235294117647056,0.14375365745423685,0.4505653291261156,0.30728530728530723,eeg_bp_alpha__Pz,0.30728530728530723,2.1116586885346016,15.00906884016745,0.14069218490645838,0.46751373626373627,0.4711665649165649,paper_compact|all_channels,0.4837225274725274,paper_compact|frontal_central,0.47273351648351647,0.01098901098901095,gnb,0.49116300366300364,0.03342490842490836,False,False,unclear,weak BA without a sufficiently specific descriptive pattern
P05,arousal,logreg,all_eeg,all_channels,8,0.6428571428571429,0.0698119527212666,0.5595238095238095,0.746031746031746,0.1865079365079365,0.6857142857142857,0.6,0.08571428571428574,0.08571428571428574,0.3403929403929404,3,eeg_sd__PO7;eeg_se__PO7;eeg_bp_beta__PO7,115,45,70,45,0.391304347826087,0.1033497619218097,0.6566978026643638,0.3314285714285714,eeg_sd__PO7,-0.3314285714285714,2.197449043812903,15.272128218826118,0.14388623591465685,0.5492063492063493,0.5209876543209877,all_eeg|all_channels,0.5753968253968254,paper_compact|all_channels,0.5492063492063493,0.026190476190476097,logreg,0.5515873015873016,0.014682539682539741,False,False,unclear,not in focused weak stratum (<0.55 BA)
P06,arousal,logreg,all_eeg,all_channels,10,0.6549950049950051,0.0973616553722993,0.5076923076923077,0.7714285714285715,0.2637362637362638,0.6716417910447762,0.6346153846153846,0.03702640642939159,0.03702640642939159,0.34233821733821734,5,eeg_sd__PO8;eeg_se_alpha__Cz;eeg_se_alpha__Fz;eeg_sd__C4;eeg_se_alpha__PO8,119,52,67,52,0.4369747899159664,0.13074969669461334,0.5488867200321044,0.33180252583237657,eeg_se_alpha__Cz,-0.33180252583237657,2.0109612592492763,14.622524921817034,0.1375248987436425,0.5027022977022977,0.5342174492174493,all_eeg|all_channels,0.6407392607392608,paper_compact|all_channels,0.5004295704295705,0.14030969030969032,svm,0.5129020979020978,0.02717782217782211,False,False,unclear,robust reference; no weakness mechanism assigned
P07,arousal,gnb,paper_compact,frontal_central,10,0.5566666666666666,0.0977880360780397,0.425,0.7,0.27499999999999997,0.35294117647058826,0.78,-0.42705882352941177,0.42705882352941177,0.4639194139194139,7,eeg_bp_beta__C3;eeg_sd__Cz;eeg_mf_hz__C3;eeg_bp_beta__Fz;eeg_hc__Cz;eeg_hc__C3;eeg_mf_hz__Cz,117,100,17,17,0.1452991452991453,0.27018079382376714,0.6798835173362797,0.4152941176470588,eeg_hc__Cz,0.4152941176470588,3.6270653440755662,14.693288962532641,0.24685183510134814,0.49499999999999994,0.4882407407407407,paper_compact|frontal_central,0.5108333333333333,paper_compact|all_channels,0.5075000000000001,0.0033333333333331883,gnb,0.5166666666666666,0.036666666666666625,True,True,unclear,not in focused weak stratum (<0.55 BA)
P08,arousal,gnb,paper_compact,frontal_central,10,0.5687878787878787,0.1161914761797214,0.3636363636363636,0.6363636363636364,0.27272727272727276,0.7037037037037037,0.42857142857142855,0.2751322751322752,0.2751322751322752,0.34740896358543416,5,eeg_se_beta__Fz;eeg_se_beta__Cz;eeg_se_beta__C3;eeg_hc__Fz;eeg_bp_beta__Fz,110,56,54,54,0.4909090909090909,0.11957055617751351,0.45992082204464907,0.29100529100529104,eeg_se_gamma__PO8,-0.29100529100529104,1.9407450008250142,14.968041446832508,0.12965924818678992,0.5159090909090909,0.5086700336700337,paper_compact|frontal_central,0.5357575757575758,paper_compact|all_channels,0.5200757575757575,0.01568181818181824,logreg,0.519621212121212,0.0111363636363635,False,False,unclear,not in focused weak stratum (<0.55 BA)
P09,arousal,gnb,paper_compact,all_channels,10,0.6473214285714286,0.0958002845262274,0.5401785714285714,0.7946428571428572,0.2544642857142858,0.8875,0.40540540540540543,0.4820945945945945,0.4820945945945945,0.5234432234432235,7,eeg_bp_beta__Cz;eeg_bp_beta__Fz;eeg_bp_beta__Oz;eeg_bp_gamma__PO8;eeg_bp_beta__PO7;eeg_hm__PO8;eeg_bp_beta__PO8,117,37,80,37,0.3162393162393162,0.17942320270407613,0.7966076704856976,0.4682432432432433,eeg_bp_beta__PO8,-0.4682432432432433,3.0561071573483805,15.561013825863789,0.1963951186952137,0.5714285714285714,0.5775297619047619,paper_compact|all_channels,0.5964285714285713,all_eeg|all_channels,0.5915178571428571,0.004910714285714213,gnb,0.6183035714285714,0.0625,False,False,unclear,not in focused weak stratum (<0.55 BA)
P10,arousal,svm,paper_compact,all_channels,10,0.5016899766899767,0.1346835441325762,0.2916666666666666,0.6538461538461539,0.3621794871794873,0.578125,0.42857142857142855,0.14955357142857145,0.14955357142857145,0.2830999066293184,4,eeg_hm__C4;eeg_hm__C3;eeg_se_gamma__PO7;eeg_mf_hz__C4,120,56,64,56,0.4666666666666667,0.120614626764586,0.46932754945377825,0.2717633928571429,eeg_hm__C4,-0.2717633928571429,1.9376308405199574,15.062470931695767,0.12863964015642515,0.4744172494172494,0.4679584304584304,all_eeg|all_channels,0.47741841491841486,paper_compact|frontal_central,0.4713869463869464,0.006031468531468465,gnb,0.47741841491841486,0.022989510489510423,False,False,likely weak/no separable signal,low all-EEG rank separation and low centroid-to-within ratio
