participant,target,modality,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,new_ge_060,old_ge_065,new_ge_065
P01,arousal,eeg,0.5414529914529915,0.5818070818070817,0.04035409035409021,True,False,False,False,False
P02,arousal,eeg,0.525915750915751,0.4967032967032967,-0.02921245421245433,False,False,False,False,False
P03,arousal,eeg,0.5716666666666667,0.5833333333333334,0.011666666666666714,True,False,False,False,False
P04,arousal,eeg,0.6112637362637362,0.5157051282051283,-0.09555860805860794,False,True,False,False,False
P05,arousal,eeg,0.6007936507936508,0.6428571428571429,0.042063492063492136,True,True,True,False,False
P06,arousal,eeg,0.6171728271728272,0.6549950049950051,0.037822177822177894,True,True,True,False,True
P07,arousal,eeg,0.51,0.5566666666666666,0.046666666666666634,True,False,False,False,False
P08,arousal,eeg,0.5604545454545454,0.5687878787878787,0.008333333333333304,True,False,False,False,False
P09,arousal,eeg,0.6535714285714286,0.6473214285714286,-0.006249999999999978,False,True,True,True,False
P10,arousal,eeg,0.509965034965035,0.5016899766899767,-0.008275058275058256,False,False,False,False,False
P11,arousal,eeg,0.5576723276723277,0.5851448551448551,0.027472527472527486,True,False,False,False,False
P12,arousal,eeg,0.5,0.5862068965517242,0.0862068965517242,True,False,False,False,False
P13,arousal,eeg,0.6559090909090909,0.6392929292929292,-0.01661616161616164,False,True,True,True,False
P14,arousal,eeg,0.558076923076923,0.6201282051282051,0.062051282051282075,True,False,True,False,False
P15,arousal,eeg,0.5790196078431371,0.5216666666666667,-0.057352941176470384,False,False,False,False,False
P16,arousal,eeg,0.6255555555555555,0.6788888888888889,0.053333333333333344,True,True,True,False,True
P17,arousal,eeg,0.619000933706816,0.626890756302521,0.007889822595705032,True,True,True,False,False
P18,arousal,eeg,0.5847902097902098,0.5952797202797203,0.010489510489510523,True,False,False,False,False
P19,arousal,eeg,0.6573426573426573,0.7041958041958042,0.0468531468531469,True,True,True,True,True
P20,arousal,eeg,0.562948717948718,0.5215384615384615,-0.04141025641025653,False,False,False,False,False
P21,arousal,eeg,0.5792735042735042,0.6003205128205128,0.021047008547008583,True,False,True,False,False
P22,arousal,eeg,0.5841269841269842,0.594920634920635,0.0107936507936508,True,False,False,False,False
P23,arousal,eeg,0.480672268907563,0.5131827731092437,0.03251050420168067,True,False,False,False,False
P24,arousal,eeg,0.5969463869463869,0.5647086247086247,-0.0322377622377622,False,False,False,False,False
P25,arousal,eeg,0.5947852147852147,0.6008691308691309,0.006083916083916119,True,False,True,False,False
P26,arousal,eeg,0.5819047619047619,0.6258730158730159,0.04396825396825399,True,False,True,False,False
P27,arousal,eeg,0.5381318681318682,0.5831318681318681,0.04499999999999993,True,False,False,False,False
P28,arousal,eeg,0.5092857142857142,0.5294642857142857,0.02017857142857149,True,False,False,False,False
P29,arousal,eeg,0.5754761904761905,0.5428571428571429,-0.03261904761904755,False,False,False,False,False
P30,arousal,eeg,0.5022222222222222,0.5,-0.0022222222222222365,False,False,False,False,False
P31,arousal,eeg,0.5371794871794872,0.5,-0.03717948717948716,False,False,False,False,False
P32,arousal,eeg,0.5378571428571428,0.6264285714285714,0.08857142857142863,True,False,True,False,False
P33,arousal,eeg,0.5098039215686274,0.515546218487395,0.005742296918767598,True,False,False,False,False
P34,arousal,eeg,0.5661239495798319,0.6445903361344538,0.0784663865546219,True,False,True,False,False
P35,arousal,eeg,0.5796428571428571,0.5876785714285714,0.008035714285714257,True,False,False,False,False
P36,arousal,eeg,0.6525000000000001,0.70375,0.05124999999999991,True,True,True,True,True
P37,arousal,eeg,0.5527777777777778,0.5598039215686275,0.007026143790849648,True,False,False,False,False
P38,arousal,eeg,0.5606349206349206,0.5726984126984127,0.01206349206349211,True,False,False,False,False
P39,arousal,eeg,0.5654761904761905,0.6564285714285714,0.0909523809523809,True,False,True,False,True
P40,arousal,eeg,0.5407936507936508,0.5503174603174603,0.00952380952380949,True,False,False,False,False
P41,arousal,eeg,0.5874236874236874,0.5877411477411478,0.00031746031746038295,True,False,False,False,False
P42,arousal,eeg,0.5742857142857143,0.5642857142857143,-0.010000000000000009,False,False,False,False,False
P43,arousal,eeg,0.5473015873015873,0.5688888888888888,0.02158730158730149,True,False,False,False,False
P44,arousal,eeg,0.5591108891108891,0.6272627372627373,0.06815184815184816,True,False,True,False,False
P45,arousal,eeg,0.5203396603396604,0.5583616383616384,0.03802197802197804,True,False,False,False,False
P46,arousal,eeg,0.6009803921568627,0.5866946778711485,-0.014285714285714235,False,True,False,False,False
P01,arousal,face,0.6065079365079364,0.6090476190476191,0.0025396825396826195,True,True,True,False,False
P02,arousal,face,0.5068376068376068,0.5078296703296703,0.0009920634920634885,True,False,False,False,False
P03,arousal,face,0.575,0.575,0.0,False,False,False,False,False
P04,arousal,face,0.5977777777777777,0.6088888888888888,0.011111111111111072,True,False,True,False,False
P05,arousal,face,0.5215873015873015,0.5215873015873015,0.0,False,False,False,False,False
P06,arousal,face,0.5706793206793207,0.5706793206793207,0.0,False,False,False,False,False
P07,arousal,face,0.5390476190476191,0.5390476190476191,0.0,False,False,False,False,False
P08,arousal,face,0.5242424242424242,0.5242424242424242,0.0,False,False,False,False,False
P09,arousal,face,0.4944852941176471,0.4944852941176471,0.0,False,False,False,False,False
P10,arousal,face,0.5697552447552447,0.5629370629370629,-0.006818181818181834,False,False,False,False,False
P11,arousal,face,0.5822277722277722,0.5953046953046953,0.013076923076923097,True,False,False,False,False
P12,arousal,face,0.5,0.5,0.0,False,False,False,False,False
P13,arousal,face,0.5924908424908425,0.5416239316239316,-0.050866910866910864,False,False,False,False,False
P14,arousal,face,0.5682717282717282,0.5682717282717282,0.0,False,False,False,False,False
P15,arousal,face,0.587953216374269,0.587953216374269,0.0,False,False,False,False,False
P16,arousal,face,0.5662499999999999,0.6334722222222222,0.0672222222222223,True,False,True,False,False
P17,arousal,face,0.5450513538748833,0.580532212885154,0.03548085901027065,True,False,False,False,False
