old_best_modality,old_best_ba,old_best_classifier,old_feature_count_request,old_feature_count_resolved,participant,target,new_best_modality,new_best_ba,new_best_classifier,new_feature_family,new_channel_subset,new_feature_count_request,new_feature_count_resolved,delta_ba,comparison_outcome
multimodal,0.6357753357753357,knn,5,5,P01,arousal,face,0.6090476190476191,logreg,face_geometry,all_face,5,5,-0.026727716727716677,worsened
eeg,0.525915750915751,svm,all,all,P02,arousal,face,0.5078296703296703,logreg,face_geometry,all_face,5,5,-0.018086080586080744,worsened
face,0.575,gnb,10,10,P03,arousal,eeg,0.5833333333333334,gnb,all_eeg,all_channels,8,8,0.008333333333333415,improved
eeg,0.6112637362637362,knn,all,all,P04,arousal,face,0.6088888888888888,svm,face_geometry,all_face,all,all,-0.0023748473748473886,worsened
eeg,0.6007936507936508,svm,20,20,P05,arousal,eeg,0.6428571428571429,logreg,all_eeg,all_channels,8,8,0.042063492063492136,improved
multimodal,0.6779420579420579,svm,10,10,P06,arousal,multimodal,0.6821378621378621,svm,all_eeg_plus_face,all_channels,10,10,0.004195804195804231,improved
face,0.5390476190476191,gnb,5,5,P07,arousal,multimodal,0.5900000000000001,logreg,all_eeg_plus_face,all_channels,20,20,0.05095238095238097,improved
eeg,0.5604545454545454,gnb,all,all,P08,arousal,eeg,0.5687878787878787,gnb,paper_compact,frontal_central,10,10,0.008333333333333304,improved
multimodal,0.6598214285714286,gnb,all,all,P09,arousal,eeg,0.6473214285714286,gnb,paper_compact,all_channels,10,10,-0.012499999999999956,worsened
face,0.5697552447552447,knn,10,10,P10,arousal,face,0.5629370629370629,logreg,face_geometry,all_face,5,5,-0.006818181818181834,worsened
face,0.5822277722277722,knn,10,10,P11,arousal,face,0.5953046953046953,logreg,face_geometry,all_face,all,all,0.013076923076923097,improved
eeg,0.5,gnb,all,all,P12,arousal,eeg,0.5862068965517242,svm,paper_compact,frontal_central,8,8,0.0862068965517242,improved
multimodal,0.6581818181818182,svm,20,20,P13,arousal,multimodal,0.6581818181818182,svm,all_eeg_plus_face,all_channels,20,20,0.0,tied
multimodal,0.5807692307692307,svm,20,20,P14,arousal,eeg,0.6201282051282051,logreg,paper_compact,all_channels,10,10,0.0393589743589744,improved
