mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,gnb,10,10,eeg_hc__PO7,46,46,1.0,46.248379903359194
general,arousal,eeg,gnb,10,10,eeg_mf_hz__C3,46,46,1.0,41.47019023020746
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Pz,44,46,0.9565217391304348,55.83544857983422
general,arousal,eeg,gnb,10,10,eeg_hc__PO8,44,46,0.9565217391304348,34.8614565353747
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Pz,42,46,0.9130434782608695,30.983078647921097
general,arousal,eeg,gnb,10,10,eeg_hc__C3,42,46,0.9130434782608695,31.125434093690522
general,arousal,eeg,gnb,10,10,eeg_hm__Fz,42,46,0.9130434782608695,32.081358140164255
general,arousal,eeg,gnb,10,10,eeg_hm__PO8,36,46,0.782608695652174,30.66881989896471
general,arousal,eeg,gnb,10,10,eeg_hm__PO7,31,46,0.6739130434782609,30.1962248362151
general,arousal,eeg,gnb,10,10,eeg_se_gamma__C3,27,46,0.5869565217391305,29.435533142109875
general,arousal,eeg,gnb,10,10,eeg_hc__Oz,16,46,0.34782608695652173,28.411630136981927
general,arousal,eeg,gnb,10,10,eeg_hm__Cz,15,46,0.32608695652173914,28.801610491154744
general,arousal,eeg,gnb,10,10,eeg_sd__Pz,15,46,0.32608695652173914,28.347708837582065
general,arousal,eeg,gnb,10,10,eeg_hm__C3,7,46,0.15217391304347827,27.730037139452126
general,arousal,eeg,gnb,10,10,eeg_hc__Fz,2,46,0.043478260869565216,26.192956279031034
general,arousal,eeg,gnb,10,10,eeg_hm__Oz,2,46,0.043478260869565216,24.67394729045588
general,arousal,eeg,gnb,10,10,eeg_se_gamma__C4,2,46,0.043478260869565216,24.71228249804593
general,arousal,eeg,gnb,10,10,eeg_mf_hz__PO7,1,46,0.021739130434782608,22.67244158108706
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C3,0,46,0.0,3.0964634270486644
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C4,0,46,0.0,12.775745717540639
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Cz,0,46,0.0,6.618053333030788
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Fz,0,46,0.0,7.47863594526284
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Oz,0,46,0.0,0.14436580490997453
