mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,eeg,gnb,10,10,46,0.49563085087177866,0.0349195580696199,0.4974627190619838,0.4059123649459784,0.5769230769230769,0.561656402833054,0.5916280958943892,0.8126992828907874,0.655108712928244
general,COHORT,arousal,eeg,gnb,20,20,46,0.5011995093205777,0.046929239411862125,0.4927727217570683,0.42031134173461826,0.6648351648351649,0.5725056589488214,0.5917854925621516,0.7212279957236499,0.6146793732907009
general,COHORT,arousal,eeg,gnb,5,5,46,0.49705225236632833,0.026206258096099774,0.5,0.40625,0.559959349593496,0.5772999481308306,0.5914033947435509,0.8971486527246096,0.692119906514472
general,COHORT,arousal,eeg,gnb,all,all,46,0.5013434890843975,0.044289095329807876,0.504275946571343,0.39655172413793105,0.5911360799001248,0.4872758488643402,0.6319928754241436,0.3192407625201062,0.36401888423726786
general,COHORT,arousal,eeg,knn,10,10,46,0.5011374856170637,0.05630417450756729,0.5016158672408673,0.30603448275862066,0.6153846153846154,0.5429122833963371,0.5953299637458777,0.7068057726298143,0.6301424487412423
general,COHORT,arousal,eeg,knn,20,20,46,0.49547140583788024,0.03659130838766672,0.4945826523160384,0.4051724137931034,0.5773529411764706,0.5488351359965781,0.5939575143325687,0.7246244050567645,0.6388796746887607
general,COHORT,arousal,eeg,knn,5,5,46,0.4958992333582665,0.04764696717938964,0.49974959680842035,0.38362068965517243,0.6045568039950062,0.5383565829185138,0.5909327897448121,0.6994030029382872,0.6235289331194568
general,COHORT,arousal,eeg,knn,all,all,46,0.49132139894256843,0.04464689012773951,0.49449095022624434,0.39,0.5809677419354838,0.5367980979344938,0.5892788095225234,0.7301736191767797,0.6348883933704436
general,COHORT,arousal,eeg,svm,10,10,46,0.5025348057746466,0.022938776520303968,0.5,0.4240177909562639,0.5525067750677507,0.5849662027007547,0.595030985709197,0.9293095940997784,0.7091339541415257
general,COHORT,arousal,eeg,svm,20,20,46,0.5061097519472458,0.0289079908685563,0.5,0.44483870967741934,0.6272727272727272,0.596617066840697,0.5987866449059105,0.9223666661449983,0.7116638224118198
general,COHORT,arousal,eeg,svm,5,5,46,0.500034725782219,0.01746143932140476,0.5,0.43778280542986425,0.5434282427379925,0.588164269250844,0.5938875598333947,0.9548240957752351,0.7169091985966394
general,COHORT,arousal,eeg,svm,all,all,46,0.49147820032968953,0.031213790347586062,0.49720544139694856,0.3942307692307692,0.5457290767903364,0.5799350611503687,0.5887502419372479,0.8346116711627407,0.6725964303384157
general,COHORT,arousal,face,gnb,10,10,46,0.5054366206420847,0.03707751300353623,0.5,0.4195804195804196,0.6111111111111112,0.5715757930241196,0.6030493261204132,0.7873436661856207,0.6427289006299703
general,COHORT,arousal,face,gnb,20,10,46,0.5054366206420847,0.03707751300353623,0.5,0.4195804195804196,0.6111111111111112,0.5715757930241196,0.6030493261204132,0.7873436661856207,0.6427289006299703
general,COHORT,arousal,face,gnb,5,5,46,0.4998047655755336,0.03294172025825718,0.5,0.425,0.6022222222222222,0.5755449925557452,0.5999774120317966,0.8148189317843766,0.655694025754393
general,COHORT,arousal,face,gnb,all,all,46,0.5054366206420847,0.03707751300353623,0.5,0.4195804195804196,0.6111111111111112,0.5715757930241196,0.6030493261204132,0.7873436661856207,0.6427289006299703
general,COHORT,arousal,face,knn,10,10,46,0.4998207048673231,0.04473496804275987,0.5014146890552338,0.3846153846153846,0.5814285714285714,0.5533948997377077,0.5914425423322098,0.6695808812800482,0.6140219251278854
general,COHORT,arousal,face,knn,20,10,46,0.4998207048673231,0.04473496804275987,0.5014146890552338,0.3846153846153846,0.5814285714285714,0.5533948997377077,0.5914425423322098,0.6695808812800482,0.6140219251278854
general,COHORT,arousal,face,knn,5,5,46,0.4943718389390133,0.05051638431421566,0.5000782078862511,0.3879310344827586,0.6393540669856459,0.5401828643122781,0.594811870731652,0.6883833520995986,0.6203720433363721
general,COHORT,arousal,face,knn,all,all,46,0.4998207048673231,0.04473496804275987,0.5014146890552338,0.3846153846153846,0.5814285714285714,0.5533948997377077,0.5914425423322098,0.6695808812800482,0.6140219251278854
general,COHORT,arousal,face,svm,10,10,46,0.5063756074175193,0.03238279997778263,0.5,0.43558729233459637,0.6363636363636364,0.6057543454340477,0.5983644843130689,0.9057233136894822,0.7074267263795986
general,COHORT,arousal,face,svm,20,10,46,0.5063756074175193,0.03238279997778263,0.5,0.43558729233459637,0.6363636363636364,0.6057543454340477,0.5983644843130689,0.9057233136894822,0.7074267263795986
general,COHORT,arousal,face,svm,5,5,46,0.5070748255596685,0.01962000921638265,0.5,0.48039215686274506,0.5763574660633484,0.5955820537565006,0.6052417654310356,0.8969981020341455,0.6967546706985195
general,COHORT,arousal,face,svm,all,all,46,0.5063756074175193,0.03238279997778263,0.5,0.43558729233459637,0.6363636363636364,0.6057543454340477,0.5983644843130689,0.9057233136894822,0.7074267263795986
general,COHORT,arousal,multimodal,gnb,10,10,46,0.5005366373145502,0.03970789973985341,0.5,0.3674969987995198,0.5888111888111888,0.5672018485844847,0.5932462628232159,0.8498009384855678,0.67443924293156
general,COHORT,arousal,multimodal,gnb,20,20,46,0.5041563738105775,0.04574366882905272,0.49735605170387776,0.4202488687782805,0.6888736263736264,0.5802841958748293,0.5990140405183455,0.7482218974013122,0.6348158083552566
general,COHORT,arousal,multimodal,gnb,5,5,46,0.49996770084129893,0.028441144243246796,0.5,0.41628959276018096,0.5681622088006902,0.58231734728461,0.5929663510588695,0.9085737636320421,0.6989935950004977
general,COHORT,arousal,multimodal,gnb,all,all,46,0.5035436423795896,0.044706319263271746,0.5047056072243574,0.3793103448275862,0.577152600170503,0.4944341114219875,0.6346434731466432,0.32325930031314876,0.3697324293064054
general,COHORT,arousal,multimodal,knn,10,10,46,0.5026868887595899,0.04862791422869698,0.49429280189893393,0.4112407862407862,0.644078144078144,0.5599940267032814,0.5970750432921734,0.715261141329348,0.6396890906815872
general,COHORT,arousal,multimodal,knn,20,20,46,0.5014163648411579,0.04579125619353879,0.4916095417740155,0.41349206349206347,0.590964590964591,0.551464124328555,0.5947769653109013,0.7057578610611297,0.6300594163087527
general,COHORT,arousal,multimodal,knn,5,5,46,0.48934981164767477,0.054017907753779855,0.4877144607843137,0.33913043478260874,0.6511764705882352,0.5382701973115086,0.5863831297999265,0.6914890280657433,0.6212700986785713
general,COHORT,arousal,multimodal,knn,all,all,46,0.491743094319483,0.04706246029585163,0.49323527720266847,0.38912655971479504,0.6241389207807118,0.5480041094725017,0.5912711764824821,0.7126129347986662,0.6327747580956959
general,COHORT,arousal,multimodal,svm,10,10,46,0.49828428522312823,0.025666481744816325,0.5,0.4514492753623188,0.5726495726495726,0.5829055617654891,0.5937929525450055,0.8981045900685014,0.7002883661724344
general,COHORT,arousal,multimodal,svm,20,20,46,0.4998901610504042,0.036084923744425325,0.5,0.41,0.5852467024914509,0.5673628175379436,0.5936195913309746,0.7987310547833788,0.6622039691407874
general,COHORT,arousal,multimodal,svm,5,5,46,0.4983061601328438,0.019008875572698508,0.5,0.43258426966292135,0.5464480874316939,0.5831520137502689,0.591824160726247,0.9185211079055751,0.7017810513117746
general,COHORT,arousal,multimodal,svm,all,all,46,0.49343269831852965,0.035261194979708345,0.5,0.375,0.569672131147541,0.5777167788575379,0.5912968106904595,0.7978850204734309,0.6645391087510284
general,COHORT,valence,eeg,gnb,10,10,46,0.4965254450625096,0.02553155275859773,0.5,0.39214840379637617,0.5887096774193548,0.528716489849994,0.5410653463971695,0.8459472803118603,0.636751945648746
general,COHORT,valence,eeg,gnb,20,20,46,0.49688726425809077,0.022561426057253548,0.5,0.4369047619047619,0.5730846774193548,0.529147817598097,0.5514171973869325,0.8550874611361654,0.6451152395463297
general,COHORT,valence,eeg,gnb,5,5,46,0.4932053248270353,0.02561717044671665,0.5,0.4107744107744108,0.5539314516129032,0.5274583553993202,0.5442983808477595,0.8559068398939622,0.6387229893791637
general,COHORT,valence,eeg,gnb,all,all,46,0.49621477480242304,0.02900624615270443,0.49748198621553885,0.41362126245847175,0.5811044003451251,0.5355600591201573,0.5529110937588324,0.8433443008260973,0.6544103140005226
general,COHORT,valence,eeg,knn,10,10,46,0.510860398520819,0.05361683415897501,0.5071635175939491,0.40402298850574714,0.688999040614007,0.5266237173393113,0.5822502872808976,0.6473590664732809,0.601423577945763
general,COHORT,valence,eeg,knn,20,20,46,0.5034018681992937,0.05373976254632743,0.512193360920647,0.40053763440860213,0.6408371040723981,0.5198027571168238,0.5755900991157329,0.6285257410737625,0.5905370888862087
general,COHORT,valence,eeg,knn,5,5,46,0.509537085647021,0.04765819842750893,0.5147794300536546,0.39682539682539686,0.6145235361653272,0.5197723411923876,0.582300456628011,0.6321715807172412,0.5919082026881758
general,COHORT,valence,eeg,knn,all,all,46,0.49831260029907964,0.03716383031634732,0.5027650109371544,0.41537267080745344,0.5761112887751839,0.5252307040639773,0.5711278502503884,0.6948112415588822,0.6166391732143117
general,COHORT,valence,eeg,svm,10,10,46,0.5012222460710353,0.03444541588032894,0.5,0.41835016835016836,0.6023345059162136,0.5548123268958879,0.5742885733251911,0.8798702093020832,0.6793012554562167
general,COHORT,valence,eeg,svm,20,20,46,0.5000952102976793,0.027062681251965502,0.5,0.4351851851851852,0.5685294117647058,0.5227770783534328,0.5661311898612261,0.7702433271566669,0.6237944263941432
general,COHORT,valence,eeg,svm,5,5,46,0.5032417003416156,0.025714500505436798,0.5,0.43434343434343436,0.594621800402646,0.5699103575341298,0.5740336571334406,0.9637822529929537,0.7136327376306173
general,COHORT,valence,eeg,svm,all,all,46,0.509134964130448,0.04615294901685406,0.5065323258230703,0.40843373493975904,0.6214896214896215,0.5186465818361993,0.5803375851184065,0.5890851911379853,0.569691701412919
general,COHORT,valence,face,gnb,10,10,46,0.5120110989209914,0.04466549869883728,0.5077471548059783,0.3798477709314969,0.610400444938821,0.5434009969720611,0.5896478903786001,0.7060453063359057,0.6145695358320068
general,COHORT,valence,face,gnb,20,10,46,0.5120110989209914,0.04466549869883728,0.5077471548059783,0.3798477709314969,0.610400444938821,0.5434009969720611,0.5896478903786001,0.7060453063359057,0.6145695358320068
general,COHORT,valence,face,gnb,5,5,46,0.5043956555293163,0.03458230413669615,0.5,0.4294564911292594,0.6040100250626567,0.5573611075080904,0.5789484874714287,0.8358108911214807,0.6689862778946485
general,COHORT,valence,face,gnb,all,all,46,0.5120110989209914,0.04466549869883728,0.5077471548059783,0.3798477709314969,0.610400444938821,0.5434009969720611,0.5896478903786001,0.7060453063359057,0.6145695358320068
general,COHORT,valence,face,knn,10,10,46,0.5141992144505639,0.04633994213763871,0.5180506703944203,0.4151835372636263,0.6527777777777778,0.5427586726751074,0.5896314856534156,0.6853311264603957,0.6178040149085292
general,COHORT,valence,face,knn,20,10,46,0.5141992144505639,0.04633994213763871,0.5180506703944203,0.4151835372636263,0.6527777777777778,0.5427586726751074,0.5896314856534156,0.6853311264603957,0.6178040149085292
general,COHORT,valence,face,knn,5,5,46,0.5155942686577805,0.05130791038090461,0.5118957839546074,0.40101809954751133,0.5989819004524887,0.5324053404089575,0.5910965819180476,0.623216698855709,0.5922955344837104
general,COHORT,valence,face,knn,all,all,46,0.5141992144505639,0.04633994213763871,0.5180506703944203,0.4151835372636263,0.6527777777777778,0.5427586726751074,0.5896314856534156,0.6853311264603957,0.6178040149085292
general,COHORT,valence,face,svm,10,10,46,0.4977831309726368,0.025924707834792865,0.5,0.39940323955669227,0.5659983291562238,0.5438911705178059,0.5546396617440665,0.8121373147841396,0.6331697842974159
