summary_type,group,mean_previous_best_BA,mean_optimized_best_BA,mean_BA_delta,median_BA_delta,improved,tied,worsened,count
overall,all,0.6599203231409113,0.6698024655083479,0.009882142367436519,0.0006143856143856485,5,2,3,10
target,arousal,0.6562695507107271,0.6773757157874806,0.021106165076753357,0.013071895424836777,4,1,0,5
target,valence,0.6635710955710955,0.6622292152292153,-0.0013418803418803193,-0.0010389610389610615,1,1,3,5
winning_classifier,gnb,0.6557142857142857,0.6557142857142857,0.0,0.0,0,2,0,2
winning_classifier,knn,0.6533134920634921,0.6989285714285715,0.04561507936507936,0.04561507936507936,2,0,0,2
winning_classifier,logreg,0.6739123621476563,0.672426799779741,-0.0014855623679152312,-0.0069191919191919915,1,0,2,3
winning_classifier,svm,0.6531368631368631,0.657152847152847,0.004015984015984057,0.001228771228771297,2,0,1,3
winning_modality,eeg,0.635750466853408,0.6635364145658265,0.02778594771241838,0.02778594771241838,2,0,0,2
winning_modality,face,0.6510342435342436,0.6661813186813187,0.015147075147075167,0.0059290709290709676,2,2,0,4
winning_modality,multimodal,0.6808913308913309,0.6765566378066378,-0.004334693084693059,-0.0039790764790765265,1,0,3,4
winning_feature_count,3,0.6882917082917083,0.6776823176823178,-0.010609390609390479,-0.010609390609390479,0,0,1,1
winning_feature_count,5,0.7144444444444444,0.7075252525252524,-0.0069191919191919915,-0.0069191919191919915,0,0,1,1
winning_feature_count,8,0.6287911761441172,0.6412561947856066,0.012465018641489356,0.012465018641489356,2,0,0,2
winning_feature_count,10,0.6551851851851852,0.6714285714285714,0.016243386243386244,0.0,1,2,0,3
winning_feature_count,15,0.6779420579420579,0.6791708291708292,0.001228771228771297,0.001228771228771297,1,0,0,1
winning_feature_count,30,0.642887112887113,0.6418481518481519,-0.0010389610389610615,-0.0010389610389610615,0,0,1,1
winning_feature_count,all,0.6525000000000001,0.6950000000000001,0.04249999999999998,0.04249999999999998,1,0,0,1
