participant,target,previous_balanced_accuracy,previous_accuracy,previous_classifier,previous_modality,previous_feature_count,optimized_modality,optimized_classifier,optimized_feature_count,optimized_balanced_accuracy,optimized_accuracy,optimized_hyperparameters,BA_delta,accuracy_delta
P06,arousal,0.6779420579420579,0.6804347826086957,svm,multimodal,10,multimodal,svm,15,0.6791708291708292,0.6963768115942028,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5964830376595083, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5800653594771242, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5646113146113145, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5623728123728124, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5026455026455027, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",0.001228771228771297,0.015942028985507117
P06,valence,0.6336507936507937,0.6333333333333333,gnb,face,10,face,gnb,10,0.6336507936507937,0.6333333333333333,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.47952091767881244, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.582714799820063, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6109311740890688, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5843454790823212, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5499325236167341, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",0.0,0.0
P17,arousal,0.619000933706816,0.756159420289855,knn,eeg,10,eeg,logreg,8,0.6320728291316527,0.6728260869565217,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.48812399355877617, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.49688003220611915, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5213365539452496, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.49979871175523344, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5029186795491144, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}]",0.013071895424836777,-0.08333333333333337
P17,valence,0.6882917082917083,0.7,svm,face,10,multimodal,logreg,3,0.6776823176823178,0.6887681159420289,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5906593406593407, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6231176231176231, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6798163709928415, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6620759414877062, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6283068783068784, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}]",-0.010609390609390479,-0.011231884057971042
P22,arousal,0.6777777777777778,0.7,gnb,face,10,face,gnb,10,0.6777777777777778,0.7000000000000001,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5919590643274854, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6101327035537562, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5742577597840756, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6792172739541161, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5920377867746289, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",0.0,1.1102230246251565e-16
P22,valence,0.6385814185814185,0.6583333333333333,svm,face,5,face,svm,8,0.6504395604395604,0.6583333333333333,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6283068783068783, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.648148148148148, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5701058201058201, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.667068311805154, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6156416682732473, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",0.011858141858141935,0.0
P36,arousal,0.6525000000000001,0.8038095238095238,knn,eeg,10,eeg,knn,all,0.6950000000000001,0.7247619047619047,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6282828282828282, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5979076479076479, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6731601731601732, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5808080808080808, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6222943722943722, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}]",0.04249999999999998,-0.07904761904761903
P36,valence,0.7144444444444444,0.7171428571428571,svm,multimodal,5,multimodal,logreg,5,0.7075252525252524,0.7066666666666668,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.7194444444444444, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5215201465201466, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6008547008547008, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.632051282051282, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5948717948717949, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}]",-0.0069191919191919915,-0.010476190476190306
P40,arousal,0.6541269841269841,0.6833333333333333,svm,face,10,face,knn,10,0.7028571428571428,0.7166666666666667,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6307242465137202, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6599752586594693, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.569174538911381, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.598897885739991, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5777777777777777, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}}]",0.048730158730158735,0.033333333333333326
P40,valence,0.642887112887113,0.65,svm,multimodal,all,multimodal,svm,30,0.6418481518481519,0.65,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6404295051353874, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6263305322128851, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6338624338624339, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6727046374105198, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5969810146280734, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}]",-0.0010389610389610615,0.0
