participant,target,modality,classifier,feature_count,feature_count_request,outer_folds,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,best_hyperparameters,seed,gridsearch_n_jobs,estimator_n_jobs
P36,valence,eeg,gnb,3,3,5,0.5967171717171718,0.0835763215896469,0.6190476190476191,0.07721043483341829,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.48888888888888893, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5557997557997558, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4106837606837607, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5307692307692308, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5341880341880342, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,5,5,5,0.5872222222222222,0.10497175564267677,0.6004761904761905,0.11238902311616915,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5416666666666666, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.45152625152625153, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4824786324786325, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.502991452991453, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5435897435897437, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,8,8,5,0.5223232323232324,0.0928449331634258,0.5309523809523811,0.10332345794373728,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5388888888888889, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5098595848595849, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5442307692307692, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5547008547008547, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5758547008547008, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,10,10,5,0.5505050505050505,0.10769543302887079,0.560952380952381,0.11143874597422744,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.48333333333333334, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5199023199023199, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5692307692307693, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.551923076923077, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5230769230769231, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,15,15,5,0.4768686868686868,0.10531067239667946,0.4819047619047619,0.11630751326429155,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5472222222222222, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.4695360195360196, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.497008547008547, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5091880341880342, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.49914529914529915, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,20,20,5,0.5163131313131313,0.11514615440295166,0.520952380952381,0.12453450741627786,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5861111111111111, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5246642246642247, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.48867521367521366, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.4946581196581197, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5019230769230769, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,30,30,5,0.5492929292929294,0.09723375243185037,0.549047619047619,0.09509036160804257,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5388888888888889, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.4527167277167277, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.47863247863247865, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.4963675213675214, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5147435897435897, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,gnb,all,all,5,0.585050505050505,0.05356926694080712,0.5785714285714285,0.04865538961693258,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5666666666666667, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.4606227106227106, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5064102564102564, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.513034188034188, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5297008547008547, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4,
P36,valence,eeg,knn,3,3,5,0.608989898989899,0.11182342838055973,0.61,0.10696175169905651,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5111111111111112, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5195665445665446, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""distance""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4918803418803419, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5858974358974359, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6320512820512819, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,5,5,5,0.5119696969696971,0.06948210181922407,0.5214285714285714,0.07798482322260675,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5916666666666667, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5314407814407814, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4745726495726496, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5480769230769231, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.577991452991453, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}]",42,4,
