participant,target,label_condition,total_original_trials,n_trials,n_low,n_high,n_dropped_midpoint,retained_fraction,class_balance_high_fraction,status,modality,classifier,feature_count,feature_count_request,outer_folds,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,best_hyperparameters,seed,gridsearch_n_jobs
P06,arousal,exclude_midpoint,120,98,52,46,22,0.8166666666666667,0.46938775510204084,complete,eeg,knn,all,all,5,0.6241414141414141,0.07364765539505837,0.6273684210526315,0.06800684339037091,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6622405372405372, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6181318681318682, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.615079365079365, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5694444444444445, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6726190476190476, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}]",42,4
P06,arousal,standard,120,120,52,68,0,1.0,0.5666666666666667,complete,multimodal,svm,15,15,5,0.6791708291708292,0.10808256398182638,0.6963768115942028,0.08617249203018741,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5964830376595083, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5800653594771242, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5646113146113145, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5623728123728124, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5026455026455027, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",42,4
P06,valence,exclude_midpoint,120,91,48,43,29,0.7583333333333333,0.4725274725274725,complete,face,logreg,3,3,5,0.6683333333333333,0.0534489487591364,0.6701754385964913,0.05018348059163725,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6651126651126652, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6528749028749029, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6528749028749029, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5844017094017094, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5904234654234655, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}]",42,4
P06,valence,standard,120,120,48,72,0,1.0,0.6,complete,face,gnb,10,10,5,0.6336507936507937,0.126919229448216,0.6333333333333333,0.11606990230986769,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.47952091767881244, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.582714799820063, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6109311740890688, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5843454790823212, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5499325236167341, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4
P17,arousal,exclude_midpoint,120,102,32,70,18,0.85,0.6862745098039216,complete,multimodal,svm,15,15,5,0.6595238095238095,0.04364357804719843,0.6852380952380952,0.04570932512768172,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5028021442495126, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6034356725146198, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5105994152046783, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5243664717348927, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5643274853801169, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}]",42,4
P17,arousal,standard,120,120,32,88,0,1.0,0.7333333333333333,complete,eeg,logreg,8,8,5,0.6320728291316527,0.07768844706869202,0.6728260869565217,0.07887074497517098,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.48812399355877617, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.49688003220611915, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5213365539452496, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.49979871175523344, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5029186795491144, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}]",42,4
P17,valence,exclude_midpoint,120,112,52,60,8,0.9333333333333333,0.5357142857142857,complete,multimodal,svm,all,all,5,0.6783333333333335,0.07149299862334735,0.684189723320158,0.06610841794612017,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5989468864468864, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5849358974358975, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6735119047619048, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.671329365079365, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5956349206349206, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",42,4
P17,valence,standard,120,120,52,68,0,1.0,0.5666666666666667,complete,multimodal,logreg,3,3,5,0.6776823176823178,0.07916750056819041,0.6887681159420289,0.07386685115275221,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5906593406593407, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6231176231176231, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6798163709928415, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6620759414877062, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6283068783068784, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}]",42,4
P22,arousal,exclude_midpoint,120,106,73,33,14,0.8833333333333333,0.3113207547169811,complete,multimodal,knn,5,5,5,0.6714285714285714,0.10610609502455802,0.7504761904761905,0.1093207226840514,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6264619883040936, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5338693957115009, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""distance""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5422027290448342, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6931530214424951, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5640594541910331, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}}]",42,4
P22,arousal,standard,120,120,73,47,0,1.0,0.39166666666666666,complete,face,gnb,10,10,5,0.6777777777777778,0.04075070310408086,0.7000000000000001,0.040824829046386304,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5919590643274854, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6101327035537562, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5742577597840756, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6792172739541161, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5920377867746289, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4
