participant,target,label_condition,total_original_trials,n_trials,n_low,n_high,n_dropped_midpoint,retained_fraction,class_balance_high_fraction,status,modality,classifier,feature_count,feature_count_request,outer_folds,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,best_hyperparameters,seed,gridsearch_n_jobs
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,3,3,5,0.5452525252525253,0.10454745520947151,0.550952380952381,0.09925573374003192,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5916666666666667, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5786935286935287, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.527991452991453, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5596153846153847, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5914529914529915, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,5,5,5,0.5271717171717172,0.06071068410564194,0.5404761904761906,0.06394087404899672,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6472222222222223, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5662087912087912, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5397435897435897, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5630341880341881, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5948717948717949, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,8,8,5,0.5523737373737374,0.10625374429984558,0.5604761904761906,0.10521115794012555,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6055555555555556, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6097374847374848, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5119658119658119, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.567948717948718, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5935897435897436, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,10,10,5,0.4945454545454545,0.09125992907978497,0.51,0.0918739153760773,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5944444444444444, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5334249084249084, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5222222222222221, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5497863247863248, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5728632478632479, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,15,15,5,0.5313131313131313,0.07430595783556135,0.55,0.07099870651308103,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6361111111111111, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5323565323565324, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5681623931623931, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5450854700854701, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,20,20,5,0.567979797979798,0.08730896180080025,0.5895238095238096,0.07822579099259548,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6527777777777778, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5682234432234431, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5185897435897435, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5329059829059829, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,30,30,5,0.48762626262626263,0.03566243119981762,0.5,0.05514359733033938,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6833333333333332, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5793345543345543, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5517094017094016, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5228632478632479, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,svm,all,all,5,0.5545454545454546,0.037065339660421755,0.568095238095238,0.041447724089502744,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6416666666666667, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5202075702075702, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5758547008547008, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.561965811965812, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.538034188034188, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,knn,3,3,5,0.608989898989899,0.11182342838055973,0.61,0.10696175169905651,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5111111111111112, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5195665445665446, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""distance""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4918803418803419, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5858974358974359, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6320512820512819, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,eeg,knn,5,5,5,0.5119696969696971,0.06948210181922407,0.5214285714285714,0.07798482322260675,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5916666666666667, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5314407814407814, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.4745726495726496, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5480769230769231, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.577991452991453, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}]",42,4
