participant,target,standard_balanced_accuracy,standard_accuracy,standard_classifier,standard_modality,standard_feature_count,exclude_midpoint_balanced_accuracy,exclude_midpoint_accuracy,exclude_midpoint_classifier,exclude_midpoint_modality,exclude_midpoint_feature_count,BA_delta,accuracy_delta,n_trials,n_low,n_high,n_dropped_midpoint,retained_fraction
P06,arousal,0.6791708291708292,0.6963768115942028,svm,multimodal,15,0.6241414141414141,0.6273684210526315,knn,eeg,all,-0.05502941502941505,-0.06900839054157137,98,52,46,22,0.8166666666666667
P06,valence,0.6336507936507937,0.6333333333333333,gnb,face,10,0.6683333333333333,0.6701754385964913,logreg,face,3,0.03468253968253965,0.03684210526315801,91,48,43,29,0.7583333333333333
P17,arousal,0.6320728291316527,0.6728260869565217,logreg,eeg,8,0.6595238095238095,0.6852380952380952,svm,multimodal,15,0.027450980392156765,0.012412008281573517,102,32,70,18,0.85
P17,valence,0.6776823176823178,0.6887681159420289,logreg,multimodal,3,0.6783333333333335,0.684189723320158,svm,multimodal,all,0.0006510156510156628,-0.004578392621870875,112,52,60,8,0.9333333333333333
P22,arousal,0.6777777777777778,0.7000000000000001,gnb,face,10,0.6714285714285714,0.7504761904761905,knn,multimodal,5,-0.006349206349206438,0.05047619047619045,106,73,33,14,0.8833333333333333
P22,valence,0.6504395604395604,0.6583333333333333,svm,face,8,0.6502747252747253,0.6696969696969697,logreg,multimodal,all,-0.00016483516483511984,0.011363636363636354,108,68,40,12,0.9
P36,arousal,0.6950000000000001,0.7247619047619047,knn,eeg,all,0.6654166666666667,0.7357894736842105,svm,eeg,15,-0.029583333333333406,0.01102756892230583,114,31,83,6,0.95
P36,valence,0.7075252525252524,0.7066666666666668,logreg,multimodal,5,0.7022222222222223,0.6947368421052632,gnb,multimodal,3,-0.005303030303030143,-0.011929824561403568,110,51,59,10,0.9166666666666666
P40,arousal,0.7028571428571428,0.7166666666666667,knn,face,10,0.6512820512820513,0.6636363636363636,knn,face,8,-0.05157509157509155,-0.053030303030303094,110,46,64,10,0.9166666666666666
P40,valence,0.6418481518481519,0.65,svm,multimodal,30,0.6627272727272727,0.6657142857142857,svm,eeg,20,0.020879120879120805,0.01571428571428568,104,54,50,16,0.8666666666666667
