participant,target,label_condition,total_original_trials,n_trials,n_low,n_high,n_dropped_midpoint,retained_fraction,class_balance_high_fraction,status,insufficient_reason
P36,valence,standard,120,120,51,69,0,1.0,0.575,ready,
P36,valence,exclude_midpoint,120,110,51,59,10,0.9166666666666666,0.5363636363636364,ready,
P36,arousal,standard,120,120,31,89,0,1.0,0.7416666666666667,ready,
P36,arousal,exclude_midpoint,120,114,31,83,6,0.95,0.7280701754385965,ready,
P22,valence,standard,120,120,68,52,0,1.0,0.43333333333333335,ready,
P22,valence,exclude_midpoint,120,108,68,40,12,0.9,0.37037037037037035,ready,
P22,arousal,standard,120,120,73,47,0,1.0,0.39166666666666666,ready,
P22,arousal,exclude_midpoint,120,106,73,33,14,0.8833333333333333,0.3113207547169811,ready,
P06,valence,standard,120,120,48,72,0,1.0,0.6,ready,
P06,valence,exclude_midpoint,120,91,48,43,29,0.7583333333333333,0.4725274725274725,ready,
P06,arousal,standard,120,120,52,68,0,1.0,0.5666666666666667,ready,
P06,arousal,exclude_midpoint,120,98,52,46,22,0.8166666666666667,0.46938775510204084,ready,
P17,valence,standard,120,120,52,68,0,1.0,0.5666666666666667,ready,
P17,valence,exclude_midpoint,120,112,52,60,8,0.9333333333333333,0.5357142857142857,ready,
P17,arousal,standard,120,120,32,88,0,1.0,0.7333333333333333,ready,
P17,arousal,exclude_midpoint,120,102,32,70,18,0.85,0.6862745098039216,ready,
P40,valence,standard,120,120,54,66,0,1.0,0.55,ready,
P40,valence,exclude_midpoint,120,104,54,50,16,0.8666666666666667,0.4807692307692308,ready,
P40,arousal,standard,120,120,46,74,0,1.0,0.6166666666666667,ready,
P40,arousal,exclude_midpoint,120,110,46,64,10,0.9166666666666666,0.5818181818181818,ready,
