mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Fz,37,5,0.1615720524017467,1.4001452932195717
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Fz,34,5,0.14847161572052403,1.5874120142470742
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Cz,33,5,0.14410480349344978,1.3777931802959649
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO8,32,5,0.13973799126637554,1.5340013079885992
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__PO8,31,5,0.13537117903930132,1.575111575185908
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Oz,31,5,0.13537117903930132,1.6298488313119912
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO7,31,5,0.13537117903930132,1.5402181919869138
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__C4,31,5,0.13537117903930132,1.2714742079622614
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Fz,30,5,0.13100436681222707,1.4404825898869136
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Oz,30,5,0.13100436681222707,1.3608326849237775
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,29,5,0.12663755458515283,1.600455518599859
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO8,29,5,0.12663755458515283,1.216489804746342
individual,arousal,eeg,gnb,10,10,eeg_hc__Fz,28,5,0.1222707423580786,1.4444654330604092
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__PO8,28,5,0.1222707423580786,1.5967184706346909
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Pz,28,5,0.1222707423580786,1.2661661507467679
individual,arousal,eeg,gnb,10,10,eeg_se_theta__C4,28,5,0.1222707423580786,1.229489256208639
individual,arousal,eeg,gnb,10,10,eeg_se__Pz,27,5,0.11790393013100436,1.3239632904834888
individual,arousal,eeg,gnb,10,10,eeg_se_beta__PO7,27,5,0.11790393013100436,1.1846009902884664
individual,arousal,eeg,gnb,10,10,eeg_se_delta__PO7,26,5,0.11353711790393013,1.194874969770179
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Cz,25,5,0.1091703056768559,1.2240414312352612
individual,arousal,eeg,gnb,10,10,eeg_hc__PO8,25,5,0.1091703056768559,1.4180418280567109
individual,arousal,eeg,gnb,10,10,eeg_se__Fz,25,5,0.1091703056768559,1.3075579947267546
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__PO8,25,5,0.1091703056768559,1.1485723247926316
individual,arousal,eeg,gnb,10,10,eeg_se_beta__C4,25,5,0.1091703056768559,1.1105502648437073
individual,arousal,eeg,gnb,10,10,eeg_se_delta__C4,25,5,0.1091703056768559,1.1295607027762788
individual,arousal,eeg,gnb,10,10,eeg_se_theta__Pz,25,5,0.1091703056768559,0.9570314554254733
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Fz,24,5,0.10480349344978165,1.120758456869527
individual,arousal,eeg,gnb,10,10,eeg_sd__C4,24,5,0.10480349344978165,1.1947435866375193
individual,arousal,eeg,gnb,10,10,eeg_sd__PO7,24,5,0.10480349344978165,1.1547927921427956
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__C4,24,5,0.10480349344978165,1.3747581130626167
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,23,5,0.10043668122270742,1.3336119634079653
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Cz,23,5,0.10043668122270742,1.1709078828764734
individual,arousal,eeg,gnb,10,10,eeg_hm__Fz,23,5,0.10043668122270742,1.3016003971222507
individual,arousal,eeg,gnb,10,10,eeg_hm__PO7,23,5,0.10043668122270742,1.5922872370625354
individual,arousal,eeg,gnb,10,10,eeg_se__PO8,23,5,0.10043668122270742,1.5136177569913412
individual,arousal,eeg,gnb,10,10,eeg_se_beta__Fz,23,5,0.10043668122270742,0.9571521756581175
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO7,23,5,0.10043668122270742,1.2147825414473101
individual,arousal,eeg,gnb,10,10,eeg_hm__PO8,22,5,0.09606986899563319,1.3961167556374918
individual,arousal,eeg,gnb,10,10,eeg_hc__Oz,21,5,0.09170305676855896,1.173630437751171
individual,arousal,eeg,gnb,10,10,eeg_se__Cz,21,5,0.09170305676855896,1.1416301509149211
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__PO7,21,5,0.09170305676855896,1.114970023070394
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__PO8,21,5,0.09170305676855896,0.9626130572622742
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Pz,21,5,0.09170305676855896,1.0924295392117582
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__Fz,20,5,0.08733624454148471,1.0863139400546196
