mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P01,arousal,eeg,gnb,10,10,5,0.4734432234432234,0.06981495572315584,0.44017094017094016,0.4007936507936508,0.5726495726495726,0.5106719367588932,0.5665178096757044,0.6802197802197802,0.6038201368523949
individual,P01,arousal,eeg,gnb,20,20,5,0.4834554334554334,0.05326525988341727,0.5079365079365079,0.4007936507936508,0.5341880341880342,0.5189723320158103,0.5795848595848596,0.6780219780219781,0.6135352348824835
individual,P01,arousal,eeg,gnb,5,5,5,0.48553113553113547,0.09842265830947997,0.4786324786324786,0.3611111111111111,0.6349206349206349,0.5268774703557313,0.5887936753648828,0.7043956043956043,0.6378284072249589
individual,P01,arousal,eeg,gnb,all,all,5,0.472039072039072,0.13450088435992325,0.4786324786324786,0.28968253968253965,0.6388888888888888,0.5007905138339921,0.5855607155142759,0.632967032967033,0.5940932418406182
individual,P01,arousal,eeg,knn,10,10,5,0.452991452991453,0.0651704040148028,0.45726495726495725,0.34523809523809523,0.5170940170940171,0.4920948616600791,0.5559090909090909,0.6615384615384616,0.5978683385579938
individual,P01,arousal,eeg,knn,20,20,5,0.492979242979243,0.0782185666424201,0.5170940170940171,0.376984126984127,0.5793650793650793,0.5450592885375494,0.593937908496732,0.7637362637362638,0.6655880271008192
individual,P01,arousal,eeg,knn,5,5,5,0.45879120879120877,0.12243010964372082,0.44017094017094016,0.3055555555555556,0.5952380952380952,0.509090909090909,0.5716123642439432,0.7175824175824176,0.6339173155357806
individual,P01,arousal,eeg,knn,all,all,5,0.5414529914529915,0.06757568905646051,0.5341880341880342,0.4484126984126984,0.6282051282051282,0.598814229249012,0.6246783625730994,0.8384615384615385,0.7134931068190246
individual,P01,arousal,eeg,svm,10,10,5,0.4675824175824176,0.09405336027296057,0.5,0.3418803418803419,0.5555555555555556,0.5181818181818182,0.5695371295371295,0.7351648351648352,0.6327365535073446
individual,P01,arousal,eeg,svm,20,20,5,0.42979242979242976,0.09154150788337471,0.3968253968253968,0.3418803418803419,0.5512820512820513,0.4723320158102767,0.5366225803182325,0.6373626373626374,0.5752682390613425
individual,P01,arousal,eeg,svm,5,5,5,0.4756410256410256,0.08572111226550799,0.5,0.3412698412698413,0.5753968253968254,0.5541501976284585,0.5806493506493506,0.8846153846153847,0.6979271708683473
individual,P01,arousal,eeg,svm,all,all,5,0.4915750915750916,0.10019689573472719,0.5,0.32539682539682535,0.5726495726495726,0.5367588932806324,0.5856007074542544,0.7164835164835165,0.6355735735735736
individual,P01,arousal,face,gnb,10,10,5,0.5895238095238096,0.11743001539640108,0.6071428571428572,0.45238095238095233,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519
individual,P01,arousal,face,gnb,20,10,5,0.5895238095238096,0.11743001539640108,0.6071428571428572,0.45238095238095233,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519
individual,P01,arousal,face,gnb,5,5,5,0.6033333333333333,0.10010922480423323,0.6071428571428572,0.48809523809523814,0.7285714285714285,0.6434782608695653,0.6772727272727272,0.7866666666666667,0.7251444547996273
individual,P01,arousal,face,gnb,all,all,5,0.5895238095238096,0.11743001539640108,0.6071428571428572,0.45238095238095233,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519
individual,P01,arousal,face,knn,10,10,5,0.5417460317460318,0.06025111221424605,0.5357142857142857,0.45555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676
individual,P01,arousal,face,knn,20,10,5,0.5417460317460318,0.06025111221424605,0.5357142857142857,0.45555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676
individual,P01,arousal,face,knn,5,5,5,0.5452380952380953,0.05311830708658761,0.5214285714285715,0.5,0.6214285714285714,0.5764492753623188,0.639017094017094,0.6904761904761905,0.6619345569150908
individual,P01,arousal,face,knn,all,all,5,0.5417460317460318,0.06025111221424605,0.5357142857142857,0.45555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676
individual,P01,arousal,face,svm,10,10,5,0.6065079365079364,0.10160187147501759,0.6150793650793651,0.48809523809523814,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202
individual,P01,arousal,face,svm,20,10,5,0.6065079365079364,0.10160187147501759,0.6150793650793651,0.48809523809523814,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202
