mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
individual,P10,P10,valence,eeg,knn,all,1,3,7,8,6
individual,P10,P10,valence,eeg,knn,all,2,3,7,4,10
individual,P10,P10,valence,eeg,knn,all,3,3,7,1,13
individual,P10,P10,valence,eeg,knn,all,4,4,6,6,8
individual,P10,P10,valence,eeg,knn,all,5,3,7,3,11
individual,P10,P10,valence,eeg,knn,5,1,2,8,5,9
individual,P10,P10,valence,eeg,knn,5,2,2,8,2,12
individual,P10,P10,valence,eeg,knn,5,3,2,8,1,13
individual,P10,P10,valence,eeg,knn,5,4,4,6,7,7
individual,P10,P10,valence,eeg,knn,5,5,4,6,1,13
individual,P10,P10,valence,eeg,knn,10,1,3,7,5,9
individual,P10,P10,valence,eeg,knn,10,2,3,7,4,10
individual,P10,P10,valence,eeg,knn,10,3,2,8,1,13
individual,P10,P10,valence,eeg,knn,10,4,3,7,6,8
individual,P10,P10,valence,eeg,knn,10,5,3,7,0,14
individual,P10,P10,valence,eeg,knn,20,1,3,7,4,10
individual,P10,P10,valence,eeg,knn,20,2,1,9,4,10
individual,P10,P10,valence,eeg,knn,20,3,4,6,1,13
individual,P10,P10,valence,eeg,knn,20,4,5,5,8,6
individual,P10,P10,valence,eeg,knn,20,5,3,7,0,14
individual,P10,P10,valence,eeg,svm,all,1,0,10,9,5
individual,P10,P10,valence,eeg,svm,all,2,5,5,7,7
individual,P10,P10,valence,eeg,svm,all,3,0,10,0,14
individual,P10,P10,valence,eeg,svm,all,4,3,7,8,6
individual,P10,P10,valence,eeg,svm,all,5,0,10,0,14
individual,P10,P10,valence,eeg,svm,5,1,3,7,4,10
individual,P10,P10,valence,eeg,svm,5,2,2,8,4,10
individual,P10,P10,valence,eeg,svm,5,3,3,7,1,13
individual,P10,P10,valence,eeg,svm,5,4,2,8,6,8
individual,P10,P10,valence,eeg,svm,5,5,6,4,3,11
individual,P10,P10,valence,eeg,svm,10,1,5,5,10,4
individual,P10,P10,valence,eeg,svm,10,2,2,8,6,8
individual,P10,P10,valence,eeg,svm,10,3,2,8,2,12
individual,P10,P10,valence,eeg,svm,10,4,2,8,8,6
individual,P10,P10,valence,eeg,svm,10,5,5,5,2,12
individual,P10,P10,valence,eeg,svm,20,1,2,8,8,6
individual,P10,P10,valence,eeg,svm,20,2,2,8,5,9
individual,P10,P10,valence,eeg,svm,20,3,3,7,3,11
individual,P10,P10,valence,eeg,svm,20,4,5,5,7,7
individual,P10,P10,valence,eeg,svm,20,5,7,3,3,11
individual,P10,P10,valence,eeg,gnb,all,1,1,9,6,8
individual,P10,P10,valence,eeg,gnb,all,2,0,10,3,11
individual,P10,P10,valence,eeg,gnb,all,3,2,8,2,12
individual,P10,P10,valence,eeg,gnb,all,4,5,5,9,5
individual,P10,P10,valence,eeg,gnb,all,5,3,7,3,11
individual,P10,P10,valence,eeg,gnb,5,1,1,9,1,13
individual,P10,P10,valence,eeg,gnb,5,2,2,8,5,9
individual,P10,P10,valence,eeg,gnb,5,3,2,8,2,12
individual,P10,P10,valence,eeg,gnb,5,4,4,6,10,4
individual,P10,P10,valence,eeg,gnb,5,5,5,5,3,11
individual,P10,P10,valence,eeg,gnb,10,1,2,8,8,6
individual,P10,P10,valence,eeg,gnb,10,2,2,8,6,8
individual,P10,P10,valence,eeg,gnb,10,3,1,9,2,12
individual,P10,P10,valence,eeg,gnb,10,4,3,7,8,6
individual,P10,P10,valence,eeg,gnb,10,5,6,4,3,11
