experiment,target,factor,level,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
feature_family_top5,arousal,channel_subset,all_channels,980,0.5142063492063491,0.5210448476010451,0.5540401265401266,0.6950000000000001,0.2755102040816326,0.0826530612244898,0.013265306122448979
feature_family_top5,arousal,channel_subset,frontal_central,140,0.5015514550808668,0.5195902843071961,0.5542013888888888,0.705,0.2714285714285714,0.12142857142857143,0.04285714285714286
feature_family_top5,arousal,channel_subset,midline,320,0.5045360195360196,0.5073864047002834,0.5349999999999999,0.6675,0.140625,0.025,0.003125
feature_family_top5,arousal,channel_subset,posterior,260,0.5037499999999999,0.503952168871852,0.5257539682539681,0.6253846153846154,0.08076923076923077,0.007692307692307693,0.0
feature_family_top5,valence,channel_subset,frontal_central,140,0.5409151959151959,0.5404959564245279,0.5670665445665445,0.6348989898989899,0.36428571428571427,0.07142857142857142,0.0
feature_family_top5,valence,channel_subset,all_channels,980,0.5364296814296814,0.5331714045591597,0.5694920357420358,0.6703535353535353,0.3877551020408163,0.09795918367346938,0.01020408163265306
feature_family_top5,valence,channel_subset,posterior,260,0.5242307692307693,0.5256867107251723,0.5652047952047953,0.6655444555444556,0.3423076923076923,0.09230769230769231,0.0038461538461538464
feature_family_top5,valence,channel_subset,midline,320,0.5093201243201244,0.5114534146409146,0.5451172438672438,0.6171428571428571,0.203125,0.009375,0.0
feature_family_top5,arousal,classifier,logreg,425,0.5114285714285713,0.5201185289719892,0.55,0.6775,0.2564705882352941,0.08470588235294117,0.018823529411764704
feature_family_top5,arousal,classifier,svm,425,0.51125,0.5188988801087416,0.5479925303454715,0.705,0.24,0.08,0.018823529411764704
feature_family_top5,arousal,classifier,knn,425,0.5065079365079365,0.5121158865548139,0.5388888888888889,0.6950000000000001,0.17882352941176471,0.03764705882352941,0.004705882352941176
feature_family_top5,arousal,classifier,gnb,425,0.507749766573296,0.5118262428651702,0.54,0.65625,0.20470588235294118,0.05176470588235294,0.004705882352941176
feature_family_top5,valence,classifier,logreg,425,0.5383838383838383,0.5378078718666953,0.5746398046398047,0.6699900099900099,0.3976470588235294,0.1223529411764706,0.01647058823529412
feature_family_top5,valence,classifier,svm,425,0.5355555555555556,0.5309498919381272,0.5630969030969031,0.6703535353535353,0.36705882352941177,0.08470588235294117,0.004705882352941176
feature_family_top5,valence,classifier,gnb,425,0.5333166833166832,0.5307490300549124,0.5683638583638584,0.6632667332667332,0.3764705882352941,0.06588235294117648,0.002352941176470588
feature_family_top5,valence,classifier,knn,425,0.5157142857142857,0.5146603775309657,0.5476190476190477,0.6655444555444556,0.23529411764705882,0.04,0.002352941176470588
feature_family_top5,arousal,classifier × channel_subset,svm × frontal_central,35,0.5085434173669467,0.531341132490292,0.5413492063492065,0.705,0.22857142857142856,0.2,0.11428571428571428
feature_family_top5,arousal,classifier × channel_subset,logreg × all_channels,245,0.52,0.5279362351001006,0.5628571428571428,0.67125,0.3224489795918367,0.11428571428571428,0.02040816326530612
feature_family_top5,arousal,classifier × channel_subset,logreg × frontal_central,35,0.5019140989729225,0.5270917898627983,0.5675099206349206,0.6775,0.37142857142857144,0.14285714285714285,0.05714285714285714
feature_family_top5,arousal,classifier × channel_subset,svm × all_channels,245,0.5173202614379084,0.5223446277945077,0.5528478057889823,0.6912499999999999,0.27346938775510204,0.09387755102040816,0.0163265306122449
feature_family_top5,arousal,classifier × channel_subset,gnb × all_channels,245,0.51,0.5179340418485077,0.5601587301587302,0.65625,0.2897959183673469,0.07755102040816327,0.00816326530612245
feature_family_top5,arousal,classifier × channel_subset,knn × all_channels,245,0.5103596403596404,0.5159644856610643,0.5472027972027972,0.6950000000000001,0.2163265306122449,0.044897959183673466,0.00816326530612245
feature_family_top5,arousal,classifier × channel_subset,svm × midline,80,0.5086928104575164,0.5141529450941216,0.5469494047619048,0.64,0.2375,0.05,0.0
feature_family_top5,arousal,classifier × channel_subset,knn × frontal_central,35,0.4986928104575163,0.5103771606544717,0.5476190476190477,0.635,0.2571428571428571,0.11428571428571428,0.0
feature_family_top5,arousal,classifier × channel_subset,gnb × frontal_central,35,0.492063492063492,0.5095510542212223,0.548125,0.60375,0.22857142857142856,0.02857142857142857,0.0
feature_family_top5,arousal,classifier × channel_subset,knn × midline,80,0.5046825396825396,0.5071077268319916,0.5345092407592408,0.5907936507936508,0.0875,0.0,0.0
feature_family_top5,arousal,classifier × channel_subset,logreg × midline,80,0.5004606504606504,0.5055031204498116,0.5327888777888778,0.6675,0.1375,0.025,0.0125
feature_family_top5,arousal,classifier × channel_subset,svm × posterior,65,0.5020634920634921,0.505052538336475,0.5220634920634921,0.5843856143856143,0.12307692307692308,0.0,0.0
feature_family_top5,arousal,classifier × channel_subset,logreg × posterior,65,0.5098412698412698,0.5048851528059672,0.5293650793650794,0.6119047619047618,0.09230769230769231,0.015384615384615385,0.0
feature_family_top5,arousal,classifier × channel_subset,knn × posterior,65,0.4990196078431372,0.5047097542979896,0.5273015873015872,0.6253846153846154,0.1076923076923077,0.015384615384615385,0.0
feature_family_top5,arousal,classifier × channel_subset,gnb × midline,80,0.5009570494864612,0.5027818264252087,0.5234094887955182,0.6203174603174604,0.1,0.025,0.0
feature_family_top5,arousal,classifier × channel_subset,gnb × posterior,65,0.5085714285714286,0.5011612300469765,0.5235760971055089,0.5497502497502498,0.0,0.0,0.0
feature_family_top5,valence,classifier × channel_subset,gnb × frontal_central,35,0.5569191919191919,0.5526247086247086,0.5751171051171051,0.6279797979797979,0.5428571428571428,0.08571428571428572,0.0
feature_family_top5,valence,classifier × channel_subset,svm × frontal_central,35,0.5420679320679321,0.5435882530168245,0.5567554667554668,0.6345454545454545,0.3142857142857143,0.05714285714285714,0.0
feature_family_top5,valence,classifier × channel_subset,logreg × frontal_central,35,0.5392607392607393,0.5429640993926709,0.5645909645909646,0.6348989898989899,0.34285714285714286,0.11428571428571428,0.0
feature_family_top5,valence,classifier × channel_subset,logreg × all_channels,245,0.5441458541458541,0.5423807122582632,0.5841414141414141,0.6699900099900099,0.43673469387755104,0.1510204081632653,0.02857142857142857
feature_family_top5,valence,classifier × channel_subset,logreg × posterior,65,0.5365079365079365,0.5381170282708744,0.5753246753246752,0.6432967032967032,0.4461538461538462,0.13846153846153847,0.0
