comparison_type,experiment,target,comparison,n_matched_configurations,mean_delta_ba,median_delta_ba,fraction_logreg_better
matched_logreg_vs_classifier,individual_optimized_top15,arousal,logreg - extra_trees,105,0.0209094828296509,0.023886113886113725,0.7047619047619048
matched_logreg_vs_classifier,individual_optimized_top15,valence,logreg - extra_trees,105,0.011314981314981317,0.010952380952380936,0.6095238095238096
matched_logreg_vs_classifier,individual_optimized_top15,arousal,logreg - gnb,105,0.009479043754253843,0.007460317460317389,0.5523809523809524
matched_logreg_vs_classifier,individual_optimized_top15,valence,logreg - gnb,105,-0.001348741205884062,-0.0064135864135863585,0.44761904761904764
matched_logreg_vs_classifier,individual_optimized_top15,arousal,logreg - knn,105,0.016949555346614173,0.016249999999999987,0.6857142857142857
matched_logreg_vs_classifier,individual_optimized_top15,valence,logreg - knn,105,0.030605389319675044,0.024126984126984108,0.6952380952380952
matched_logreg_vs_classifier,individual_optimized_top15,arousal,logreg - svm,105,0.0081141688998832,0.007812187812187843,0.5619047619047619
matched_logreg_vs_classifier,individual_optimized_top15,valence,logreg - svm,105,0.009298896870325445,0.006971916971917014,0.6
matched_logreg_vs_classifier,feature_family_top5,arousal,logreg - gnb,425,0.008292286106818977,0.007282913165266081,0.5764705882352941
matched_logreg_vs_classifier,feature_family_top5,valence,logreg - gnb,425,0.0070588418117829895,0.004405594405594515,0.5576470588235294
matched_logreg_vs_classifier,feature_family_top5,arousal,logreg - knn,425,0.008002642417175292,0.008750000000000036,0.5788235294117647
matched_logreg_vs_classifier,feature_family_top5,valence,logreg - knn,425,0.023147494335729626,0.02238095238095239,0.6705882352941176
matched_logreg_vs_classifier,feature_family_top5,arousal,logreg - svm,425,0.0012196488632474816,0.0007292707292707035,0.5058823529411764
matched_logreg_vs_classifier,feature_family_top5,valence,logreg - svm,425,0.006857979928568161,0.0053968253968254,0.548235294117647
matched_logreg_vs_classifier,label_ambiguity_top5,arousal,logreg - gnb,105,0.009479043754253843,0.007460317460317389,0.5523809523809524
matched_logreg_vs_classifier,label_ambiguity_top5,valence,logreg - gnb,105,-0.001348741205884062,-0.0064135864135863585,0.44761904761904764
matched_logreg_vs_classifier,label_ambiguity_top5,arousal,logreg - knn,105,0.016949555346614173,0.016249999999999987,0.6857142857142857
matched_logreg_vs_classifier,label_ambiguity_top5,valence,logreg - knn,105,0.030605389319675044,0.024126984126984108,0.6952380952380952
matched_logreg_vs_classifier,label_ambiguity_top5,arousal,logreg - svm,105,0.0081141688998832,0.007812187812187843,0.5619047619047619
matched_logreg_vs_classifier,label_ambiguity_top5,valence,logreg - svm,105,0.009298896870325445,0.006971916971917014,0.6
matched_paper_compact_logreg_vs_classifier,feature_family_top5,arousal,logreg - gnb,140,0.0052819483271163955,0.00472222222222235,0.5214285714285715
matched_paper_compact_logreg_vs_classifier,feature_family_top5,valence,logreg - gnb,140,0.0033293412936270016,0.0011649461649461679,0.5214285714285715
matched_paper_compact_logreg_vs_classifier,feature_family_top5,arousal,logreg - knn,140,0.006742695213283448,0.006220238095238029,0.5785714285714286
matched_paper_compact_logreg_vs_classifier,feature_family_top5,valence,logreg - knn,140,0.024921764743193315,0.025793095793095744,0.6857142857142857
matched_paper_compact_logreg_vs_classifier,feature_family_top5,arousal,logreg - svm,140,-0.00017766768712147043,0.0034920634920634908,0.5357142857142857
matched_paper_compact_logreg_vs_classifier,feature_family_top5,valence,logreg - svm,140,0.00928757353757354,0.005915750915750917,0.5785714285714286
matched_exclude_midpoint_vs_standard,label_ambiguity_top5,arousal,exclude_midpoint - standard,420,-0.010171895448155952,-0.011914682539682558,0.4357142857142857
matched_exclude_midpoint_vs_standard,label_ambiguity_top5,valence,exclude_midpoint - standard,420,0.016418069364497932,0.01327672327672319,0.6071428571428571
