participant,target,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,pooled_fold_ba_sd,pooled_fold_ba_min,pooled_fold_ba_max,eeg_usable_trials,face_usable_trials,valence_multimodal_usable_trials,arousal_multimodal_usable_trials,eeg_retention_percent,face_detection_percent,motion_correction_percent,missing_valence,missing_arousal,qc_group,reason,optimized_n_configurations,optimized_median_ba,optimized_maximum_ba,optimized_fraction_ba_ge_60
P06,arousal,36,0.563106893106893,0.5686127761127762,0.5852672327672327,0.6779420579420579,0.5833333333333334,0.2222222222222222,0.08949213009210061,0.3286713286713286,0.7928571428571429,115,120,115,115,95.83333333333331,100.0,,0,0,Review due to elevated EEG rejection,"Retained 115/120 trials (95.833%), below the established 116/120 (96.667%) boundary.",105.0,0.5637962037962039,0.6791708291708292,0.2571428571428571
P22,arousal,36,0.5748412698412699,0.5695634920634921,0.5946428571428571,0.6777777777777778,0.6666666666666666,0.1111111111111111,0.08798736172133845,0.3611111111111111,0.7976190476190477,120,120,120,120,100.0,100.0,24.166666666666668,0,0,Very clean,No AutoReject epoch losses.,105.0,0.5655555555555555,0.6777777777777778,0.10476190476190476
P09,arousal,36,0.5736607142857142,0.55234447945845,0.5944196428571429,0.6598214285714286,0.5833333333333334,0.2222222222222222,0.09814765209985553,0.3125,0.8258928571428572,115,120,115,115,95.83333333333331,100.0,,0,0,Review due to elevated EEG rejection,"Retained 115/120 trials (95.833%), below the established 116/120 (96.667%) boundary.",,,,
P13,arousal,36,0.5734722222222222,0.5590163771413771,0.6044696969696969,0.6581818181818182,0.5833333333333334,0.2777777777777778,0.11316410679094403,0.3452380952380952,0.8636363636363636,88,114,88,88,77.19298245614034,99.94152046783628,,0,0,Special/incomplete case,Current validation manifest records an incomplete session.,,,,
P19,arousal,36,0.5681818181818181,0.5730963480963481,0.6314685314685315,0.6573426573426573,0.6111111111111112,0.4166666666666667,0.09995168531642758,0.3356643356643357,0.8006993006993006,120,120,120,120,100.0,100.0,27.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P40,arousal,36,0.4886507936507936,0.5189109347442681,0.565436507936508,0.6541269841269841,0.3333333333333333,0.2222222222222222,0.11359750587039252,0.25,0.788888888888889,120,120,120,120,100.0,100.0,16.666666666666668,0,0,Very clean,No AutoReject epoch losses.,105.0,0.4877777777777777,0.7028571428571428,0.08571428571428572
P36,arousal,36,0.5531250000000001,0.5365202238302729,0.5862499999999999,0.6525000000000001,0.5277777777777778,0.1388888888888889,0.11580570403112965,0.25,0.875,102,120,102,102,85.0,100.0,34.166666666666664,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,105.0,0.57875,0.6950000000000001,0.29523809523809524
P44,arousal,36,0.563986013986014,0.5676004551004551,0.6076923076923076,0.6382417582417583,0.6666666666666666,0.3333333333333333,0.09712545605941572,0.2928571428571428,0.8071428571428572,119,120,119,119,99.16666666666669,100.0,19.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P01,arousal,36,0.5395909645909647,0.5373477140143806,0.5895238095238096,0.6357753357753357,0.3611111111111111,0.19444444444444445,0.102030696602471,0.2896825396825396,0.7735042735042735,114,120,114,112,95.0,100.0,22.5,0,2,Review due to missing ratings,At least one target rating is absent.,,,,
P16,arousal,36,0.5622222222222222,0.5629706790123457,0.5802083333333333,0.6302777777777777,0.6666666666666666,0.1388888888888889,0.08626995395178802,0.2333333333333333,0.8375,117,120,117,117,97.5,100.0,31.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
