experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
feature_family_top5,arousal,gnb,classifier__var_smoothing,1e-11,2125,425,2125,0.507749766573296,0.5118262428651701,0.54,0.65625,0.20470588235294118,0.05176470588235294,0.004705882352941176
feature_family_top5,arousal,knn,classifier__metric,euclidean,1060,406,1060,0.5052380952380953,0.5112143070657916,0.537536075036075,0.655,0.1660377358490566,0.031132075471698113,0.002830188679245283
feature_family_top5,arousal,knn,classifier__metric,manhattan,1065,410,1065,0.5080952380952382,0.5130132332762821,0.5406349206349207,0.6950000000000001,0.19154929577464788,0.044131455399061034,0.006572769953051643
feature_family_top5,arousal,knn,classifier__n_neighbors,11,233,183,233,0.5060224089635854,0.5105277273779546,0.5366666666666667,0.64375,0.15879828326180256,0.017167381974248927,0.0
feature_family_top5,arousal,knn,classifier__n_neighbors,15,249,190,249,0.5001587301587301,0.5037661958090731,0.5228571428571428,0.6253846153846154,0.10843373493975904,0.008032128514056224,0.0
feature_family_top5,arousal,knn,classifier__n_neighbors,21,279,194,279,0.49375,0.498141516634559,0.523968253968254,0.61875,0.0967741935483871,0.0035842293906810036,0.0
feature_family_top5,arousal,knn,classifier__n_neighbors,3,521,306,521,0.52,0.5223167267792987,0.5503174603174603,0.6950000000000001,0.2514395393474088,0.0710172744721689,0.009596928982725527
feature_family_top5,arousal,knn,classifier__n_neighbors,5,318,237,318,0.50875,0.5150922933275874,0.5469645979020978,0.6950000000000001,0.21069182389937108,0.050314465408805034,0.009433962264150943
feature_family_top5,arousal,knn,classifier__n_neighbors,7,274,211,274,0.5065079365079365,0.5152711573884824,0.5396031746031746,0.6950000000000001,0.19708029197080293,0.04744525547445255,0.0072992700729927005
feature_family_top5,arousal,knn,classifier__n_neighbors,9,251,200,251,0.505079365079365,0.5090174163258298,0.5319047619047619,0.64375,0.14741035856573706,0.027888446215139442,0.0
feature_family_top5,arousal,knn,classifier__weights,distance,487,263,487,0.5065079365079365,0.5104694564102403,0.5373015873015874,0.64375,0.16427104722792607,0.026694045174537988,0.0
