mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
general,COHORT,P10,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5013870460786052
general,COHORT,P11,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5001028191613484
general,COHORT,P19,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.4937290282741314
general,COHORT,P22,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.4887989676451909
general,COHORT,P25,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5038232609092583
general,COHORT,P32,valence,eeg,knn,all,all,6,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4897670305434424
general,COHORT,P40,valence,eeg,knn,all,all,7,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4916544796043073
general,COHORT,P42,valence,eeg,knn,all,all,8,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4927872834900878
general,COHORT,P43,valence,eeg,knn,all,all,9,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.48625829039708907
general,COHORT,P45,valence,eeg,knn,all,all,10,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.48686313676373894
general,COHORT,P10,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5006819639557376
general,COHORT,P11,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5055626016946458
general,COHORT,P19,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5064390273600969
general,COHORT,P22,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5075168083513864
general,COHORT,P25,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5024293795086883
general,COHORT,P32,valence,eeg,knn,5,5,6,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5209186691526903
general,COHORT,P40,valence,eeg,knn,5,5,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4997981580985947
general,COHORT,P42,valence,eeg,knn,5,5,8,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5401353554026983
general,COHORT,P43,valence,eeg,knn,5,5,9,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.507282161486755
general,COHORT,P45,valence,eeg,knn,5,5,10,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.4904746183098065
general,COHORT,P10,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.496942269471469
general,COHORT,P11,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4907681147781622
general,COHORT,P19,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5039902855949892
general,COHORT,P22,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5135754156607794
general,COHORT,P25,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5027433845651463
general,COHORT,P32,valence,eeg,knn,10,10,6,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5067217276288538
general,COHORT,P40,valence,eeg,knn,10,10,7,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5174620764083266
general,COHORT,P42,valence,eeg,knn,10,10,8,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5162870803389655
