mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
general,COHORT,P10,valence,eeg,knn,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5414285714285715,0.5583333333333333,0.6164383561643836,0.6428571428571429,0.6293706293706294,22,28,25,45
general,COHORT,P11,valence,eeg,knn,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5027808676307007,0.5166666666666667,0.5181818181818182,0.9193548387096774,0.6627906976744186,5,53,5,57
general,COHORT,P19,valence,eeg,knn,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5066445182724253,0.525,0.6470588235294118,0.5714285714285714,0.6068965517241379,19,24,33,44
general,COHORT,P22,valence,eeg,knn,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4756787330316742,0.475,0.4098360655737705,0.4807692307692308,0.4424778761061947,32,36,27,25
general,COHORT,P25,valence,eeg,knn,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.45538720538720534,0.475,0.5180722891566265,0.6515151515151515,0.5771812080536913,14,40,23,43
general,COHORT,P32,valence,eeg,knn,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.5088987764182424,0.5166666666666667,0.5227272727272727,0.7419354838709677,0.6133333333333333,16,42,16,46
general,COHORT,P40,valence,eeg,knn,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.5117845117845118,0.5,0.5652173913043478,0.3939393939393939,0.4642857142857143,34,20,40,26
general,COHORT,P42,valence,eeg,knn,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.5311085972850679,0.525,0.6,0.4852941176470588,0.5365853658536586,30,22,35,33
general,COHORT,P43,valence,eeg,knn,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.41362126245847175,0.4583333333333333,0.5789473684210527,0.5714285714285714,0.5751633986928104,11,32,33,44
general,COHORT,P45,valence,eeg,knn,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.47527472527472525,0.475,0.6271186440677966,0.47435897435897434,0.5401459854014599,20,22,41,37
general,COHORT,P10,valence,eeg,knn,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.47,0.425,0.5185185185185185,0.2,0.28865979381443296,37,13,56,14
general,COHORT,P11,valence,eeg,knn,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5008342602892102,0.5083333333333333,0.5172413793103449,0.7258064516129032,0.6040268456375839,16,42,17,45
general,COHORT,P19,valence,eeg,knn,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5572334642102084,0.5833333333333334,0.684931506849315,0.6493506493506493,0.6666666666666666,20,23,27,50
general,COHORT,P22,valence,eeg,knn,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4881221719457014,0.4583333333333333,0.42528735632183906,0.7115384615384616,0.5323741007194245,18,50,15,37
general,COHORT,P25,valence,eeg,knn,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5218855218855218,0.5333333333333333,0.5675675675675675,0.6363636363636364,0.6,22,32,24,42
general,COHORT,P32,valence,eeg,knn,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.4824805339265851,0.49166666666666664,0.5053763440860215,0.7580645161290323,0.6064516129032258,12,46,15,47
general,COHORT,P40,valence,eeg,knn,5,5,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.46380471380471383,0.475,0.5205479452054794,0.5757575757575758,0.5467625899280576,19,35,28,38
general,COHORT,P42,valence,eeg,knn,5,5,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.44739819004524883,0.4583333333333333,0.5217391304347826,0.5294117647058824,0.5255474452554745,19,33,32,36
general,COHORT,P43,valence,eeg,knn,5,5,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.514799154334038,0.575,0.6511627906976745,0.7272727272727273,0.6871165644171779,13,30,21,56
general,COHORT,P45,valence,eeg,knn,5,5,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.48260073260073255,0.49166666666666664,0.6349206349206349,0.5128205128205128,0.5673758865248227,19,23,38,40
general,COHORT,P10,valence,eeg,knn,10,10,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4842857142857143,0.475,0.5660377358490566,0.42857142857142855,0.4878048780487805,27,23,40,30
