mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,valence,eeg,gnb,10,10,10,0.49171501869496226,0.051030196727805364,0.5050904977375565,0.3907119021134594,0.5590456055572335,0.4766666666666667,0.5697077414411281,0.5005758315056228,0.47844037583221394
general,COHORT,valence,eeg,gnb,20,20,10,0.4871591975544688,0.033406369806733026,0.49563984490455076,0.41657397107897665,0.5357142857142857,0.49416666666666664,0.5603984552946228,0.6510497630137099,0.5504741210845665
general,COHORT,valence,eeg,gnb,5,5,10,0.48220934946563815,0.03857037116798339,0.4787481037481037,0.41628959276018096,0.5372636262513905,0.46749999999999997,0.5426314643567738,0.5293899111641047,0.48270120825836954
general,COHORT,valence,eeg,gnb,all,all,10,0.4884450895814426,0.03645326215360631,0.49290702377788803,0.4021493212669683,0.531986531986532,0.5383333333333333,0.5602615017065145,0.8371357958929118,0.6624924435461035
general,COHORT,valence,eeg,knn,10,10,10,0.47586978481755854,0.04437475143655647,0.4818382190462279,0.38659015403201447,0.5294117647058824,0.485,0.5467097164177763,0.5933273873501578,0.5609527071079699
general,COHORT,valence,eeg,knn,20,20,10,0.5263505231331893,0.04820292494585406,0.5407105149752209,0.4436026936026936,0.5739710789766407,0.5358333333333334,0.586719176660623,0.6364143225528425,0.6021766888808654
general,COHORT,valence,eeg,knn,5,5,10,0.492915874304196,0.031972742269847504,0.485361452273217,0.44739819004524883,0.5572334642102084,0.5,0.5547293173912178,0.6026386295551381,0.5624981505866866
general,COHORT,valence,eeg,knn,all,all,10,0.4922607768971596,0.03801974980996518,0.5047126929515631,0.41362126245847175,0.5414285714285715,0.5025000000000001,0.5603598029126481,0.593288147652474,0.5648230760496048
general,COHORT,valence,eeg,svm,10,10,10,0.4874889516202086,0.024017638829727687,0.5,0.43265993265993263,0.5042857142857143,0.5458333333333334,0.5565615768212234,0.9138105980041464,0.687804554240627
general,COHORT,valence,eeg,svm,20,20,10,0.4893317464727665,0.061432192639998356,0.49056267806267806,0.4247737556561086,0.6424041075203866,0.5225,0.5592957759731572,0.7755780525609748,0.633614339413435
general,COHORT,valence,eeg,svm,5,5,10,0.4882547490827857,0.014336623923056575,0.4951923076923077,0.4632352941176471,0.5,0.5433333333333333,0.5576908632822025,0.8980448868020025,0.6834962271185787
general,COHORT,valence,eeg,svm,all,all,10,0.4757081624720504,0.03805172594092042,0.5,0.4124579124579124,0.5,0.5341666666666667,0.5472777556968733,0.8856417775772615,0.6709562296882212
