mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,gnb,10,10,eeg_hm__PO8,15,5,0.3,2.830344748112223
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__PO8,12,5,0.24,3.370943353815026
individual,arousal,eeg,gnb,10,10,eeg_hc__PO8,12,5,0.24,2.572678973735876
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Cz,12,5,0.24,2.2414456733631503
individual,arousal,eeg,gnb,10,10,eeg_hc__C4,11,5,0.22,2.0811887161522065
individual,arousal,eeg,gnb,10,10,eeg_hc__Cz,11,5,0.22,2.6402644827431034
individual,arousal,eeg,gnb,10,10,eeg_hm__Oz,11,5,0.22,2.466158539419953
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO8,11,5,0.22,1.8135764699438344
individual,arousal,eeg,gnb,10,10,eeg_hc__Fz,10,5,0.2,2.387407266433144
individual,arousal,eeg,gnb,10,10,eeg_hm__Cz,10,5,0.2,2.454963457610185
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__C4,10,5,0.2,2.039314427056923
individual,arousal,eeg,gnb,10,10,eeg_se__Cz,10,5,0.2,2.221239592298642
individual,arousal,eeg,gnb,10,10,eeg_hc__Oz,9,5,0.18,2.34384396406378
individual,arousal,eeg,gnb,10,10,eeg_hm__Fz,9,5,0.18,2.0518371343675854
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__Cz,9,5,0.18,2.7029020431031228
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,8,5,0.16,2.390546206059666
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Cz,8,5,0.16,2.051950818654613
individual,arousal,eeg,gnb,10,10,eeg_hm__C3,8,5,0.16,1.451789540078912
individual,arousal,eeg,gnb,10,10,eeg_se__C3,8,5,0.16,1.9008258264921767
individual,arousal,eeg,gnb,10,10,eeg_se__PO8,8,5,0.16,2.8775405735304775
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO7,8,5,0.16,1.9190183700406636
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,7,5,0.14,2.0128278914302755
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Oz,7,5,0.14,1.9657035122982953
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Oz,7,5,0.14,1.3978727387305099
individual,arousal,eeg,gnb,10,10,eeg_hm__C4,7,5,0.14,1.809070376507213
individual,arousal,eeg,gnb,10,10,eeg_sd__Cz,7,5,0.14,1.3429001422928528
