mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
general,COHORT,P10,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5051416266567742
general,COHORT,P11,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.49717380379779624
general,COHORT,P14,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4954643759993097
general,COHORT,P15,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.498816844208201
general,COHORT,P16,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5071633732710291
general,COHORT,P17,valence,eeg,knn,all,all,6,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4968610075841342
general,COHORT,P18,valence,eeg,knn,all,all,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5069402262112096
general,COHORT,P19,valence,eeg,knn,all,all,8,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4929578341245451
general,COHORT,P20,valence,eeg,knn,all,all,9,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4968733719531372
general,COHORT,P22,valence,eeg,knn,all,all,10,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5077274066924418
general,COHORT,P23,valence,eeg,knn,all,all,11,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5000620500151138
general,COHORT,P24,valence,eeg,knn,all,all,12,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.49361108096230666
general,COHORT,P25,valence,eeg,knn,all,all,13,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49752278418157825
general,COHORT,P26,valence,eeg,knn,all,all,14,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5046276401633903
general,COHORT,P27,valence,eeg,knn,all,all,15,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5057521147307467
general,COHORT,P30,valence,eeg,knn,all,all,16,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.489482955799916
general,COHORT,P32,valence,eeg,knn,all,all,17,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.49593612904020973
general,COHORT,P33,valence,eeg,knn,all,all,18,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4905871213243067
general,COHORT,P34,valence,eeg,knn,all,all,19,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5011592209091507
general,COHORT,P38,valence,eeg,knn,all,all,20,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5045744401017633
general,COHORT,P39,valence,eeg,knn,all,all,21,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4951352603161917
general,COHORT,P40,valence,eeg,knn,all,all,22,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.503555666100246
general,COHORT,P41,valence,eeg,knn,all,all,23,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5045782129916034
general,COHORT,P42,valence,eeg,knn,all,all,24,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49595657908716906
general,COHORT,P43,valence,eeg,knn,all,all,25,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5067742774287541
general,COHORT,P44,valence,eeg,knn,all,all,26,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5039112427926083
general,COHORT,P45,valence,eeg,knn,all,all,27,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4926360685960466
general,COHORT,P46,valence,eeg,knn,all,all,28,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5128846836309584
general,COHORT,P10,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5112635884325926
general,COHORT,P11,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.49796068021558426
general,COHORT,P14,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5016635569832892
general,COHORT,P15,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.4986913952759625
general,COHORT,P16,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5104949245000312
general,COHORT,P17,valence,eeg,knn,5,5,6,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5132765091129583
general,COHORT,P18,valence,eeg,knn,5,5,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5188505572817507
general,COHORT,P19,valence,eeg,knn,5,5,8,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.48364493678243425
general,COHORT,P20,valence,eeg,knn,5,5,9,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4921303842000896
general,COHORT,P22,valence,eeg,knn,5,5,10,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.4911047518972003
general,COHORT,P23,valence,eeg,knn,5,5,11,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5065224797025186
general,COHORT,P24,valence,eeg,knn,5,5,12,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5206626742668528
general,COHORT,P25,valence,eeg,knn,5,5,13,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5062282741265426
general,COHORT,P26,valence,eeg,knn,5,5,14,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5018193772416305
general,COHORT,P27,valence,eeg,knn,5,5,15,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5192239703253613
general,COHORT,P30,valence,eeg,knn,5,5,16,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5150987277124305
general,COHORT,P32,valence,eeg,knn,5,5,17,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49727834655783026
general,COHORT,P33,valence,eeg,knn,5,5,18,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5038813512383682
general,COHORT,P34,valence,eeg,knn,5,5,19,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.4967469926587261
general,COHORT,P38,valence,eeg,knn,5,5,20,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5041205826908305
general,COHORT,P39,valence,eeg,knn,5,5,21,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5157783181349574
general,COHORT,P40,valence,eeg,knn,5,5,22,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.49183070525396344
general,COHORT,P41,valence,eeg,knn,5,5,23,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5053495568123968
general,COHORT,P42,valence,eeg,knn,5,5,24,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.49336067896976765
general,COHORT,P43,valence,eeg,knn,5,5,25,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.49621712522402417
general,COHORT,P44,valence,eeg,knn,5,5,26,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5164209451982061
general,COHORT,P45,valence,eeg,knn,5,5,27,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5096880956182954
general,COHORT,P46,valence,eeg,knn,5,5,28,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.49272210500029445
