mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P10,valence,eeg,knn,all,1,17,33,38,32
general,COHORT,P11,valence,eeg,knn,all,2,22,36,21,41
general,COHORT,P14,valence,eeg,knn,all,3,14,48,7,47
general,COHORT,P15,valence,eeg,knn,all,4,9,29,17,61
general,COHORT,P16,valence,eeg,knn,all,5,21,34,27,35
general,COHORT,P17,valence,eeg,knn,all,6,15,36,16,51
general,COHORT,P18,valence,eeg,knn,all,7,35,21,24,36
general,COHORT,P19,valence,eeg,knn,all,8,18,25,51,26
general,COHORT,P20,valence,eeg,knn,all,9,18,34,26,39
general,COHORT,P22,valence,eeg,knn,all,10,16,52,21,31
general,COHORT,P23,valence,eeg,knn,all,11,22,47,14,34
general,COHORT,P24,valence,eeg,knn,all,12,17,45,19,36
general,COHORT,P25,valence,eeg,knn,all,13,14,40,24,42
general,COHORT,P26,valence,eeg,knn,all,14,14,52,11,40
general,COHORT,P27,valence,eeg,knn,all,15,13,24,37,42
general,COHORT,P30,valence,eeg,knn,all,16,34,23,28,31
general,COHORT,P32,valence,eeg,knn,all,17,18,40,26,36
general,COHORT,P33,valence,eeg,knn,all,18,18,42,14,43
general,COHORT,P34,valence,eeg,knn,all,19,19,51,8,40
general,COHORT,P38,valence,eeg,knn,all,20,10,39,20,48
general,COHORT,P39,valence,eeg,knn,all,21,13,20,39,45
general,COHORT,P40,valence,eeg,knn,all,22,17,37,27,39
general,COHORT,P41,valence,eeg,knn,all,23,8,44,11,54
general,COHORT,P42,valence,eeg,knn,all,24,15,37,14,54
general,COHORT,P43,valence,eeg,knn,all,25,11,32,18,59
general,COHORT,P44,valence,eeg,knn,all,26,10,25,31,53
general,COHORT,P45,valence,eeg,knn,all,27,14,28,25,53
general,COHORT,P46,valence,eeg,knn,all,28,16,33,23,45
general,COHORT,P10,valence,eeg,knn,5,1,35,15,50,20
general,COHORT,P11,valence,eeg,knn,5,2,13,45,19,43
general,COHORT,P14,valence,eeg,knn,5,3,18,44,27,27
general,COHORT,P15,valence,eeg,knn,5,4,14,24,30,48
general,COHORT,P16,valence,eeg,knn,5,5,28,27,29,33
general,COHORT,P17,valence,eeg,knn,5,6,22,29,28,39
general,COHORT,P18,valence,eeg,knn,5,7,21,35,26,34
general,COHORT,P19,valence,eeg,knn,5,8,17,26,33,44
general,COHORT,P20,valence,eeg,knn,5,9,9,43,17,48
general,COHORT,P22,valence,eeg,knn,5,10,29,39,23,29
general,COHORT,P23,valence,eeg,knn,5,11,29,40,18,30
general,COHORT,P24,valence,eeg,knn,5,12,30,32,23,32
general,COHORT,P25,valence,eeg,knn,5,13,14,40,18,48
general,COHORT,P26,valence,eeg,knn,5,14,17,49,15,36
general,COHORT,P27,valence,eeg,knn,5,15,13,24,35,44
general,COHORT,P30,valence,eeg,knn,5,16,23,34,25,34
general,COHORT,P32,valence,eeg,knn,5,17,19,39,15,47
general,COHORT,P33,valence,eeg,knn,5,18,25,35,17,40
general,COHORT,P34,valence,eeg,knn,5,19,30,40,18,30
general,COHORT,P38,valence,eeg,knn,5,20,25,24,38,30
general,COHORT,P39,valence,eeg,knn,5,21,12,21,34,50
general,COHORT,P40,valence,eeg,knn,5,22,28,26,27,39
general,COHORT,P41,valence,eeg,knn,5,23,15,37,30,35
general,COHORT,P42,valence,eeg,knn,5,24,23,29,31,37
general,COHORT,P43,valence,eeg,knn,5,25,18,25,31,46
general,COHORT,P44,valence,eeg,knn,5,26,17,18,37,47
general,COHORT,P45,valence,eeg,knn,5,27,25,17,34,44
general,COHORT,P46,valence,eeg,knn,5,28,18,31,24,44
general,COHORT,P10,valence,eeg,knn,10,1,40,10,56,14
general,COHORT,P11,valence,eeg,knn,10,2,13,45,8,54
general,COHORT,P14,valence,eeg,knn,10,3,32,30,27,27
general,COHORT,P15,valence,eeg,knn,10,4,19,19,38,40
general,COHORT,P16,valence,eeg,knn,10,5,25,30,27,35
general,COHORT,P17,valence,eeg,knn,10,6,18,33,16,51
general,COHORT,P18,valence,eeg,knn,10,7,18,38,25,35
general,COHORT,P19,valence,eeg,knn,10,8,18,25,45,32
general,COHORT,P20,valence,eeg,knn,10,9,18,34,23,42
general,COHORT,P22,valence,eeg,knn,10,10,25,43,21,31
general,COHORT,P23,valence,eeg,knn,10,11,29,40,21,27
general,COHORT,P24,valence,eeg,knn,10,12,25,37,22,33
general,COHORT,P25,valence,eeg,knn,10,13,8,46,12,54
general,COHORT,P26,valence,eeg,knn,10,14,20,46,14,37
general,COHORT,P27,valence,eeg,knn,10,15,13,24,41,38
general,COHORT,P30,valence,eeg,knn,10,16,18,39,27,32
general,COHORT,P32,valence,eeg,knn,10,17,28,30,26,36
general,COHORT,P33,valence,eeg,knn,10,18,14,46,14,43
general,COHORT,P34,valence,eeg,knn,10,19,25,45,24,24
general,COHORT,P38,valence,eeg,knn,10,20,28,21,38,30
general,COHORT,P39,valence,eeg,knn,10,21,10,23,25,59
general,COHORT,P40,valence,eeg,knn,10,22,15,39,36,30
general,COHORT,P41,valence,eeg,knn,10,23,16,36,25,40
general,COHORT,P42,valence,eeg,knn,10,24,24,28,39,29
general,COHORT,P43,valence,eeg,knn,10,25,16,27,32,45
general,COHORT,P44,valence,eeg,knn,10,26,18,17,40,44
general,COHORT,P45,valence,eeg,knn,10,27,9,33,24,54
general,COHORT,P46,valence,eeg,knn,10,28,17,32,30,38
general,COHORT,P10,valence,eeg,knn,20,1,42,8,58,12
general,COHORT,P11,valence,eeg,knn,20,2,17,41,25,37
general,COHORT,P14,valence,eeg,knn,20,3,32,30,22,32
general,COHORT,P15,valence,eeg,knn,20,4,9,29,23,55
general,COHORT,P16,valence,eeg,knn,20,5,21,34,25,37
general,COHORT,P17,valence,eeg,knn,20,6,15,36,22,45
general,COHORT,P18,valence,eeg,knn,20,7,12,44,13,47
general,COHORT,P19,valence,eeg,knn,20,8,26,17,49,28
general,COHORT,P20,valence,eeg,knn,20,9,20,32,22,43
general,COHORT,P22,valence,eeg,knn,20,10,29,39,18,34
general,COHORT,P23,valence,eeg,knn,20,11,23,46,22,26
general,COHORT,P24,valence,eeg,knn,20,12,26,36,23,32
general,COHORT,P25,valence,eeg,knn,20,13,18,36,30,36
general,COHORT,P26,valence,eeg,knn,20,14,17,49,18,33
general,COHORT,P27,valence,eeg,knn,20,15,17,20,23,56
general,COHORT,P30,valence,eeg,knn,20,16,23,34,21,38
general,COHORT,P32,valence,eeg,knn,20,17,24,34,29,33
general,COHORT,P33,valence,eeg,knn,20,18,14,46,19,38
general,COHORT,P34,valence,eeg,knn,20,19,28,42,21,27
general,COHORT,P38,valence,eeg,knn,20,20,28,21,37,31
general,COHORT,P39,valence,eeg,knn,20,21,16,17,35,49
general,COHORT,P40,valence,eeg,knn,20,22,17,37,15,51
general,COHORT,P41,valence,eeg,knn,20,23,15,37,24,41
general,COHORT,P42,valence,eeg,knn,20,24,35,17,37,31
general,COHORT,P43,valence,eeg,knn,20,25,18,25,34,43
general,COHORT,P44,valence,eeg,knn,20,26,18,17,34,50
general,COHORT,P45,valence,eeg,knn,20,27,11,31,30,48
general,COHORT,P46,valence,eeg,knn,20,28,21,28,23,45
general,COHORT,P10,valence,eeg,svm,all,1,27,23,50,20
general,COHORT,P11,valence,eeg,svm,all,2,0,58,0,62
general,COHORT,P14,valence,eeg,svm,all,3,16,46,3,51
general,COHORT,P15,valence,eeg,svm,all,4,11,27,17,61
general,COHORT,P16,valence,eeg,svm,all,5,16,39,11,51
general,COHORT,P17,valence,eeg,svm,all,6,28,23,34,33
general,COHORT,P18,valence,eeg,svm,all,7,33,23,37,23
general,COHORT,P19,valence,eeg,svm,all,8,26,17,47,30
general,COHORT,P20,valence,eeg,svm,all,9,24,28,36,29
general,COHORT,P22,valence,eeg,svm,all,10,35,33,30,22
general,COHORT,P23,valence,eeg,svm,all,11,23,46,17,31
general,COHORT,P24,valence,eeg,svm,all,12,12,50,13,42
general,COHORT,P25,valence,eeg,svm,all,13,6,48,8,58
general,COHORT,P26,valence,eeg,svm,all,14,8,58,5,46
general,COHORT,P27,valence,eeg,svm,all,15,5,32,9,70
general,COHORT,P30,valence,eeg,svm,all,16,12,45,9,50
general,COHORT,P32,valence,eeg,svm,all,17,11,47,7,55
general,COHORT,P33,valence,eeg,svm,all,18,13,47,15,42
general,COHORT,P34,valence,eeg,svm,all,19,7,63,7,41
general,COHORT,P38,valence,eeg,svm,all,20,22,27,20,48
general,COHORT,P39,valence,eeg,svm,all,21,12,21,24,60
general,COHORT,P40,valence,eeg,svm,all,22,15,39,29,37
general,COHORT,P41,valence,eeg,svm,all,23,0,52,0,65
general,COHORT,P42,valence,eeg,svm,all,24,32,20,37,31
general,COHORT,P43,valence,eeg,svm,all,25,16,27,21,56
general,COHORT,P44,valence,eeg,svm,all,26,3,32,19,65
general,COHORT,P45,valence,eeg,svm,all,27,8,34,21,57
general,COHORT,P46,valence,eeg,svm,all,28,4,45,14,54
general,COHORT,P10,valence,eeg,svm,5,1,37,13,45,25
general,COHORT,P11,valence,eeg,svm,5,2,0,58,0,62
general,COHORT,P14,valence,eeg,svm,5,3,1,61,1,53
general,COHORT,P15,valence,eeg,svm,5,4,0,38,0,78
general,COHORT,P16,valence,eeg,svm,5,5,0,55,0,62
general,COHORT,P17,valence,eeg,svm,5,6,12,39,15,52
general,COHORT,P18,valence,eeg,svm,5,7,0,56,0,60
general,COHORT,P19,valence,eeg,svm,5,8,0,43,0,77
general,COHORT,P20,valence,eeg,svm,5,9,0,52,0,65
general,COHORT,P22,valence,eeg,svm,5,10,0,68,0,52
general,COHORT,P23,valence,eeg,svm,5,11,16,53,11,37
general,COHORT,P24,valence,eeg,svm,5,12,6,56,1,54
general,COHORT,P25,valence,eeg,svm,5,13,7,47,9,57
general,COHORT,P26,valence,eeg,svm,5,14,5,61,3,48
general,COHORT,P27,valence,eeg,svm,5,15,7,30,7,72
general,COHORT,P30,valence,eeg,svm,5,16,0,57,0,59
general,COHORT,P32,valence,eeg,svm,5,17,0,58,0,62
general,COHORT,P33,valence,eeg,svm,5,18,0,60,0,57
general,COHORT,P34,valence,eeg,svm,5,19,0,70,0,48
general,COHORT,P38,valence,eeg,svm,5,20,0,49,0,68
general,COHORT,P39,valence,eeg,svm,5,21,3,30,9,75
general,COHORT,P40,valence,eeg,svm,5,22,0,54,0,66
general,COHORT,P41,valence,eeg,svm,5,23,0,52,0,65
general,COHORT,P42,valence,eeg,svm,5,24,0,52,0,68
general,COHORT,P43,valence,eeg,svm,5,25,0,43,0,77
general,COHORT,P44,valence,eeg,svm,5,26,0,35,0,84
general,COHORT,P45,valence,eeg,svm,5,27,0,42,0,78
general,COHORT,P46,valence,eeg,svm,5,28,0,49,0,68
general,COHORT,P10,valence,eeg,svm,10,1,34,16,56,14
general,COHORT,P11,valence,eeg,svm,10,2,0,58,0,62
general,COHORT,P14,valence,eeg,svm,10,3,0,62,0,54
general,COHORT,P15,valence,eeg,svm,10,4,13,25,25,53
general,COHORT,P16,valence,eeg,svm,10,5,0,55,0,62
general,COHORT,P17,valence,eeg,svm,10,6,1,50,4,63
general,COHORT,P18,valence,eeg,svm,10,7,0,56,0,60
general,COHORT,P19,valence,eeg,svm,10,8,0,43,0,77
general,COHORT,P20,valence,eeg,svm,10,9,0,52,0,65
general,COHORT,P22,valence,eeg,svm,10,10,0,68,0,52
general,COHORT,P23,valence,eeg,svm,10,11,0,69,0,48
general,COHORT,P24,valence,eeg,svm,10,12,0,62,0,55
general,COHORT,P25,valence,eeg,svm,10,13,9,45,10,56
general,COHORT,P26,valence,eeg,svm,10,14,0,66,0,51
general,COHORT,P27,valence,eeg,svm,10,15,9,28,11,68
general,COHORT,P30,valence,eeg,svm,10,16,10,47,10,49
general,COHORT,P32,valence,eeg,svm,10,17,7,51,6,56
general,COHORT,P33,valence,eeg,svm,10,18,0,60,0,57
general,COHORT,P34,valence,eeg,svm,10,19,0,70,0,48
general,COHORT,P38,valence,eeg,svm,10,20,0,49,0,68
general,COHORT,P39,valence,eeg,svm,10,21,6,27,12,72
general,COHORT,P40,valence,eeg,svm,10,22,0,54,0,66
general,COHORT,P41,valence,eeg,svm,10,23,0,52,0,65
general,COHORT,P42,valence,eeg,svm,10,24,2,50,4,64
general,COHORT,P43,valence,eeg,svm,10,25,0,43,0,77
general,COHORT,P44,valence,eeg,svm,10,26,1,34,3,81
general,COHORT,P45,valence,eeg,svm,10,27,1,41,1,77
general,COHORT,P46,valence,eeg,svm,10,28,0,49,0,68
general,COHORT,P10,valence,eeg,svm,20,1,41,9,57,13
general,COHORT,P11,valence,eeg,svm,20,2,0,58,0,62
general,COHORT,P14,valence,eeg,svm,20,3,17,45,10,44
general,COHORT,P15,valence,eeg,svm,20,4,14,24,32,46
general,COHORT,P16,valence,eeg,svm,20,5,20,35,29,33
general,COHORT,P17,valence,eeg,svm,20,6,1,50,6,61
general,COHORT,P18,valence,eeg,svm,20,7,0,56,0,60
general,COHORT,P19,valence,eeg,svm,20,8,18,25,44,33
general,COHORT,P20,valence,eeg,svm,20,9,0,52,0,65
general,COHORT,P22,valence,eeg,svm,20,10,0,68,0,52
general,COHORT,P23,valence,eeg,svm,20,11,0,69,0,48
general,COHORT,P24,valence,eeg,svm,20,12,20,42,21,34
general,COHORT,P25,valence,eeg,svm,20,13,3,51,5,61
general,COHORT,P26,valence,eeg,svm,20,14,7,59,6,45
general,COHORT,P27,valence,eeg,svm,20,15,10,27,15,64
general,COHORT,P30,valence,eeg,svm,20,16,4,53,4,55
general,COHORT,P32,valence,eeg,svm,20,17,19,39,25,37
general,COHORT,P33,valence,eeg,svm,20,18,0,60,0,57
general,COHORT,P34,valence,eeg,svm,20,19,27,43,22,26
general,COHORT,P38,valence,eeg,svm,20,20,0,49,0,68
general,COHORT,P39,valence,eeg,svm,20,21,7,26,13,71
general,COHORT,P40,valence,eeg,svm,20,22,0,54,0,66
general,COHORT,P41,valence,eeg,svm,20,23,20,32,21,44
general,COHORT,P42,valence,eeg,svm,20,24,32,20,39,29
general,COHORT,P43,valence,eeg,svm,20,25,1,42,7,70
general,COHORT,P44,valence,eeg,svm,20,26,0,35,0,84
general,COHORT,P45,valence,eeg,svm,20,27,0,42,0,78
general,COHORT,P46,valence,eeg,svm,20,28,21,28,31,37
general,COHORT,P10,valence,eeg,gnb,all,1,34,16,50,20
general,COHORT,P11,valence,eeg,gnb,all,2,24,34,27,35
general,COHORT,P14,valence,eeg,gnb,all,3,1,61,1,53
general,COHORT,P15,valence,eeg,gnb,all,4,1,37,1,77
general,COHORT,P16,valence,eeg,gnb,all,5,1,54,3,59
general,COHORT,P17,valence,eeg,gnb,all,6,22,29,31,36
general,COHORT,P18,valence,eeg,gnb,all,7,37,19,26,34
general,COHORT,P19,valence,eeg,gnb,all,8,1,42,10,67
general,COHORT,P20,valence,eeg,gnb,all,9,0,52,0,65
general,COHORT,P22,valence,eeg,gnb,all,10,1,67,7,45
general,COHORT,P23,valence,eeg,gnb,all,11,14,55,9,39
general,COHORT,P24,valence,eeg,gnb,all,12,14,48,12,43
general,COHORT,P25,valence,eeg,gnb,all,13,6,48,15,51
general,COHORT,P26,valence,eeg,gnb,all,14,1,65,3,48
general,COHORT,P27,valence,eeg,gnb,all,15,1,36,2,77
general,COHORT,P30,valence,eeg,gnb,all,16,0,57,0,59
general,COHORT,P32,valence,eeg,gnb,all,17,2,56,4,58
general,COHORT,P33,valence,eeg,gnb,all,18,15,45,20,37
general,COHORT,P34,valence,eeg,gnb,all,19,0,70,0,48
general,COHORT,P38,valence,eeg,gnb,all,20,0,49,0,68
general,COHORT,P39,valence,eeg,gnb,all,21,18,15,51,33
general,COHORT,P40,valence,eeg,gnb,all,22,2,52,2,64
general,COHORT,P41,valence,eeg,gnb,all,23,2,50,3,62
general,COHORT,P42,valence,eeg,gnb,all,24,3,49,2,66
