mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,gnb,10,10,eeg_hc__PO7,28,28,1.0,14.773764480660116
general,arousal,eeg,gnb,10,10,eeg_hm__PO7,28,28,1.0,17.411154712966674
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,27,28,0.9642857142857143,15.507088791697228
general,arousal,eeg,gnb,10,10,eeg_bp_theta__Fz,27,28,0.9642857142857143,15.347727447499805
general,arousal,eeg,gnb,10,10,eeg_bp_theta__Oz,27,28,0.9642857142857143,16.27674428685308
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Pz,25,28,0.8928571428571429,14.03463251182074
general,arousal,eeg,gnb,10,10,eeg_hm__Cz,25,28,0.8928571428571429,15.390565707701478
general,arousal,eeg,gnb,10,10,eeg_hm__Fz,25,28,0.8928571428571429,15.802068636275697
general,arousal,eeg,gnb,10,10,eeg_hm__PO8,18,28,0.6428571428571429,13.014972839778617
general,arousal,eeg,gnb,10,10,eeg_hm__Oz,14,28,0.5,12.65822694695334
general,arousal,eeg,gnb,10,10,eeg_hc__PO8,12,28,0.42857142857142855,12.571011830828835
general,arousal,eeg,gnb,10,10,eeg_sd__Fz,10,28,0.35714285714285715,11.53993557057207
general,arousal,eeg,gnb,10,10,eeg_bp_theta__PO8,3,28,0.10714285714285714,10.33044329036852
general,arousal,eeg,gnb,10,10,eeg_sd__PO8,2,28,0.07142857142857142,10.009846689278108
general,arousal,eeg,gnb,10,10,eeg_se__Cz,2,28,0.07142857142857142,8.66032282425537
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Pz,1,28,0.03571428571428571,9.35285009944615
general,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO7,1,28,0.03571428571428571,8.104972544301386
general,arousal,eeg,gnb,10,10,eeg_bp_gamma__Pz,1,28,0.03571428571428571,2.3083409523019105
general,arousal,eeg,gnb,10,10,eeg_hc__Fz,1,28,0.03571428571428571,9.40041820639873
general,arousal,eeg,gnb,10,10,eeg_hm__Pz,1,28,0.03571428571428571,8.094158743034427
general,arousal,eeg,gnb,10,10,eeg_mf_hz__PO7,1,28,0.03571428571428571,7.733462736767929
general,arousal,eeg,gnb,10,10,eeg_se__Pz,1,28,0.03571428571428571,9.023199648203247
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C3,0,28,0.0,0.07858334678147685
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C4,0,28,0.0,1.757722415848848
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Cz,0,28,0.0,1.0557715424155887
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Fz,0,28,0.0,0.07679753144182053
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Oz,0,28,0.0,2.133099275936884
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__PO7,0,28,0.0,0.6220233923764732
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__PO8,0,28,0.0,0.8279427834528262
general,arousal,eeg,gnb,10,10,eeg_bp_beta__C3,0,28,0.0,2.2447002085354155
general,arousal,eeg,gnb,10,10,eeg_bp_beta__C4,0,28,0.0,3.052697165229037
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Cz,0,28,0.0,0.3619820332297236
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,0,28,0.0,2.054288616889231
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Oz,0,28,0.0,0.16677614043265532
general,arousal,eeg,gnb,10,10,eeg_bp_beta__PO7,0,28,0.0,2.7310220957374787
general,arousal,eeg,gnb,10,10,eeg_bp_beta__PO8,0,28,0.0,0.12223886095793768
general,arousal,eeg,gnb,10,10,eeg_bp_delta__C3,0,28,0.0,3.297873500800701
general,arousal,eeg,gnb,10,10,eeg_bp_delta__C4,0,28,0.0,0.6580973978950287
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Cz,0,28,0.0,5.008917819929747
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Oz,0,28,0.0,2.5445434218541614
general,arousal,eeg,gnb,10,10,eeg_bp_delta__PO7,0,28,0.0,7.345476698649866
general,arousal,eeg,gnb,10,10,eeg_bp_delta__PO8,0,28,0.0,7.2498427611252
