mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
general,COHORT,P10,valence,eeg,knn,all,all,1,P11;P14;P15;P16;P17;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3185,120,1475,1830,0.3985714285714286,0.4083333333333333,0.49230769230769234,0.45714285714285713,0.4740740740740741,17,33,38,32
general,COHORT,P11,valence,eeg,knn,all,all,2,P10;P14;P15;P16;P17;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3185,120,1475,1830,0.5203003337041157,0.525,0.5324675324675324,0.6612903225806451,0.5899280575539568,22,36,21,41
general,COHORT,P14,valence,eeg,knn,all,all,3,P10;P11;P15;P16;P17;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3189,116,1475,1830,0.5480884109916367,0.5258620689655172,0.49473684210526314,0.8703703703703703,0.6308724832214765,14,48,7,47
general,COHORT,P15,valence,eeg,knn,all,all,4,P10;P11;P14;P16;P17;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3189,116,1475,1830,0.50944669365722,0.603448275862069,0.6777777777777778,0.782051282051282,0.7261904761904762,9,29,17,61
general,COHORT,P16,valence,eeg,knn,all,all,5,P10;P11;P14;P15;P17;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3188,117,1475,1830,0.47316715542522,0.47863247863247865,0.5072463768115942,0.5645161290322581,0.5343511450381679,21,34,27,35
general,COHORT,P17,valence,eeg,knn,all,all,6,P10;P11;P14;P15;P16;P18;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3187,118,1475,1830,0.5276558384547849,0.559322033898305,0.5862068965517241,0.7611940298507462,0.6623376623376623,15,36,16,51
general,COHORT,P18,valence,eeg,knn,all,all,7,P10;P11;P14;P15;P16;P17;P19;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3189,116,1475,1830,0.6125,0.6120689655172413,0.631578947368421,0.6,0.6153846153846154,35,21,24,36
general,COHORT,P19,valence,eeg,knn,all,all,8,P10;P11;P14;P15;P16;P17;P18;P20;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3185,120,1475,1830,0.37813349441256416,0.36666666666666664,0.5098039215686274,0.33766233766233766,0.40625,18,25,51,26
general,COHORT,P20,valence,eeg,knn,all,all,9,P10;P11;P14;P15;P16;P17;P18;P19;P22;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3188,117,1475,1830,0.47307692307692306,0.48717948717948717,0.5342465753424658,0.6,0.5652173913043478,18,34,26,39
general,COHORT,P22,valence,eeg,knn,all,all,10,P10;P11;P14;P15;P16;P17;P18;P19;P20;P23;P24;P25;P26;P27;P30;P32;P33;P34;P38;P39;P40;P41;P42;P43;P44;P45;P46,3305,3185,120,1475,1830,0.41572398190045246,0.39166666666666666,0.37349397590361444,0.5961538461538461,0.45925925925925926,16,52,21,31
