mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,eeg,gnb,10,10,28,0.5036184423522959,0.029628544351750004,0.5027352005398293,0.4369369369369369,0.5613186813186813,0.4580095160544699,0.6051402630234156,0.3020876911370743,0.3315357656359696
general,COHORT,arousal,eeg,gnb,20,20,28,0.5066950128898153,0.03568677690591397,0.5041544785795965,0.4473981900452489,0.5953800298062593,0.4716456557821318,0.6484579029667369,0.3890475364539396,0.4006770004860901
general,COHORT,arousal,eeg,gnb,5,5,28,0.4871005913304299,0.046076999993131404,0.5,0.33653846153846156,0.5572280178837555,0.42451810412156593,0.5846619508273239,0.3682250723761026,0.3458612713242358
general,COHORT,arousal,eeg,gnb,all,all,28,0.49734176877221964,0.04640389680346919,0.5092144047812652,0.36213235294117646,0.5757796560769455,0.4501634303633786,0.6258778568615538,0.2649625539872808,0.29949379950386606
general,COHORT,arousal,eeg,knn,10,10,28,0.5036622488702782,0.04471753919448181,0.49734393757503004,0.4099547511312217,0.5835464620630861,0.540920292610143,0.595901866055913,0.7043246047119208,0.628560715404087
general,COHORT,arousal,eeg,knn,20,20,28,0.5075197284139613,0.05223905498672764,0.5100770207634088,0.3506944444444444,0.5775824175824176,0.5458512758532956,0.5970143445383032,0.695038399736707,0.6274538919043856
general,COHORT,arousal,eeg,knn,5,5,28,0.5009769384111832,0.03454373959967923,0.4987536370733092,0.4482758620689655,0.5634581105169341,0.5214280044317027,0.594855161537563,0.6786036835634227,0.6127774763079058
general,COHORT,arousal,eeg,knn,all,all,28,0.49495309643752244,0.04554146243187911,0.5007352941176471,0.4027777777777778,0.5991208791208791,0.532802955924386,0.5928025501887513,0.7163473091520658,0.6310332446375705
general,COHORT,arousal,eeg,svm,10,10,28,0.49678960486193413,0.022036070323514186,0.5,0.43790218790218793,0.5679012345679013,0.5725215891853602,0.5942442303811131,0.919274033992916,0.7035395154285248
general,COHORT,arousal,eeg,svm,20,20,28,0.4985267948197491,0.03468821665820301,0.5,0.40625,0.5775401069518716,0.5579977883119259,0.594795491678206,0.8348341929513682,0.6755986671904474
general,COHORT,arousal,eeg,svm,5,5,28,0.5068154408898441,0.01906149320264833,0.5,0.4683257918552036,0.5756172839506173,0.5934478278116083,0.5993200120005996,0.9674383101160062,0.7259604914466846
general,COHORT,arousal,eeg,svm,all,all,28,0.49844113518931443,0.019664129964372452,0.5,0.4471428571428572,0.5564338235294117,0.5713117304198125,0.5942469810622141,0.928460293155665,0.7056811137756764
general,COHORT,arousal,face,gnb,10,10,28,0.5086629283188585,0.038916752586420224,0.5119656081050384,0.4190340909090909,0.611244019138756,0.5666666666666667,0.6026007121226776,0.8352847141161497,0.665996617851199
general,COHORT,arousal,face,gnb,20,10,28,0.5086629283188585,0.038916752586420224,0.5119656081050384,0.4190340909090909,0.611244019138756,0.5666666666666667,0.6026007121226776,0.8352847141161497,0.665996617851199
general,COHORT,arousal,face,gnb,5,5,28,0.5077834266399056,0.04162670531526483,0.5100260209756873,0.4133522727272727,0.6231587561374795,0.5660714285714286,0.601980027002145,0.8512447298068693,0.6779744347191862
