mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Fz,30,5,0.21428571428571427,1.747692339425277
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO7,25,5,0.17857142857142858,1.6491832680118486
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Fz,25,5,0.17857142857142858,1.5081266876823913
individual,arousal,eeg,gnb,10,10,eeg_hc__Fz,22,5,0.15714285714285714,1.7211311619538066
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Cz,22,5,0.15714285714285714,1.4678650176015544
individual,arousal,eeg,gnb,10,10,eeg_hm__Fz,21,5,0.15,1.6219191086963427
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__C4,21,5,0.15,1.3856950139547253
individual,arousal,eeg,gnb,10,10,eeg_se_beta__PO7,20,5,0.14285714285714285,1.2545232930718464
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__PO8,19,5,0.1357142857142857,1.8546800132714019
individual,arousal,eeg,gnb,10,10,eeg_hm__PO8,19,5,0.1357142857142857,1.6363476545982998
individual,arousal,eeg,gnb,10,10,eeg_se__Pz,19,5,0.1357142857142857,1.3037570703628356
individual,arousal,eeg,gnb,10,10,eeg_se__C3,18,5,0.12857142857142856,1.397909169881539
individual,arousal,eeg,gnb,10,10,eeg_se__Cz,18,5,0.12857142857142856,1.429121964160032
individual,arousal,eeg,gnb,10,10,eeg_se_theta__C3,18,5,0.12857142857142856,1.2041334296884776
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO8,18,5,0.12857142857142856,1.2810652507591394
individual,arousal,eeg,gnb,10,10,eeg_hc__C4,17,5,0.12142857142857143,1.3451032229882873
individual,arousal,eeg,gnb,10,10,eeg_se_beta__Fz,17,5,0.12142857142857143,1.1326837222877078
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Pz,17,5,0.12142857142857143,1.2300261202249552
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Fz,16,5,0.11428571428571428,1.3398388500730145
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__C4,16,5,0.11428571428571428,1.2960441176455444
individual,arousal,eeg,gnb,10,10,eeg_se__PO8,16,5,0.11428571428571428,1.749541029735827
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__C3,16,5,0.11428571428571428,1.2514038344075031
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Oz,16,5,0.11428571428571428,1.1242338267908272
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Pz,16,5,0.11428571428571428,1.3707570472965416
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Fz,16,5,0.11428571428571428,1.080020169894659
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Cz,15,5,0.10714285714285714,1.2997827321054818
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO8,15,5,0.10714285714285714,1.3812911822747533
individual,arousal,eeg,gnb,10,10,eeg_hc__PO8,15,5,0.10714285714285714,1.5162032194630861
individual,arousal,eeg,gnb,10,10,eeg_hm__C3,15,5,0.10714285714285714,1.0510786713562292
individual,arousal,eeg,gnb,10,10,eeg_hm__C4,15,5,0.10714285714285714,1.3492125107715907
individual,arousal,eeg,gnb,10,10,eeg_hm__Oz,15,5,0.10714285714285714,1.4449180182563033
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__PO7,15,5,0.10714285714285714,1.2810877988004392
individual,arousal,eeg,gnb,10,10,eeg_se__C4,15,5,0.10714285714285714,1.1801451798466958
individual,arousal,eeg,gnb,10,10,eeg_se__Fz,15,5,0.10714285714285714,1.452225530008562
individual,arousal,eeg,gnb,10,10,eeg_se_beta__C4,15,5,0.10714285714285714,1.1644518671745188
individual,arousal,eeg,gnb,10,10,eeg_se_theta__C4,15,5,0.10714285714285714,1.159510892718639
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO7,15,5,0.10714285714285714,1.2039364083913828
individual,arousal,eeg,gnb,10,10,eeg_se_theta__Pz,15,5,0.10714285714285714,1.045786699852664
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__PO7,14,5,0.1,1.3283219117608953
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,14,5,0.1,1.3310444343019325
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__C4,14,5,0.1,1.2469179522661802
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Cz,14,5,0.1,1.2366551025568493
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__C4,14,5,0.1,0.9756961793822286
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__Pz,13,5,0.09285714285714286,0.9846082893565501
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Pz,13,5,0.09285714285714286,1.3860654094201805
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Oz,13,5,0.09285714285714286,1.521823566227737
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__PO8,13,5,0.09285714285714286,1.5343277217348694
individual,arousal,eeg,gnb,10,10,eeg_se_beta__Cz,13,5,0.09285714285714286,1.1623454523241417
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__PO7,12,5,0.08571428571428572,1.1746290393458774
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,12,5,0.08571428571428572,1.3649673616370182
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Pz,12,5,0.08571428571428572,0.9827474131557616
individual,arousal,eeg,gnb,10,10,eeg_hc__Cz,12,5,0.08571428571428572,1.1778707674409208
individual,arousal,eeg,gnb,10,10,eeg_hm__PO7,12,5,0.08571428571428572,1.4839164454262403
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__Fz,12,5,0.08571428571428572,1.351727313894359
individual,arousal,eeg,gnb,10,10,eeg_sd__Fz,12,5,0.08571428571428572,0.9472419782692991
individual,arousal,eeg,gnb,10,10,eeg_se__Oz,12,5,0.08571428571428572,1.2754907861363662
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__PO7,12,5,0.08571428571428572,1.3072391488434334
