mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,gnb,10,10,eeg_hc__C3,46,46,1.0,38.75047085825878
general,arousal,eeg,gnb,10,10,eeg_hc__PO7,46,46,1.0,46.67897596200088
general,arousal,eeg,gnb,10,10,eeg_mf_hz__C3,46,46,1.0,51.51487512089845
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Pz,45,46,0.9782608695652174,60.24161521311069
general,arousal,eeg,gnb,10,10,eeg_hc__PO8,45,46,0.9782608695652174,37.285308681872145
general,arousal,eeg,gnb,10,10,eeg_hm__C3,43,46,0.9347826086956522,34.170777039107115
general,arousal,eeg,gnb,10,10,eeg_hm__Cz,42,46,0.9130434782608695,33.56857400513837
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Pz,41,46,0.8913043478260869,32.1621884230546
general,arousal,eeg,gnb,10,10,eeg_hm__PO8,38,46,0.8260869565217391,31.919098829581714
general,arousal,eeg,gnb,10,10,eeg_hm__PO7,31,46,0.6739130434782609,31.392829582082936
general,arousal,eeg,gnb,10,10,eeg_se_gamma__C3,10,46,0.21739130434782608,28.63666374713826
general,arousal,eeg,gnb,10,10,eeg_hm__Fz,9,46,0.1956521739130435,28.84135170881422
general,arousal,eeg,gnb,10,10,eeg_sd__Pz,7,46,0.15217391304347827,27.281324722190256
general,arousal,eeg,gnb,10,10,eeg_hc__Oz,4,46,0.08695652173913043,27.894270833181636
general,arousal,eeg,gnb,10,10,eeg_hm__Oz,2,46,0.043478260869565216,25.43561607303905
general,arousal,eeg,gnb,10,10,eeg_mf_hz__PO7,2,46,0.043478260869565216,24.284776821674058
general,arousal,eeg,gnb,10,10,eeg_se_gamma__C4,2,46,0.043478260869565216,25.505271236037817
general,arousal,eeg,gnb,10,10,eeg_bp_gamma__Pz,1,46,0.021739130434782608,5.409542483786973
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C3,0,46,0.0,3.46805019424445
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__C4,0,46,0.0,13.045967383100306
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Cz,0,46,0.0,6.260508865889979
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Fz,0,46,0.0,8.44858393398875
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__Oz,0,46,0.0,0.12965791522924155
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__PO7,0,46,0.0,5.6748055893781695
general,arousal,eeg,gnb,10,10,eeg_bp_alpha__PO8,0,46,0.0,0.6147099717338201
general,arousal,eeg,gnb,10,10,eeg_bp_beta__C3,0,46,0.0,8.153346928604133
general,arousal,eeg,gnb,10,10,eeg_bp_beta__C4,0,46,0.0,6.578684432144179
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Cz,0,46,0.0,1.8046983436528277
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,0,46,0.0,8.2154424238988
general,arousal,eeg,gnb,10,10,eeg_bp_beta__Oz,0,46,0.0,0.8279897532812094
general,arousal,eeg,gnb,10,10,eeg_bp_beta__PO7,0,46,0.0,11.822918657408056
general,arousal,eeg,gnb,10,10,eeg_bp_beta__PO8,0,46,0.0,3.049816260952748
general,arousal,eeg,gnb,10,10,eeg_bp_delta__C3,0,46,0.0,5.085247903130737
general,arousal,eeg,gnb,10,10,eeg_bp_delta__C4,0,46,0.0,1.7202426692458501
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Cz,0,46,0.0,4.889816459717027
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,0,46,0.0,14.21246426461947
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Oz,0,46,0.0,2.113326125168285
general,arousal,eeg,gnb,10,10,eeg_bp_delta__PO7,0,46,0.0,7.4003668373402025
general,arousal,eeg,gnb,10,10,eeg_bp_delta__PO8,0,46,0.0,6.245030779799217
general,arousal,eeg,gnb,10,10,eeg_bp_delta__Pz,0,46,0.0,0.7780580695517681
