mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,eeg,gnb,10,10,46,0.500314814776199,0.0393027154809544,0.5,0.41855203619909503,0.6435506241331483,0.577040421340894,0.5975428436148391,0.8147465320613011,0.6664611919302725
general,COHORT,arousal,eeg,gnb,20,20,46,0.5028254810250237,0.04681970214924044,0.4925717338217338,0.42398190045248874,0.6567267683772537,0.5703274878029919,0.5930148520543339,0.7178244703474175,0.6110845676559917
general,COHORT,arousal,eeg,gnb,5,5,46,0.5018830914968821,0.02760332746927226,0.5,0.41629464285714285,0.5895061728395061,0.5859638687439799,0.5956775040065743,0.8857456324471432,0.6921887183036086
general,COHORT,arousal,eeg,gnb,all,all,46,0.5059914168490508,0.04553204594582409,0.508312830493537,0.4004524886877828,0.6082199881726789,0.49481213202570196,0.6604408741037786,0.324038313714672,0.3715831364849933
general,COHORT,arousal,eeg,knn,10,10,46,0.5097668029665033,0.044868501801749804,0.5064693762929021,0.41774891774891776,0.61875,0.5502267920147964,0.6000521850704222,0.726433680131631,0.639848966508974
general,COHORT,arousal,eeg,knn,20,20,46,0.5059126091816811,0.04551063028992384,0.506689709758418,0.4057142857142857,0.6105769230769231,0.5464012034262001,0.5972729101824413,0.7072243029150319,0.6317229671863133
general,COHORT,arousal,eeg,knn,5,5,46,0.509573520698055,0.049229106525197,0.5098620697154193,0.43028846153846156,0.6336206896551724,0.549577565669525,0.5973419372065374,0.7184760318202749,0.634563605487303
general,COHORT,arousal,eeg,knn,all,all,46,0.49141255468491907,0.04978011185853674,0.4831624337079745,0.40471167369901545,0.6896551724137931,0.5322437825681817,0.5882879143924643,0.7219240292233249,0.6320730387187353
general,COHORT,arousal,eeg,svm,10,10,46,0.5071065049982452,0.029226761721003795,0.5,0.45814479638009054,0.6059612518628912,0.5988632694620428,0.5993308697349562,0.9547611641494377,0.7219447604487229
general,COHORT,arousal,eeg,svm,20,20,46,0.5021985838274626,0.02229273990700127,0.5,0.4408482142857143,0.5584202682563338,0.5845994774380642,0.5964573293145737,0.913224270324243,0.7033778771599407
general,COHORT,arousal,eeg,svm,5,5,46,0.5008968484347686,0.017918728663738816,0.5,0.4453125,0.5540123456790124,0.589631307304449,0.5948156695792712,0.9560470859285167,0.7171147172916893
general,COHORT,arousal,eeg,svm,all,all,46,0.49635646584598303,0.02988240899402307,0.5,0.38221153846153844,0.559120879120879,0.5742739529620999,0.5937400767809029,0.852724052485953,0.6778655789379497
general,COHORT,arousal,face,gnb,10,10,46,0.5054366206420847,0.03707751300353623,0.5,0.4195804195804196,0.6111111111111112,0.5715757930241196,0.6030493261204132,0.7873436661856207,0.6427289006299703
general,COHORT,arousal,face,gnb,20,10,46,0.5054366206420847,0.03707751300353623,0.5,0.4195804195804196,0.6111111111111112,0.5715757930241196,0.6030493261204132,0.7873436661856207,0.6427289006299703
