mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P01,P01,valence,eeg,knn,all,all,1,P01,114,91,23,52,62,0.5346153846153846,0.5652173913043478,0.5882352941176471,0.7692307692307693,0.6666666666666666,3,7,3,10
individual,P01,P01,valence,eeg,knn,all,all,2,P01,114,91,23,52,62,0.45769230769230773,0.4782608695652174,0.5333333333333333,0.6153846153846154,0.5714285714285714,3,7,5,8
individual,P01,P01,valence,eeg,knn,all,all,3,P01,114,91,23,52,62,0.5151515151515151,0.5217391304347826,0.5333333333333333,0.6666666666666666,0.5925925925925926,4,7,4,8
individual,P01,P01,valence,eeg,knn,all,all,4,P01,114,91,23,52,62,0.46969696969696967,0.4782608695652174,0.5,0.6666666666666666,0.5714285714285714,3,8,4,8
individual,P01,P01,valence,eeg,knn,all,all,5,P01,114,92,22,52,62,0.45,0.45454545454545453,0.5,0.5,0.5,4,6,6,6
individual,P02,P02,valence,eeg,knn,all,all,1,P02,85,68,17,25,60,0.4583333333333333,0.6470588235294118,0.6875,0.9166666666666666,0.7857142857142857,0,5,1,11
individual,P02,P02,valence,eeg,knn,all,all,2,P02,85,68,17,25,60,0.575,0.6470588235294118,0.75,0.75,0.75,2,3,3,9
individual,P02,P02,valence,eeg,knn,all,all,3,P02,85,68,17,25,60,0.5166666666666667,0.6470588235294118,0.7142857142857143,0.8333333333333334,0.7692307692307693,1,4,2,10
individual,P02,P02,valence,eeg,knn,all,all,4,P02,85,68,17,25,60,0.6,0.7647058823529411,0.75,1.0,0.8571428571428571,1,4,0,12
individual,P02,P02,valence,eeg,knn,all,all,5,P02,85,68,17,25,60,0.5583333333333333,0.7058823529411765,0.7333333333333333,0.9166666666666666,0.8148148148148148,1,4,1,11
individual,P03,P03,valence,eeg,knn,all,all,1,P03,53,42,11,21,32,0.35714285714285715,0.45454545454545453,0.5555555555555556,0.7142857142857143,0.625,0,4,2,5
individual,P03,P03,valence,eeg,knn,all,all,2,P03,53,42,11,21,32,0.5,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0,4,0,7
individual,P03,P03,valence,eeg,knn,all,all,3,P03,53,42,11,21,32,0.5,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411765,0,5,0,6
