mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,P19,arousal,eeg,gnb,10,10,eeg_hc__PO8,5,5,1.0,4.464378475423995
individual,P19,arousal,eeg,gnb,20,20,eeg_bp_beta__Pz,5,5,1.0,4.6027243482324565
individual,P19,arousal,eeg,gnb,20,20,eeg_hc__PO8,5,5,1.0,4.464378475423995
individual,P19,arousal,eeg,gnb,20,20,eeg_mf_hz__PO8,5,5,1.0,3.6742878560939305
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_alpha__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_beta__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_delta__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_gamma__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_bp_theta__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hc__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_hm__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_mf_hz__Pz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__C3,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__C4,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__Cz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__Fz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__Oz,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__PO7,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__PO8,5,5,1.0,
individual,P19,arousal,eeg,gnb,all,all,eeg_sd__Pz,5,5,1.0,
