mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,sample_size,train_size,test_size,low_count,neutral_count,high_count,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,recall_low,recall_neutral,recall_high,cm_0_0,cm_0_1,cm_0_2,cm_1_0,cm_1_1,cm_1_2,cm_2_0,cm_2_1,cm_2_2
individual,P19,valence,eeg,knn,all,all,1,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,4,0,0,15,0,0,5,0
individual,P19,valence,eeg,knn,all,all,2,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2333333333333333,0.3111111111111111,0.2666666666666666,0.0,0.9333333333333332,0.0,0,2,2,0,14,1,1,4,0
individual,P19,valence,eeg,knn,all,all,3,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,4,0,0,15,0,0,5,0
individual,P19,valence,eeg,knn,all,all,4,120,96,24,22,75,23,0.2833333333333333,0.4166666666666667,0.2431372549019608,0.2833333333333333,0.261574074074074,0.0,0.6,0.25,0,5,0,2,9,4,0,3,1
individual,P19,valence,eeg,knn,all,all,5,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2222222222222222,0.3111111111111111,0.2592592592592592,0.0,0.9333333333333332,0.0,0,3,2,1,14,0,0,4,0
individual,P19,valence,eeg,knn,5,5,1,120,96,24,22,75,23,0.3055555555555555,0.4583333333333333,0.3194444444444444,0.3055555555555555,0.3102918586789554,0.25,0.6666666666666666,0.0,1,2,1,1,10,4,1,4,0
individual,P19,valence,eeg,knn,5,5,2,120,96,24,22,75,23,0.4000000000000001,0.5833333333333334,0.330532212885154,0.4000000000000001,0.3611111111111111,0.0,0.8,0.4,0,2,2,0,12,3,0,3,2
individual,P19,valence,eeg,knn,5,5,3,120,96,24,22,75,23,0.3277777777777778,0.5,0.2712418300653594,0.3277777777777778,0.2958333333333333,0.25,0.7333333333333333,0.0,1,3,0,3,11,1,2,3,0
individual,P19,valence,eeg,knn,5,5,4,120,96,24,22,75,23,0.3111111111111111,0.5,0.2712418300653594,0.3111111111111111,0.2897727272727273,0.2,0.7333333333333333,0.0,1,3,1,4,11,0,1,3,0
individual,P19,valence,eeg,knn,5,5,5,120,96,24,22,75,23,0.3777777777777777,0.625,0.3787878787878787,0.3777777777777777,0.3474903474903475,0.2,0.9333333333333332,0.0,1,4,0,1,14,0,0,4,0
