mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P19,P19,arousal,eeg,knn,5,5,1,P19,120,96,24,2.0047835182974607,1.7115655842368083,-0.048950795748344156,-0.036143795255342726
individual,P19,P19,arousal,eeg,knn,5,5,2,P19,120,96,24,1.482333987192757,1.2613636363636362,0.09011294567794148,0.13508326847324303
individual,P19,P19,arousal,eeg,knn,5,5,3,P19,120,96,24,1.339174895598399,1.1168768538844793,0.07437966399949247,0.1103798104206909
individual,P19,P19,arousal,eeg,knn,5,5,4,P19,120,96,24,1.798472722126028,1.4507575757575755,0.11744463279711537,0.11754250658690613
individual,P19,P19,arousal,eeg,knn,5,5,5,P19,120,96,24,1.225728545934849,0.9431818181818182,0.14062717998801777,0.15875647328206666
individual,P19,P19,arousal,eeg,knn,10,10,1,P19,120,96,24,2.00504421625602,1.705615624703454,-0.049223620328785245,-0.04300515753292311
individual,P19,P19,arousal,eeg,knn,10,10,2,P19,120,96,24,1.5125396290500757,1.263135493649071,0.05265345035123081,0.06748739600928544
individual,P19,P19,arousal,eeg,knn,10,10,3,P19,120,96,24,1.2965108254891677,1.059856514289831,0.1324178990396887,0.14430544025745962
individual,P19,P19,arousal,eeg,knn,10,10,4,P19,120,96,24,1.9214964898043865,1.590909090909091,-0.007426663169310066,-0.007285724912011737
individual,P19,P19,arousal,eeg,knn,10,10,5,P19,120,96,24,1.2148643203273393,0.9242424242424242,0.15579374133134172,0.17470270092821305
