mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__C3,False,3.758048365450849
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__C4,False,7.715249616472505
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__Cz,False,0.0001605260552113428
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__Fz,False,0.005469937794159154
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__Oz,False,2.133070321337933
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__PO7,False,1.3610140991721364
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__PO8,False,0.8257083905346083
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_sd__Pz,False,0.05289840807485722
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__C3,False,0.5993527933571839
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__C4,False,2.5593957841083004
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__Cz,False,7.5401947348702185
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__Fz,False,9.932165279461397
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__Oz,False,9.644354503162571
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__PO7,False,0.582626360505216
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__PO8,False,12.35805471727218
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se__Pz,False,4.827585081547387
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__C3,False,0.010969109249691071
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__C4,False,0.7422957927854253
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__Cz,True,12.90378622527607
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__Fz,False,9.147058507744612
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__Oz,False,12.01623576284433
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__PO7,False,5.115237485889967
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__PO8,True,12.785146547866432
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hm__Pz,False,7.693009169424173
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__C3,False,3.121936363518281
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__C4,False,1.9676704259837803
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__Cz,False,9.726515586444076
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__Fz,True,14.948767344931845
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__Oz,False,8.716559339920355
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_hc__PO7,False,3.821014431812431
