mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P10,P10,valence,eeg,knn,all,all,1,P10,120,96,24,1.90728630436858,1.6742424242424245,-0.18247113034718176,0.004085592224315926
individual,P10,P10,valence,eeg,knn,all,all,2,P10,120,96,24,1.9963926973842794,1.8561755455508921,-0.07075385729920947,-0.06858252611633175
individual,P10,P10,valence,eeg,knn,all,all,3,P10,120,96,24,1.805733903743704,1.625,0.06652646106830118,0.06869937400391046
individual,P10,P10,valence,eeg,knn,all,all,4,P10,120,96,24,1.9233772810577896,1.7234848484848486,-0.045043146251403154,-0.03365772396937383
individual,P10,P10,valence,eeg,knn,all,all,5,P10,120,96,24,2.376217421813071,2.152489487716613,-0.6164670575443858,-0.5135966636241467
individual,P11,P11,valence,eeg,knn,all,all,1,P11,120,96,24,2.333215867604369,2.0144044835878376,-0.1365292714999291,-0.09910928259433427
individual,P11,P11,valence,eeg,knn,all,all,2,P11,120,96,24,2.358823771878022,2.128787878787879,-0.31401909060412914,-0.14702204873288416
individual,P11,P11,valence,eeg,knn,all,all,3,P11,120,96,24,2.1399872556969712,1.784090909090909,-0.13895430993876579,-0.12967284717166994
individual,P11,P11,valence,eeg,knn,all,all,4,P11,120,96,24,2.271211615824635,1.9999999999999998,-0.003797185615367349,-0.0024458342640161224
individual,P11,P11,valence,eeg,knn,all,all,5,P11,120,96,24,2.047892640242943,1.7336047398797156,0.032185169393566415,0.03442588624269716
individual,P19,P19,valence,eeg,knn,all,all,1,P19,120,96,24,2.077029028871975,1.7272727272727273,-0.06373825427374613,-0.02398675421714036
individual,P19,P19,valence,eeg,knn,all,all,2,P19,120,96,24,1.6303683231832873,1.2268754368367816,-0.10069453679507023,-0.07166179410458429
individual,P19,P19,valence,eeg,knn,all,all,3,P19,120,96,24,1.535170775938223,1.1818181818181817,-0.17837465564738286,-0.17811639118457312
individual,P19,P19,valence,eeg,knn,all,all,4,P19,120,96,24,1.6759726422351473,1.3371212121212122,-0.0451662502402459,-0.015135498750720844
individual,P19,P19,valence,eeg,knn,all,all,5,P19,120,96,24,1.3536248651240468,1.125,-0.15851257813137876,0.016764793932741107
individual,P22,P22,valence,eeg,knn,all,all,1,P22,120,96,24,2.1592105230024763,1.8825757575757576,-0.36732254969618405,-0.05370638433960018
individual,P22,P22,valence,eeg,knn,all,all,2,P22,120,96,24,1.974296054881032,1.714043628550069,-0.01867453243903494,0.014323462009719568
individual,P22,P22,valence,eeg,knn,all,all,3,P22,120,96,24,2.1472161488966695,1.9659090909090906,0.10281438463256642,0.14235257985257987
individual,P22,P22,valence,eeg,knn,all,all,4,P22,120,96,24,2.3825441956166578,2.1032067333229336,-0.15495362139963853,-0.15423517452020064
individual,P22,P22,valence,eeg,knn,all,all,5,P22,120,96,24,2.9617746105227885,2.630952380952381,-0.611717605702568,-0.34080656185919334
individual,P25,P25,valence,eeg,knn,all,all,1,P25,120,96,24,1.995173238955336,1.765151515151515,-0.023612750885478206,-0.021827036599763927
