mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_rmse
individual,P01,P01,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.5279666333605737
individual,P01,P01,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.4789429238699727
individual,P01,P01,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.4491995247122313
individual,P01,P01,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.5156338402634557
individual,P01,P01,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.4765754650977332
individual,P02,P02,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""distance""}",1.7077307312074945
individual,P02,P02,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.7081078483636476
individual,P02,P02,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 3, ""regressor__weights"": ""distance""}",1.6540318757316783
individual,P02,P02,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 5, ""regressor__weights"": ""distance""}",1.727633457467648
individual,P02,P02,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""distance""}",1.6860314985775293
individual,P03,P03,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",2.233991648229372
individual,P03,P03,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.1860359125009015
individual,P03,P03,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 3, ""regressor__weights"": ""uniform""}",2.141784721788535
individual,P03,P03,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",2.340560270083613
individual,P03,P03,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",2.313013979741386
individual,P04,P04,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.0659343389878155
individual,P04,P04,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9148840278431216
individual,P04,P04,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 3, ""regressor__weights"": ""distance""}",1.7579911331431053
individual,P04,P04,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.9778961094524368
individual,P04,P04,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.0152932324207042
individual,P05,P05,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9061320522501088
individual,P05,P05,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.00373034034409
individual,P05,P05,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9748125327914667
individual,P05,P05,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9229358643777754
individual,P05,P05,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9770612980909104
individual,P06,P06,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8898670660777155
individual,P06,P06,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""distance""}",1.7977949395772665
individual,P06,P06,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8425206283201006
individual,P06,P06,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""distance""}",1.750860289970851
individual,P06,P06,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 5, ""regressor__weights"": ""distance""}",1.7696824582846167
individual,P07,P07,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",0.923866736515242
individual,P07,P07,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",0.8753108311359953
individual,P07,P07,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",0.81852058914875
individual,P07,P07,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",0.8507011947306543
individual,P07,P07,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",0.7660900601576177
individual,P08,P08,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.3023059327749624
individual,P08,P08,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.3900208830313854
individual,P08,P08,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.4215552495921209
individual,P08,P08,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.4086706466036614
individual,P08,P08,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.3435189564496761
individual,P09,P09,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.128605712937055
individual,P09,P09,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.100232617681502
individual,P09,P09,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.0560298123708898
individual,P09,P09,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",2.049487781586648
individual,P09,P09,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.2823914705239674
individual,P10,P10,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9541715152890629
individual,P10,P10,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",2.0302861524293356
individual,P10,P10,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",2.0344856005189214
