mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C3,20,5,0.08695652173913043,1.0570281377793729
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C4,20,5,0.08695652173913043,1.175513270473575
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Cz,13,5,0.05652173913043478,0.911260024650569
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Fz,17,5,0.07391304347826087,1.0391709200356047
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Oz,13,5,0.05652173913043478,1.044199251078774
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO7,26,5,0.11304347826086956,1.2762432694024646
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO8,13,5,0.05652173913043478,1.066317466469483
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Pz,17,5,0.07391304347826087,1.0419570647787717
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C3,18,5,0.0782608695652174,1.1752646673321407
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C4,23,5,0.1,1.3884769930964833
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Cz,9,5,0.0391304347826087,1.0366827553345677
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Fz,28,5,0.12173913043478261,1.4422294244329907
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Oz,18,5,0.0782608695652174,1.2212882115562607
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO7,22,5,0.09565217391304348,1.466711301229227
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO8,17,5,0.07391304347826087,1.0880043596520916
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Pz,20,5,0.08695652173913043,1.3498839933705054
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C3,9,5,0.0391304347826087,0.8567542654516139
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C4,9,5,0.0391304347826087,1.0646763858288468
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Cz,13,5,0.05652173913043478,1.1289912137231028
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Fz,29,5,0.12608695652173912,1.3618836886806778
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Oz,11,5,0.04782608695652174,1.2298752350154583
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO7,23,5,0.1,1.140925318908619
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO8,16,5,0.06956521739130435,1.1874017084915442
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Pz,16,5,0.06956521739130435,0.9398068926420048
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C3,21,5,0.09130434782608696,1.133989439967218
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C4,18,5,0.0782608695652174,1.1847003070340172
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Cz,27,5,0.11739130434782609,1.2478973161869449
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Fz,20,5,0.08695652173913043,1.0366231639647467
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Oz,24,5,0.10434782608695652,1.2831350712683705
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO7,26,5,0.11304347826086956,1.284744196046049
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO8,26,5,0.11304347826086956,1.3239800547025364
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Pz,32,5,0.1391304347826087,1.3328275855328309
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C3,17,5,0.07391304347826087,1.3648569960139727
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C4,22,5,0.09565217391304348,1.285117838064382
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Cz,25,5,0.10869565217391304,1.2861971511335526
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Fz,6,5,0.02608695652173913,0.7393944110360005
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Oz,23,5,0.1,1.323421939248315
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO7,15,5,0.06521739130434782,1.1652736632016891
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO8,27,5,0.11739130434782609,1.3141519071341266
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Pz,15,5,0.06521739130434782,1.055523626808761
individual,arousal,eeg,knn,10,10,eeg_hc__C3,12,5,0.05217391304347826,1.0660406717516038
individual,arousal,eeg,knn,10,10,eeg_hc__C4,23,5,0.1,1.247365807467276
individual,arousal,eeg,knn,10,10,eeg_hc__Cz,22,5,0.09565217391304348,1.2041141216402131
individual,arousal,eeg,knn,10,10,eeg_hc__Fz,26,5,0.11304347826086956,1.4960298403147687
individual,arousal,eeg,knn,10,10,eeg_hc__Oz,11,5,0.04782608695652174,0.9926228562544502
individual,arousal,eeg,knn,10,10,eeg_hc__PO7,16,5,0.06956521739130435,1.083247606519791
individual,arousal,eeg,knn,10,10,eeg_hc__PO8,22,5,0.09565217391304348,1.4838895434348003
individual,arousal,eeg,knn,10,10,eeg_hc__Pz,13,5,0.05652173913043478,1.099675858884008
individual,arousal,eeg,knn,10,10,eeg_hm__C3,16,5,0.06956521739130435,1.0473250776196132
individual,arousal,eeg,knn,10,10,eeg_hm__C4,18,5,0.0782608695652174,1.0912244795852284
individual,arousal,eeg,knn,10,10,eeg_hm__Cz,12,5,0.05217391304347826,1.1283320746250443
individual,arousal,eeg,knn,10,10,eeg_hm__Fz,16,5,0.06956521739130435,1.2110913166035384
individual,arousal,eeg,knn,10,10,eeg_hm__Oz,19,5,0.08260869565217391,1.1931932597007702
individual,arousal,eeg,knn,10,10,eeg_hm__PO7,27,5,0.11739130434782609,1.5519008563471097
