participant,condition,target,model_id,model_rank,modality,classifier,feature_request,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,pick_place,35,2.7561830427144427e-05,1.8547914056052692e-14,9.766265801875328e-05,0.0
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_alone,14,1.835366463072737e-15,1.959501428187202e-26,6.867312476000108e-15,0.0
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_interaction,74,0.001451219159214252,1.393960314212761e-08,0.0045646260947414165,0.0
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_observation,54,0.0028989608911335423,7.730850297742395e-10,0.010371541902270515,0.0
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,sisyphus,47,0.00021522769092190144,6.717051680242824e-14,0.0009505253918187136,0.0
P01,ICA,arousal,arousal__face__gnb__5,2,face,gnb,5,stack,64,0.0009153337518106206,2.8845145441624874e-08,0.005256967943820005,0.0
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,pick_place,35,0.581412392939395,0.5725788473604116,0.14150699439408734,0.6571428571428571
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_alone,14,0.5274905596597135,0.5555431693458013,0.0770286812469361,0.6428571428571429
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_interaction,74,0.5119228559864908,0.5092632894912932,0.07135217617161459,0.47297297297297297
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_observation,54,0.5349791462448954,0.5212495674723514,0.1326198075555112,0.5555555555555556
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,sisyphus,47,0.6005467888399795,0.6158097525636586,0.09077541973302511,0.851063829787234
P01,ICA,arousal,arousal__face__svm__10,1,face,svm,10,stack,64,0.49990287000491634,0.4903536746193199,0.11469732849463828,0.46875
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,pick_place,35,0.6277081978796224,0.6385079490959694,0.024478253323481206,1.0
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_alone,14,0.6380535525136614,0.6385119534647863,0.0008908861551891354,1.0
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_interaction,74,0.6510526067245372,0.6461515954299863,0.07816264752996542,0.9054054054054054
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_observation,54,0.6173810961853916,0.6383886103068963,0.05350217258467765,0.9444444444444444
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,sisyphus,47,0.6592011783382608,0.6399203781421299,0.057409238803126664,0.9787234042553191
P01,ICA,arousal,arousal__face__svm__5,3,face,svm,5,stack,64,0.6205800688192495,0.6371907611404806,0.05638309578752162,0.953125
P01,ICA,valence,valence__eeg__svm__5,1,eeg,svm,5,pick_place,43,0.5855326721293149,0.6473504250003228,0.221122896555701,0.7441860465116279
P01,ICA,valence,valence__eeg__svm__5,1,eeg,svm,5,shape_sorter_alone,15,0.7814525088763925,0.8325102046080923,0.22466476418069445,0.9333333333333333
