participant,task,target,condition,n_valid_windows,rank1_model_label,rank1_mean_high_probability,rank1_median_high_probability,rank1_fraction_high_windows,rank1_task_verdict,rank2_model_label,rank2_mean_high_probability,rank2_median_high_probability,rank2_fraction_high_windows,rank2_task_verdict,rank3_model_label,rank3_mean_high_probability,rank3_median_high_probability,rank3_fraction_high_windows,rank3_task_verdict,consensus_median_probability,consensus_verdict,models_voting_HIGH,models_voting_LOW,unanimous_verdict,agreement_fraction,robot_rating,robot_rating_class,consensus_matches_rating,rank1_matches_rating,rank2_matches_rating,rank3_matches_rating,shift_warning,ica_no_ica_same_consensus_verdict
P01,pick_place,arousal,ICA,35,Face SVM Top-10,0.581412392939395,0.5725788473604116,0.6571428571428571,HIGH,Face GNB Top-5,2.7561830427144427e-05,1.8547914056052692e-14,0.0,LOW,Face SVM Top-5,0.6277081978796224,0.6385079490959694,1.0,HIGH,0.5725788473604116,HIGH,2,1,False,0.0,5.0,HIGH,True,True,False,True,ICA: R1,True
P01,pick_place,arousal,no-ICA,35,Face SVM Top-10,0.581412392939395,0.5725788473604116,0.6571428571428571,HIGH,Face GNB Top-5,2.7561830427144427e-05,1.8547914056052692e-14,0.0,LOW,Face SVM Top-5,0.6277081978796224,0.6385079490959694,1.0,HIGH,0.5725788473604116,HIGH,2,1,False,0.0,5.0,HIGH,True,True,False,True,no-ICA: R1,True
P01,shape_sorter_alone,arousal,ICA,14,Face SVM Top-10,0.5274905596597135,0.5555431693458013,0.6428571428571429,HIGH,Face GNB Top-5,1.835366463072737e-15,1.959501428187202e-26,0.0,LOW,Face SVM Top-5,0.6380535525136614,0.6385119534647863,1.0,HIGH,0.5555431693458013,HIGH,2,1,False,0.0,1.0,LOW,False,False,True,False,ICA: R1,True
P01,shape_sorter_alone,arousal,no-ICA,14,Face SVM Top-10,0.5274905596597135,0.5555431693458013,0.6428571428571429,HIGH,Face GNB Top-5,1.835366463072737e-15,1.959501428187202e-26,0.0,LOW,Face SVM Top-5,0.6380535525136614,0.6385119534647863,1.0,HIGH,0.5555431693458013,HIGH,2,1,False,0.0,1.0,LOW,False,False,True,False,no-ICA: R1,True
P01,shape_sorter_interaction,arousal,ICA,74,Face SVM Top-10,0.5119228559864908,0.5092632894912932,0.47297297297297297,HIGH,Face GNB Top-5,0.001451219159214252,1.393960314212761e-08,0.0,LOW,Face SVM Top-5,0.6510526067245372,0.6461515954299863,0.9054054054054054,HIGH,0.5092632894912932,HIGH,2,1,False,0.013513513513513514,5.0,HIGH,True,True,False,True,None,True
P01,shape_sorter_interaction,arousal,no-ICA,74,Face SVM Top-10,0.5119228559864908,0.5092632894912932,0.47297297297297297,HIGH,Face GNB Top-5,0.001451219159214252,1.393960314212761e-08,0.0,LOW,Face SVM Top-5,0.6510526067245372,0.6461515954299863,0.9054054054054054,HIGH,0.5092632894912932,HIGH,2,1,False,0.013513513513513514,5.0,HIGH,True,True,False,True,None,True
P01,shape_sorter_observation,arousal,ICA,54,Face SVM Top-10,0.5349791462448954,0.5212495674723514,0.5555555555555556,HIGH,Face GNB Top-5,0.0028989608911335423,7.730850297742395e-10,0.0,LOW,Face SVM Top-5,0.6173810961853916,0.6383886103068963,0.9444444444444444,HIGH,0.5212495674723514,HIGH,2,1,False,0.018518518518518517,6.0,HIGH,True,True,False,True,ICA: R1,True
P01,shape_sorter_observation,arousal,no-ICA,54,Face SVM Top-10,0.5349791462448954,0.5212495674723514,0.5555555555555556,HIGH,Face GNB Top-5,0.0028989608911335423,7.730850297742395e-10,0.0,LOW,Face SVM Top-5,0.6173810961853916,0.6383886103068963,0.9444444444444444,HIGH,0.5212495674723514,HIGH,2,1,False,0.018518518518518517,6.0,HIGH,True,True,False,True,no-ICA: R1,True
P01,sisyphus,arousal,ICA,47,Face SVM Top-10,0.6005467888399795,0.6158097525636586,0.851063829787234,HIGH,Face GNB Top-5,0.00021522769092190144,6.717051680242824e-14,0.0,LOW,Face SVM Top-5,0.6592011783382608,0.6399203781421299,0.9787234042553191,HIGH,0.6158097525636586,HIGH,2,1,False,0.02127659574468085,5.0,HIGH,True,True,False,True,None,True
P01,sisyphus,arousal,no-ICA,47,Face SVM Top-10,0.6005467888399795,0.6158097525636586,0.851063829787234,HIGH,Face GNB Top-5,0.00021522769092190144,6.717051680242824e-14,0.0,LOW,Face SVM Top-5,0.6592011783382608,0.6399203781421299,0.9787234042553191,HIGH,0.6158097525636586,HIGH,2,1,False,0.02127659574468085,5.0,HIGH,True,True,False,True,None,True
P01,stack,arousal,ICA,64,Face SVM Top-10,0.49990287000491634,0.4903536746193199,0.46875,LOW,Face GNB Top-5,0.0009153337518106206,2.8845145441624874e-08,0.0,LOW,Face SVM Top-5,0.6205800688192495,0.6371907611404806,0.953125,HIGH,0.4903536746193199,LOW,1,2,False,0.046875,5.0,HIGH,False,False,False,True,ICA: R1,True
P01,stack,arousal,no-ICA,64,Face SVM Top-10,0.49990287000491634,0.4903536746193199,0.46875,LOW,Face GNB Top-5,0.0009153337518106206,2.8845145441624874e-08,0.0,LOW,Face SVM Top-5,0.6205800688192495,0.6371907611404806,0.953125,HIGH,0.4903536746193199,LOW,1,2,False,0.046875,5.0,HIGH,False,False,False,True,no-ICA: R1,True
P01,pick_place,valence,ICA,35,Eeg SVM Top-5,0.5855326721293149,0.6473504250003228,0.7441860465116279,HIGH,Face GNB Top-5,0.6282802358549507,0.907700737742326,0.6285714285714286,HIGH,Face GNB Top-10,0.4587213443321725,0.2408635308921217,0.42857142857142855,LOW,0.6473504250003228,HIGH,2,1,False,0.4883720930232558,5.0,HIGH,True,True,True,False,ICA: R3,True
P01,pick_place,valence,no-ICA,35,Eeg SVM Top-5,0.47917032688638767,0.5302369129979838,0.5116279069767442,HIGH,Face GNB Top-5,0.6282802358549507,0.907700737742326,0.6285714285714286,HIGH,Face GNB Top-10,0.4587213443321725,0.2408635308921217,0.42857142857142855,LOW,0.5302369129979838,HIGH,2,1,False,0.4883720930232558,5.0,HIGH,True,True,True,False,no-ICA: R3,True
P01,shape_sorter_alone,valence,ICA,14,Eeg SVM Top-5,0.7814525088763925,0.8325102046080923,0.9333333333333333,HIGH,Face GNB Top-5,0.4580119365256358,0.16853785898721185,0.42857142857142855,LOW,Face GNB Top-10,0.999817604618676,0.9999853614306369,1.0,HIGH,0.8325102046080923,HIGH,2,1,False,0.4666666666666667,6.0,HIGH,True,True,False,True,ICA: R3,True
P01,shape_sorter_alone,valence,no-ICA,14,Eeg SVM Top-5,0.6811249146313317,0.6321447069314525,1.0,HIGH,Face GNB Top-5,0.4580119365256358,0.16853785898721185,0.42857142857142855,LOW,Face GNB Top-10,0.999817604618676,0.9999853614306369,1.0,HIGH,0.6321447069314525,HIGH,2,1,False,0.4666666666666667,6.0,HIGH,True,True,False,True,no-ICA: R3,True
P01,shape_sorter_interaction,valence,ICA,74,Eeg SVM Top-5,0.7638235944853065,0.7886039719217215,0.9879518072289156,HIGH,Face GNB Top-5,0.41507514781194355,0.18927856633893445,0.36486486486486486,LOW,Face GNB Top-10,0.973515505201124,0.9995165149775184,0.9864864864864865,HIGH,0.7886039719217215,HIGH,2,1,False,0.43373493975903615,3.0,LOW,False,False,True,False,None,True
P01,shape_sorter_interaction,valence,no-ICA,74,Eeg SVM Top-5,0.6391680086193974,0.6389413624040005,0.9759036144578314,HIGH,Face GNB Top-5,0.41507514781194355,0.18927856633893445,0.36486486486486486,LOW,Face GNB Top-10,0.973515505201124,0.9995165149775184,0.9864864864864865,HIGH,0.6389413624040005,HIGH,2,1,False,0.40963855421686746,3.0,LOW,False,False,True,False,None,True
P01,shape_sorter_observation,valence,ICA,54,Eeg SVM Top-5,0.6622068308118856,0.6731302871870715,0.8888888888888888,HIGH,Face GNB Top-5,0.7195088796718083,0.9258183620580058,0.7222222222222222,HIGH,Face GNB Top-10,0.6319565477332176,0.957584176561691,0.6296296296296297,HIGH,0.9258183620580058,HIGH,3,0,True,0.5555555555555556,7.0,HIGH,True,True,True,True,ICA: R3,True
P01,shape_sorter_observation,valence,no-ICA,54,Eeg SVM Top-5,0.5455352063684376,0.5594175696853005,0.7142857142857143,HIGH,Face GNB Top-5,0.7195088796718083,0.9258183620580058,0.7222222222222222,HIGH,Face GNB Top-10,0.6319565477332176,0.957584176561691,0.6296296296296297,HIGH,0.9258183620580058,HIGH,3,0,True,0.42857142857142855,7.0,HIGH,True,True,True,True,no-ICA: R3,True
