condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
ICA,valence__face__gnb__5,pick_place,all_selected,20,2.862522264160093,1.6959855634833563,0.75,0.23000000000000004,1.4337634104057007,5.754348038922916
ICA,valence__face__gnb__5,shape_sorter_alone,all_selected,12,3.200531071502824,1.2731193044941542,0.6666666666666666,0.15,1.0151026552741904,7.1468559906695335
ICA,valence__face__gnb__5,shape_sorter_interaction,all_selected,80,2.33417782488226,1.3452263178728265,0.4625,0.1775,1.6942256041580261,6.41722692161883
ICA,valence__face__gnb__5,shape_sorter_observation,all_selected,104,1.5708018400052302,1.379220508521498,0.375,0.11923076923076922,1.1097235713952527,5.843603388235969
ICA,valence__face__gnb__5,sisyphus,all_selected,95,1.4159357126564818,1.337819367636457,0.3263157894736842,0.07578947368421055,1.0087827568115633,15.769373854269706
ICA,valence__face__gnb__5,stack,all_selected,61,1.5300930010846232,1.3633362891470289,0.2786885245901639,0.09508196721311478,1.142069504016132,4.479465904004243
ICA,valence__eeg__svm__20,pick_place,all_selected,25,3.67381064213908,1.1040345566028682,0.32,0.06199999999999999,0.7626673830219772,46450.217183475885
ICA,valence__eeg__svm__20,shape_sorter_alone,all_selected,23,3.7472291360780465,1.6682830518973564,0.30434782608695654,0.0782608695652174,0.8755090426820824,58382.67742027515
ICA,valence__eeg__svm__20,shape_sorter_interaction,all_selected,85,3.799591319917856,1.128104113415906,0.5294117647058824,0.051764705882352935,0.8743625372079027,44281.78318737946
ICA,valence__eeg__svm__20,shape_sorter_observation,all_selected,108,3.4703016014625008,0.7962550557184276,0.3055555555555556,0.036111111111111115,0.8123598683639464,247709.98460266434
ICA,valence__eeg__svm__20,sisyphus,all_selected,107,68.14840890586949,67.12209809930938,1.0,0.3672897196261682,1.4589977694989615,47385.33689379478
ICA,valence__eeg__svm__20,stack,all_selected,69,3.631688037187345,1.0842682935551924,0.4782608695652174,0.05289855072463768,0.8265413491450813,48272.34086303991
ICA,valence__face__gnb__10,pick_place,all_selected,20,6.73270875195967,2.494372271198161,1.0,0.33999999999999997,1.8964095538566283,17.526756430328497
ICA,valence__face__gnb__10,shape_sorter_alone,all_selected,12,8.113681991651003,4.064796218925639,1.0,0.3333333333333333,2.0567252055614365,8.976730625150138
ICA,valence__face__gnb__10,shape_sorter_interaction,all_selected,80,6.5672106091819415,1.808350194927458,1.0,0.37124999999999997,1.924526206216782,8.735014764826548
ICA,valence__face__gnb__10,shape_sorter_observation,all_selected,104,5.743041782372302,1.8104845111857077,1.0,0.30096153846153845,1.5904563278576151,8.855034214463766
ICA,valence__face__gnb__10,sisyphus,all_selected,95,6.027801450894076,1.6571695895003709,1.0,0.27263157894736845,1.4893048429642817,15.769373854269706
ICA,valence__face__gnb__10,stack,all_selected,61,5.12579014165336,1.8389082895138795,1.0,0.27704918032786885,1.307526115521859,8.277022678256895
ICA,arousal__face__gnb__5,pick_place,all_selected,20,1.9647058969685718,1.2826508532698133,0.5,0.23000000000000004,1.4904696481171475,17.526756430328497
ICA,arousal__face__gnb__5,shape_sorter_alone,all_selected,12,2.0541728138938873,0.8745374557965548,0.5,0.11666666666666668,1.50487066200985,6.0790478255428715
ICA,arousal__face__gnb__5,shape_sorter_interaction,all_selected,80,1.9115514212154656,1.1307655753894346,0.4625,0.1375,1.390248235066065,7.8756014171452176
ICA,arousal__face__gnb__5,shape_sorter_observation,all_selected,104,1.6265181690812198,0.8850973487651437,0.34615384615384615,0.11923076923076924,1.2097067565587802,6.305217892852802
ICA,arousal__face__gnb__5,sisyphus,all_selected,95,1.5555962201905447,0.9786162316629299,0.3157894736842105,0.09263157894736841,1.0503783942226113,15.769373854269706
ICA,arousal__face__gnb__5,stack,all_selected,61,1.4184279741071475,0.7699407229017008,0.4098360655737705,0.12131147540983608,1.166012115151566,6.870856897878245
ICA,arousal__multimodal__knn__all,pick_place,all_selected,20,20.122391914086386,9.288198927515563,1.0,0.06846153846153845,0.7932035659105678,20.2036053225302
ICA,arousal__multimodal__knn__all,shape_sorter_alone,all_selected,12,24.910683256614625,10.571655792322694,1.0,0.09871794871794871,0.9104522252499375,24.79046358940443
ICA,arousal__multimodal__knn__all,shape_sorter_interaction,all_selected,80,17.19098038874286,2.911923407433477,1.0,0.07307692307692308,0.8215757425852703,41.45777903990884
ICA,arousal__multimodal__knn__all,shape_sorter_observation,all_selected,104,15.812067286266366,2.4651016173425067,1.0,0.05754437869822485,0.8009925920006109,12.98022701829291
ICA,arousal__multimodal__knn__all,sisyphus,all_selected,95,223.346282589634,217.51365448105253,1.0,0.4216194331983805,2.043611624004667,734.5267413259738
ICA,arousal__multimodal__knn__all,stack,all_selected,61,15.33129656302575,2.6423566695940846,1.0,0.0614123581336696,0.8124793635755625,16.692607918075176
ICA,arousal__multimodal__knn__all,pick_place,eeg_selected,20,20.122391914086386,9.288198927515563,1.0,0.045000000000000005,0.7627348156692909,20.2036053225302
ICA,arousal__multimodal__knn__all,shape_sorter_alone,eeg_selected,12,24.910683256614625,10.571655792322694,1.0,0.07638888888888888,0.859613917951067,24.79046358940443
