participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,pick_place,1,pick_place_s1_5.000,5.0,7.0,no-ICA,valence__face__gnb__5,2.478534411255349,1,0.2,4.849453977103716,1.4227791870261894
P15,pick_place,1,pick_place_s1_6.000,6.0,8.0,no-ICA,valence__face__gnb__5,2.750463441756876,1,0.2,4.029613148234422,0.6013845944101791
P15,pick_place,1,pick_place_s1_7.000,7.0,9.0,no-ICA,valence__face__gnb__5,2.034789965630382,0,0.0,2.2442628657349744,1.4061671112232235
P15,pick_place,1,pick_place_s1_8.000,8.0,10.0,no-ICA,valence__face__gnb__5,2.353550959761293,0,0.0,2.918359725205996,1.2205022684383526
P15,pick_place,1,pick_place_s1_9.000,9.0,11.0,no-ICA,valence__face__gnb__5,2.360834347513031,0,0.0,3.3283711083874405,0.9249130404572021
P15,pick_place,1,pick_place_s1_10.000,10.0,12.0,no-ICA,valence__face__gnb__5,3.628299198369148,1,0.2,5.227356764492097,2.073971900964995
P15,pick_place,1,pick_place_s1_11.000,11.0,13.0,no-ICA,valence__face__gnb__5,3.989850015750551,2,0.4,5.754348038922916,2.3974337210486163
P15,pick_place,1,pick_place_s1_12.000,12.0,14.0,no-ICA,valence__face__gnb__5,2.3638476164595548,1,0.2,3.5614353420054123,0.7932949748139876
P15,pick_place,1,pick_place_s1_13.000,13.0,15.0,no-ICA,valence__face__gnb__5,1.3912926339425185,0,0.0,2.063238238715173,1.2811912390653537
P15,pick_place,1,pick_place_s1_14.000,14.0,16.0,no-ICA,valence__face__gnb__5,4.0254136420255735,2,0.4,3.6683733916788417,3.493453053771668
P15,pick_place,1,pick_place_s1_15.000,15.0,17.0,no-ICA,valence__face__gnb__5,5.049705994208688,3,0.6,5.665319151771599,3.7900898756161236
P15,pick_place,1,pick_place_s1_16.000,16.0,18.0,no-ICA,valence__face__gnb__5,2.753537840797324,2,0.4,3.4896448218219223,2.303314808918178
P15,pick_place,1,pick_place_s1_17.000,17.0,19.0,no-ICA,valence__face__gnb__5,1.71192283665978,0,0.0,2.6569575639213934,0.71228701731495
P15,pick_place,1,pick_place_s1_18.000,18.0,20.0,no-ICA,valence__face__gnb__5,5.207905540682294,3,0.6,5.0320722694720255,2.882111914740742
P15,pick_place,1,pick_place_s1_19.000,19.0,21.0,no-ICA,valence__face__gnb__5,5.31845785492415,2,0.4,5.18807301008388,1.6033502368532784
P15,pick_place,1,pick_place_s1_20.000,20.0,22.0,no-ICA,valence__face__gnb__5,2.926451020046472,1,0.2,3.845479353652836,1.6317476490141611
P15,pick_place,1,pick_place_s1_21.000,21.0,23.0,no-ICA,valence__face__gnb__5,2.9103662461271025,1,0.2,3.849008965887969,1.0895832673570371
P15,pick_place,1,pick_place_s1_22.000,22.0,24.0,no-ICA,valence__face__gnb__5,4.160078524748399,1,0.2,4.886669429918537,1.0816991598464807
