condition,target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
ICA,arousal,pick_place,20,0.25,0.25,0.0,0.75,0.9,0.25,-0.319759744578018,0.45,0.31839457192698517,0.8,-0.3231365249473185
ICA,arousal,shape_sorter_alone,12,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,1.0,0.5833333333333334,-0.38945908936669116,0.5833333333333334,0.13306104796685117,1.0,-0.1335861792156484
ICA,arousal,shape_sorter_interaction,80,0.75,0.75,0.0,0.25,0.9375,0.825,0.3031529535656621,0.8125,0.35900256267185643,0.8625,0.4933631325849961
ICA,arousal,shape_sorter_observation,104,0.6730769230769231,0.6634615384615384,0.009615384615384616,0.3269230769230769,0.9134615384615384,0.7211538461538461,0.2952567872452032,0.7788461538461539,0.42814287944900836,0.8461538461538461,0.3687433687069871
ICA,arousal,sisyphus,95,0.0,0.0,0.0,1.0,0.7052631578947368,0.7052631578947368,0.13240564196102844,0.29473684210526313,0.04957535359406587,0.0,0.1413757585072056
ICA,arousal,stack,61,0.7540983606557377,0.7540983606557377,0.0,0.2459016393442623,0.9508196721311475,0.7540983606557377,0.1132322256497934,0.9016393442622951,0.5437867695657851,0.8524590163934426,0.07918485038737881
ICA,valence,pick_place,25,0.32,0.0,0.12,0.68,0.08,0.2,0.3660039308566189,0.72,0.6511660757322848,0.12,0.2769286821471154
ICA,valence,shape_sorter_alone,23,0.6521739130434783,0.08695652173913043,0.08695652173913043,0.34782608695652173,0.13043478260869565,0.21739130434782608,0.253621318297687,0.4782608695652174,0.780011145945676,0.17391304347826086,0.040919942047420055
ICA,valence,shape_sorter_interaction,85,0.35294117647058826,0.023529411764705882,0.27058823529411763,0.6470588235294118,0.17647058823529413,0.43529411764705883,0.2545757258661543,0.8,0.6278137970229116,0.29411764705882354,0.0864074764178786
ICA,valence,shape_sorter_observation,108,0.2777777777777778,0.018518518518518517,0.2222222222222222,0.7222222222222222,0.2222222222222222,0.42592592592592593,0.2889081077501341,0.7407407407407407,0.4577867677356267,0.2777777777777778,0.09120367416150073
ICA,valence,sisyphus,107,0.27102803738317754,0.1588785046728972,0.0,0.7289719626168224,0.4485981308411215,0.4485981308411215,0.02805202158538225,0.5981308411214953,0.623365469565722,0.1588785046728972,0.07412844711916018
ICA,valence,stack,69,0.42028985507246375,0.07246376811594203,0.2318840579710145,0.5797101449275363,0.14492753623188406,0.37681159420289856,-0.18859380603520837,0.6956521739130435,0.48726429350542727,0.42028985507246375,-0.05257131000292817
no-ICA,arousal,pick_place,20,0.25,0.25,0.0,0.75,0.9,0.25,-0.319759744578018,0.45,0.3183945719269845,0.8,-0.32313652494732203
no-ICA,arousal,shape_sorter_alone,12,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,1.0,0.5833333333333334,-0.38945908936669116,0.5833333333333334,0.1330610479668458,1.0,-0.1335861792156618
no-ICA,arousal,shape_sorter_interaction,80,0.75,0.75,0.0,0.25,0.9375,0.825,0.3031529535656621,0.8125,0.3590025626718147,0.8625,0.49336313258497005
no-ICA,arousal,shape_sorter_observation,104,0.6730769230769231,0.6634615384615384,0.009615384615384616,0.3269230769230769,0.9134615384615384,0.7211538461538461,0.2952567872452032,0.7788461538461539,0.42814287944906754,0.8461538461538461,0.36874336870695085
no-ICA,arousal,sisyphus,95,0.6526315789473685,0.631578947368421,0.021052631578947368,0.3473684210526316,0.9263157894736842,0.7052631578947368,0.24172453876504296,0.7263157894736842,0.34084279801013595,0.8736842105263158,0.043366785200697394
no-ICA,arousal,stack,61,0.7540983606557377,0.7540983606557377,0.0,0.2459016393442623,0.9508196721311475,0.7540983606557377,0.1132322256497934,0.9016393442622951,0.543786769565786,0.8524590163934426,0.07918485038736632
no-ICA,valence,pick_place,25,0.32,0.0,0.12,0.68,0.08,0.2,0.366003930856645,0.72,0.6511660757322848,0.12,0.2769286821471583
no-ICA,valence,shape_sorter_alone,23,0.6521739130434783,0.08695652173913043,0.08695652173913043,0.34782608695652173,0.13043478260869565,0.21739130434782608,0.2536213182975685,0.4782608695652174,0.780011145945676,0.17391304347826086,0.04091994204733115
no-ICA,valence,shape_sorter_interaction,85,0.35294117647058826,0.023529411764705882,0.27058823529411763,0.6470588235294118,0.17647058823529413,0.43529411764705883,0.2545757258659779,0.8,0.6278137970229116,0.29411764705882354,0.08640747641760839
no-ICA,valence,shape_sorter_observation,108,0.2777777777777778,0.018518518518518517,0.2222222222222222,0.7222222222222222,0.2222222222222222,0.42592592592592593,0.2889081077501322,0.7407407407407407,0.4577867677356267,0.2777777777777778,0.0912036741614918
no-ICA,valence,sisyphus,107,0.37383177570093457,0.11214953271028037,0.14953271028037382,0.6261682242990654,0.32710280373831774,0.42990654205607476,0.04984652011431164,0.5981308411214953,0.623365469565722,0.38317757009345793,0.11349940893916875
no-ICA,valence,stack,69,0.42028985507246375,0.07246376811594203,0.2318840579710145,0.5797101449275363,0.14492753623188406,0.37681159420289856,-0.18859380603520254,0.6956521739130435,0.48726429350542727,0.42028985507246375,-0.052571310002935134
