participant,representation,target,task,window_id,window_index,window_start_s,predicted_class,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,feature_domain_reliability,selected_feature_abs_z_median,selected_feature_abs_z_p95
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_0.000,1,0.0,LOW,0.0,108100.36842653851,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.7861041325879694,86485.6293226994
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_1.000,2,1.0,LOW,0.0,1265.0551885430511,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,11.591354313711069,1028.7538060161635
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_2.000,3,2.0,LOW,0.0,54.1187861495313,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.684108856202687,47.756351012109306
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_3.000,4,3.0,LOW,8.183329710527825e-115,24.505048631884296,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.359503727106814,23.330734028862317
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_4.000,5,4.0,LOW,1.1357050925777054e-140,28.145764436321546,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.7861041325879694,26.38292641405822
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_5.000,6,5.0,LOW,2.4207689947912168e-284,42.212718504300454,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.9203186921345416,37.546570699823505
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_6.000,7,6.0,LOW,0.0,138.59254404666697,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.871569821556204,115.55198580433098
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_7.000,8,7.0,LOW,7.522552889590974e-221,35.42002997596457,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.718891244422047,32.3956379550974
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_8.000,9,8.0,LOW,1.0553456070493257e-32,9.505487867977125,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.864451780955389,11.113432088301279
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_9.000,10,9.0,LOW,7.588333451888114e-76,18.59333080517325,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.7731895633100296,18.63054837887174
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_10.000,11,10.0,LOW,2.856242804092136e-17,5.878935137332706,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,8.112340455338176
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_11.000,12,11.0,LOW,8.263894752345704e-22,7.482062264164209,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.1890818184619762,9.461952113753398
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_12.000,13,12.0,LOW,3.703887151072076e-08,2.0255578723046983,99.16666666666667,1.3099880359456375,2.3901764237130623,True,False,above_image_95pct,2.1890818184619762,4.796209400861728
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_13.000,14,13.0,LOW,1.3260616219539728e-51,14.515831033312795,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.5522629295687103,15.2449550779913
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_14.000,15,14.0,LOW,1.8926640989677043e-108,23.632735333770796,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.3051126357404845,22.629430238537704
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_15.000,16,15.0,LOW,1.2832586113684715e-28,9.102935987141885,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.7564386082156718,10.82098762777474
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_16.000,17,16.0,LOW,2.065093156047455e-65,17.304403880869835,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.708540008328572,17.380262830106172
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_17.000,18,17.0,LOW,3.946292176918552e-58,14.98525780493018,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.552952459049418,15.488606367626737
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_18.000,19,18.0,LOW,6.90098776981706e-83,19.436153024560927,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.832162724399567,19.38565751713327
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_19.000,20,19.0,LOW,1.720124876854356e-259,39.61879811429108,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.73772819055994,35.79866855427757
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_20.000,21,20.0,LOW,9.338656022649035e-265,39.64634920599047,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.032224844627206,35.93579585339852
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_21.000,22,21.0,LOW,1.5857603020920903e-163,29.660913634409972,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.86243515252244,27.71196082280772
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_22.000,23,22.0,LOW,5.16773846990193e-13,3.9414502639430595,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.4390697193876476,6.499841960696232
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_23.000,24,23.0,LOW,3.821133514494807e-09,3.606101380447799,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9384631635800182,5.656080008242993
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_24.000,25,24.0,LOW,3.758924637500671e-153,29.05808428826998,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.550103583544773,27.062785729960133
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_25.000,26,25.0,LOW,4.681262784679919e-124,25.65863178664821,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.391096731201168,24.305457735880022
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_26.000,27,26.0,LOW,3.9476923793308035e-11,4.651509149337693,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.3341701373498436,6.798622109841729
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_27.000,28,27.0,LOW,2.221864750286756e-27,9.16500574992913,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,10.935171627144715
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_28.000,29,28.0,LOW,3.40754692461663e-70,17.85160016426002,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.639159905666768,17.976602069351525
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_29.000,30,29.0,LOW,1.2145327186905583e-38,11.974048388872962,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.1890818184619762,13.171496474168869
