participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P27,pick_place,1,pick_place_s1_0.000,0.0,2.0,ICA,valence__eeg__svm__all,42961.161758994625,59,0.49166666666666664,41000.32438572243,2.2373723534974843
P27,pick_place,1,pick_place_s1_1.000,1.0,3.0,ICA,valence__eeg__svm__all,573.7460978481207,61,0.5083333333333333,521.4275724473202,2.4888855271389962
P27,pick_place,1,pick_place_s1_10.000,10.0,12.0,ICA,valence__eeg__svm__all,12.914688773173362,8,0.06666666666666667,4.083946833677384,0.7997435609982385
P27,pick_place,1,pick_place_s1_11.000,11.0,13.0,ICA,valence__eeg__svm__all,10.372848738173236,11,0.09166666666666666,3.2202986775813485,0.9722758012738901
P27,pick_place,1,pick_place_s1_12.000,12.0,14.0,ICA,valence__eeg__svm__all,13.338931985194597,11,0.09166666666666666,4.271537820375365,0.9222557825396136
P27,pick_place,1,pick_place_s1_13.000,13.0,15.0,ICA,valence__eeg__svm__all,13.611005531848667,7,0.058333333333333334,3.988204921402662,0.8260300216762713
P27,pick_place,1,pick_place_s1_14.000,14.0,16.0,ICA,valence__eeg__svm__all,12.466245800940094,4,0.03333333333333333,3.7955038746158536,0.8210422268828981
P27,pick_place,1,pick_place_s1_15.000,15.0,17.0,ICA,valence__eeg__svm__all,11.51011352682437,5,0.041666666666666664,2.7088416523691174,0.8096155140302901
P27,pick_place,1,pick_place_s1_16.000,16.0,18.0,ICA,valence__eeg__svm__all,12.080539741088606,5,0.041666666666666664,4.539872287455569,0.7601736497484382
P27,pick_place,1,pick_place_s1_17.000,17.0,19.0,ICA,valence__eeg__svm__all,17.00409146822261,4,0.03333333333333333,11.13249589462602,0.8545477373604295
P27,pick_place,1,pick_place_s1_18.000,18.0,20.0,ICA,valence__eeg__svm__all,17.80960249416609,5,0.041666666666666664,11.414374813023933,0.8970555614260864
P27,pick_place,1,pick_place_s1_19.000,19.0,21.0,ICA,valence__eeg__svm__all,12.275491483658586,5,0.041666666666666664,3.8450469682152786,0.7067675107059102
P27,pick_place,1,pick_place_s1_2.000,2.0,4.0,ICA,valence__eeg__svm__all,30.216726263386228,16,0.13333333333333333,14.415707899567789,1.0083252797121927
P27,pick_place,1,pick_place_s1_20.000,20.0,22.0,ICA,valence__eeg__svm__all,10.367869497847785,3,0.025,3.780975054416739,0.6809119642803455
P27,pick_place,1,pick_place_s1_21.000,21.0,23.0,ICA,valence__eeg__svm__all,10.566089585554991,10,0.08333333333333333,2.651566511016396,0.7999695499112169
P27,pick_place,1,pick_place_s1_22.000,22.0,24.0,ICA,valence__eeg__svm__all,14.10637494296225,13,0.10833333333333334,4.378774859761716,0.9336871183339173
P27,pick_place,1,pick_place_s1_23.000,23.0,25.0,ICA,valence__eeg__svm__all,12.682063884853857,15,0.125,2.88143256639091,0.9494466751942634
P27,pick_place,1,pick_place_s1_24.000,24.0,26.0,ICA,valence__eeg__svm__all,10.475493364551967,6,0.05,2.9955629189796884,0.8610776177952228
P27,pick_place,1,pick_place_s1_25.000,25.0,27.0,ICA,valence__eeg__svm__all,12.59901403818137,12,0.1,3.415874768228388,0.898429563861379
P27,pick_place,1,pick_place_s1_26.000,26.0,28.0,ICA,valence__eeg__svm__all,14.410231636946918,11,0.09166666666666666,6.137448101418112,0.9657487993625087
P27,pick_place,1,pick_place_s1_27.000,27.0,29.0,ICA,valence__eeg__svm__all,11.391664910535964,5,0.041666666666666664,4.148614988812009,0.7892648451023787
P27,pick_place,1,pick_place_s1_28.000,28.0,30.0,ICA,valence__eeg__svm__all,8.610635782728508,2,0.016666666666666666,2.2677030974486616,0.6830113211209109
P27,pick_place,1,pick_place_s1_29.000,29.0,31.0,ICA,valence__eeg__svm__all,10.951669050780763,3,0.025,2.591449276752794,0.7605169926637794
P27,pick_place,1,pick_place_s1_3.000,3.0,5.0,ICA,valence__eeg__svm__all,12.113933215773939,4,0.03333333333333333,4.503762948121982,0.6852813314243156
P27,pick_place,1,pick_place_s1_30.000,30.0,32.0,ICA,valence__eeg__svm__all,10.678886445303513,2,0.016666666666666666,4.07360906177397,0.66106212233437
P27,pick_place,1,pick_place_s1_31.000,31.0,33.0,ICA,valence__eeg__svm__all,9.982517103817386,2,0.016666666666666666,2.194507428447176,0.7145070376962893
P27,pick_place,1,pick_place_s1_32.000,32.0,34.0,ICA,valence__eeg__svm__all,11.111950865865717,7,0.058333333333333334,2.34722816022372,0.8115127128398134
P27,pick_place,1,pick_place_s1_33.000,33.0,35.0,ICA,valence__eeg__svm__all,12.635870921874785,3,0.025,5.352273609909811,0.7179429130532792
P27,pick_place,1,pick_place_s1_34.000,34.0,36.0,ICA,valence__eeg__svm__all,13.236576777476998,4,0.03333333333333333,4.908635079052581,0.8306063803298516
P27,pick_place,1,pick_place_s1_35.000,35.0,37.0,ICA,valence__eeg__svm__all,11.375254081126196,4,0.03333333333333333,3.3756474658930355,0.8827329900746343
P27,pick_place,1,pick_place_s1_36.000,36.0,38.0,ICA,valence__eeg__svm__all,14.433404493586695,8,0.06666666666666667,4.532840912837511,0.8158028459322777
P27,pick_place,1,pick_place_s1_37.000,37.0,39.0,ICA,valence__eeg__svm__all,11.67363603566936,4,0.03333333333333333,3.4043103592103647,0.7043337027908753
P27,pick_place,1,pick_place_s1_38.000,38.0,40.0,ICA,valence__eeg__svm__all,11.767970020078899,4,0.03333333333333333,4.6121335474125065,0.6602381893312215
P27,pick_place,1,pick_place_s1_39.000,39.0,41.0,ICA,valence__eeg__svm__all,44.02856359891679,14,0.11666666666666667,28.342513660500444,0.9771574841743642
P27,pick_place,1,pick_place_s1_4.000,4.0,6.0,ICA,valence__eeg__svm__all,11.341430509060359,1,0.008333333333333333,3.3030110686379537,0.7537194051022367
P27,pick_place,1,pick_place_s1_40.000,40.0,42.0,ICA,valence__eeg__svm__all,16.518337420537094,12,0.1,7.513742298682274,0.8629800964798915
P27,pick_place,1,pick_place_s1_5.000,5.0,7.0,ICA,valence__eeg__svm__all,10.442220614441647,1,0.008333333333333333,2.811507015297922,0.6392504669094728
P27,pick_place,1,pick_place_s1_6.000,6.0,8.0,ICA,valence__eeg__svm__all,12.58191738471248,4,0.03333333333333333,3.933950111314049,0.8394443370321911
P27,pick_place,1,pick_place_s1_7.000,7.0,9.0,ICA,valence__eeg__svm__all,11.852277956958453,5,0.041666666666666664,2.9753193236626823,0.8507923151512138
P27,pick_place,1,pick_place_s1_8.000,8.0,10.0,ICA,valence__eeg__svm__all,11.192884303829311,9,0.075,2.572407275446193,0.6996586801475773
P27,pick_place,1,pick_place_s1_9.000,9.0,11.0,ICA,valence__eeg__svm__all,11.646622286060788,2,0.016666666666666666,4.602086739651903,0.7364963282762957
P27,shape_sorter_alone,1,shape_sorter_alone_s1_0.000,0.0,2.0,ICA,valence__eeg__svm__all,39949.85650077568,60,0.5,37061.36667454902,2.790094242404205
P27,shape_sorter_alone,1,shape_sorter_alone_s1_1.000,1.0,3.0,ICA,valence__eeg__svm__all,542.0753809062375,58,0.48333333333333334,470.92252212932834,1.8258856253468667
P27,shape_sorter_alone,1,shape_sorter_alone_s1_10.000,10.0,12.0,ICA,valence__eeg__svm__all,44.07693299651179,16,0.13333333333333333,32.775192375057784,0.9039218094857832
P27,shape_sorter_alone,1,shape_sorter_alone_s1_11.000,11.0,13.0,ICA,valence__eeg__svm__all,117.57697441497017,28,0.23333333333333334,65.98690734696525,1.4919385274147445
P27,shape_sorter_alone,1,shape_sorter_alone_s1_12.000,12.0,14.0,ICA,valence__eeg__svm__all,21.53511958426302,13,0.10833333333333334,8.933012149080238,1.0997860181656307
P27,shape_sorter_alone,1,shape_sorter_alone_s1_13.000,13.0,15.0,ICA,valence__eeg__svm__all,11.468174172766192,6,0.05,3.25024144285526,0.8194694904554884
P27,shape_sorter_alone,1,shape_sorter_alone_s1_14.000,14.0,16.0,ICA,valence__eeg__svm__all,12.584622738914991,2,0.016666666666666666,5.010630270162375,0.6931616123517117
P27,shape_sorter_alone,1,shape_sorter_alone_s1_15.000,15.0,17.0,ICA,valence__eeg__svm__all,12.461969638147146,2,0.016666666666666666,5.716918670493024,0.7457444911713276
P27,shape_sorter_alone,1,shape_sorter_alone_s1_16.000,16.0,18.0,ICA,valence__eeg__svm__all,14.469697016572745,7,0.058333333333333334,5.751350515939233,0.817188346060597
P27,shape_sorter_alone,1,shape_sorter_alone_s1_17.000,17.0,19.0,ICA,valence__eeg__svm__all,66.16475044195975,23,0.19166666666666668,39.78548482761981,1.1311869606685825
P27,shape_sorter_alone,1,shape_sorter_alone_s1_18.000,18.0,20.0,ICA,valence__eeg__svm__all,63.21925217390939,25,0.20833333333333334,39.31485356095824,1.2074306726139017
P27,shape_sorter_alone,1,shape_sorter_alone_s1_19.000,19.0,21.0,ICA,valence__eeg__svm__all,19.503750717353572,5,0.041666666666666664,13.620748738371395,0.7549830061195087
P27,shape_sorter_alone,1,shape_sorter_alone_s1_2.000,2.0,4.0,ICA,valence__eeg__svm__all,27.055624904230893,10,0.08333333333333333,13.147591862790012,0.8355536910693806
P27,shape_sorter_alone,1,shape_sorter_alone_s1_20.000,20.0,22.0,ICA,valence__eeg__svm__all,12.3851589840229,5,0.041666666666666664,6.2608389619130635,0.6722528806511511
P27,shape_sorter_alone,1,shape_sorter_alone_s1_21.000,21.0,23.0,ICA,valence__eeg__svm__all,12.185412200578353,2,0.016666666666666666,5.967919414828477,0.4745749290564295
P27,shape_sorter_alone,1,shape_sorter_alone_s1_22.000,22.0,24.0,ICA,valence__eeg__svm__all,15.903072378183735,6,0.05,9.389597519917034,0.7514652326847175
P27,shape_sorter_alone,1,shape_sorter_alone_s1_23.000,23.0,25.0,ICA,valence__eeg__svm__all,13.761661605449506,7,0.058333333333333334,6.368408407536096,0.7622034908292739
P27,shape_sorter_alone,1,shape_sorter_alone_s1_24.000,24.0,26.0,ICA,valence__eeg__svm__all,15.935008257967487,9,0.075,6.929553487206107,0.9438161149329455
P27,shape_sorter_alone,1,shape_sorter_alone_s1_25.000,25.0,27.0,ICA,valence__eeg__svm__all,42.99987950683568,16,0.13333333333333333,29.33342500390484,0.790713408484862
P27,shape_sorter_alone,1,shape_sorter_alone_s1_26.000,26.0,28.0,ICA,valence__eeg__svm__all,62.2609057635221,16,0.13333333333333333,44.52245894423303,1.1386298491894575
P27,shape_sorter_alone,1,shape_sorter_alone_s1_27.000,27.0,29.0,ICA,valence__eeg__svm__all,21.08911073259772,13,0.10833333333333334,12.547033962797537,0.7931264152471561
P27,shape_sorter_alone,1,shape_sorter_alone_s1_28.000,28.0,30.0,ICA,valence__eeg__svm__all,20.63461824963952,8,0.06666666666666667,11.495366406339057,0.980100601257582
P27,shape_sorter_alone,1,shape_sorter_alone_s1_3.000,3.0,5.0,ICA,valence__eeg__svm__all,12.949857910783617,4,0.03333333333333333,3.9530302313414296,0.6216177913262191
P27,shape_sorter_alone,1,shape_sorter_alone_s1_4.000,4.0,6.0,ICA,valence__eeg__svm__all,10.938238010785247,0,0.0,2.9877052755718996,0.5192840420300966
P27,shape_sorter_alone,1,shape_sorter_alone_s1_5.000,5.0,7.0,ICA,valence__eeg__svm__all,11.956598038407122,3,0.025,4.795799905553714,0.7164802904028149
P27,shape_sorter_alone,1,shape_sorter_alone_s1_6.000,6.0,8.0,ICA,valence__eeg__svm__all,11.384289351645316,1,0.008333333333333333,4.458666590894304,0.8109015053529551
P27,shape_sorter_alone,1,shape_sorter_alone_s1_7.000,7.0,9.0,ICA,valence__eeg__svm__all,10.941440236634069,3,0.025,4.833429071590253,0.6976290416166153
P27,shape_sorter_alone,1,shape_sorter_alone_s1_8.000,8.0,10.0,ICA,valence__eeg__svm__all,12.657743643177449,5,0.041666666666666664,5.299840524677344,0.7285729970567235
