target,model_id,model_rank,modality,classifier,feature_request,task,n_matched_windows,mean_abs_probability_difference,median_abs_probability_difference,maximum_abs_probability_difference,pearson_probability_correlation,lower_distance_condition,lower_outside_fraction_condition,lower_median_abs_z_condition
arousal,arousal__eeg__knn__5,3,eeg,knn,5,pick_place,41,0.0,0.0,0.0,1.0,ICA,tie,no-ICA
arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_alone,29,0.0,0.0,0.0,0.9999999999999999,no-ICA,tie,no-ICA
arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_interaction,95,0.081203007518797,0.0,0.2857142857142858,0.7739089090765522,no-ICA,no-ICA,no-ICA
arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_observation,60,0.0,0.0,0.0,1.0,no-ICA,tie,no-ICA
arousal,arousal__eeg__knn__5,3,eeg,knn,5,sisyphus,127,0.0,0.0,0.0,1.0,ICA,tie,ICA
arousal,arousal__eeg__knn__5,3,eeg,knn,5,stack,70,0.0,0.0,0.0,1.0,no-ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,pick_place,35,6.541830569314503e-14,2.0650148258027912e-14,3.164135620181696e-13,1.0,no-ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_alone,12,5.567540317303258e-14,4.699312321587257e-19,3.6598502006768285e-13,0.9999999999999999,ICA,tie,ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_interaction,87,0.11409583317428319,0.03033007754535355,0.82450428021896,0.8110444961211415,no-ICA,no-ICA,no-ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_observation,53,3.3315989183772386e-14,8.43769498715119e-15,3.771427614651657e-13,0.9999999999999998,ICA,tie,ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,sisyphus,120,1.505198508512893e-14,3.497202527569243e-15,3.205213872092827e-13,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,stack,64,4.0551329655302837e-14,2.0650148258027912e-14,2.0883295093199195e-13,0.9999999999999998,ICA,tie,no-ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,pick_place,35,0.0,0.0,0.0,1.0,no-ICA,tie,ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_alone,12,0.0,0.0,0.0,1.0,no-ICA,tie,no-ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_interaction,87,0.00821018062397373,0.0,0.1428571428571429,0.9740836784672382,no-ICA,tie,ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_observation,53,0.0,0.0,0.0,1.0,no-ICA,tie,no-ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,sisyphus,120,0.0,0.0,0.0,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,stack,64,0.0,0.0,0.0,0.9999999999999998,no-ICA,tie,ICA
valence,valence__eeg__svm__20,3,eeg,svm,20,pick_place,41,3.4526582135324534e-14,2.808864252301646e-14,1.482147737874584e-13,0.9999999999999993,ICA,tie,ICA
