ica_mode,participant,target,modality,classifier,feature_count_request,ica_feature_count_resolved,ica_folds,ica_balanced_accuracy_mean,ica_balanced_accuracy_sd,ica_balanced_accuracy_median,ica_balanced_accuracy_min,ica_balanced_accuracy_max,ica_accuracy_mean,ica_precision_mean,ica_recall_mean,ica_f1_mean,no_ica_mode,no_ica_feature_count_resolved,no_ica_folds,no_ica_balanced_accuracy_mean,no_ica_balanced_accuracy_sd,no_ica_balanced_accuracy_median,no_ica_balanced_accuracy_min,no_ica_balanced_accuracy_max,no_ica_accuracy_mean,no_ica_precision_mean,no_ica_recall_mean,no_ica_f1_mean,balanced_accuracy_delta,accuracy_delta,analysis_row,is_ica_best_all,is_no_ica_best_all,is_ica_best_eeg_containing,is_no_ica_best_eeg_containing
individual,P01,arousal,eeg,gnb,10,10,5,0.4463980463980464,0.066347402011127,0.4365079365079365,0.3809523809523809,0.5512820512820513,0.483399209486166,0.5542589763177999,0.6483516483516484,0.5874151973786862,individual,10,5,0.4734432234432234,0.0698149557231558,0.4401709401709401,0.4007936507936508,0.5726495726495726,0.5106719367588932,0.5665178096757044,0.6802197802197802,0.6038201368523949,0.027045177045177005,0.027272727272727226,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,gnb,20,20,5,0.4487179487179487,0.0912795393428903,0.4017094017094017,0.3809523809523809,0.6025641025641025,0.483399209486166,0.5668347338935573,0.6307692307692307,0.5855681209169171,individual,20,5,0.4834554334554334,0.0532652598834172,0.5079365079365079,0.4007936507936508,0.5341880341880342,0.5189723320158103,0.5795848595848596,0.6780219780219781,0.6135352348824835,0.034737484737484725,0.035573122529644285,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,gnb,5,5,5,0.4413308913308914,0.0879535201172935,0.4786324786324786,0.3055555555555556,0.5128205128205128,0.4830039525691699,0.5580820830356434,0.6604395604395604,0.6011416712278781,individual,5,5,0.4855311355311354,0.0984226583094799,0.4786324786324786,0.3611111111111111,0.6349206349206349,0.5268774703557313,0.5887936753648828,0.7043956043956043,0.6378284072249589,0.04420024420024404,0.0438735177865614,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,gnb,all,all,5,0.5021978021978022,0.0890372287138476,0.5341880341880342,0.3452380952380952,0.5674603174603174,0.5193675889328063,0.6012876012876014,0.6043956043956044,0.5821859860569538,individual,all,5,0.472039072039072,0.1345008843599232,0.4786324786324786,0.2896825396825396,0.6388888888888888,0.5007905138339921,0.5855607155142759,0.632967032967033,0.5940932418406182,-0.030158730158730163,-0.018577075098814233,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,knn,10,10,5,0.4587912087912087,0.09950129912158,0.4786324786324786,0.3214285714285714,0.5897435897435898,0.5102766798418973,0.5729790161678707,0.7175824175824176,0.6336666666666667,individual,10,5,0.452991452991453,0.0651704040148028,0.4572649572649572,0.3452380952380952,0.5170940170940171,0.4920948616600791,0.5559090909090909,0.6615384615384616,0.5978683385579938,-0.005799755799755724,-0.018181818181818188,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,knn,20,20,5,0.4641636141636142,0.0900223466334897,0.4401709401709401,0.3611111111111111,0.5897435897435898,0.5193675889328063,0.5716339869281046,0.7505494505494505,0.6461534701857282,individual,20,5,0.492979242979243,0.0782185666424201,0.5170940170940171,0.376984126984127,0.5793650793650793,0.5450592885375494,0.593937908496732,0.7637362637362638,0.6655880271008192,0.028815628815628824,0.025691699604743046,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,knn,5,5,5,0.5031746031746032,0.0984356747160204,0.4880952380952381,0.3611111111111111,0.6068376068376069,0.5280632411067193,0.6009523809523809,0.6285714285714287,0.6135135924101441,individual,5,5,0.4587912087912087,0.1224301096437208,0.4401709401709401,0.3055555555555556,0.5952380952380952,0.509090909090909,0.5716123642439432,0.7175824175824176,0.6339173155357806,-0.04438339438339445,-0.018972332015810278,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,knn,all,all,5,0.5149572649572649,0.0905040129973917,0.5341880341880342,0.376984126984127,0.5952380952380952,0.5719367588932807,0.606639146886825,0.8076923076923077,0.6922311827956988,individual,all,5,0.5414529914529915,0.0675756890564605,0.5341880341880342,0.4484126984126984,0.6282051282051282,0.598814229249012,0.6246783625730994,0.8384615384615385,0.7134931068190246,0.026495726495726624,0.026877470355731292,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,svm,10,10,5,0.4548229548229548,0.1257609030470863,0.5,0.3034188034188034,0.5897435897435898,0.509090909090909,0.557242705694718,0.7318681318681318,0.6273593073593073,individual,10,5,0.4675824175824176,0.0940533602729605,0.5,0.3418803418803419,0.5555555555555556,0.5181818181818182,0.5695371295371295,0.7351648351648352,0.6327365535073446,0.01275946275946277,0.00909090909090915,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,svm,20,20,5,0.5448717948717949,0.1053095857295009,0.5,0.4166666666666666,0.6623931623931625,0.5996047430830039,0.6279703991660514,0.823076923076923,0.7034987697056663,individual,20,5,0.4297924297924297,0.0915415078833747,0.3968253968253968,0.3418803418803419,0.5512820512820513,0.4723320158102767,0.5366225803182325,0.6373626373626374,0.5752682390613425,-0.11507936507936523,-0.12727272727272726,matched_configuration,False,False,False,False
