task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,general LOSO,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5061097519472458,balanced_accuracy,0.596617066840697,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5070748255596685,balanced_accuracy,0.5955820537565006,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5041563738105775,balanced_accuracy,0.5802841958748293,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.510860398520819,balanced_accuracy,0.5266237173393113,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5155942686577805,balanced_accuracy,0.5324053404089575,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.510580376250959,balanced_accuracy,0.533860313441646,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,SVM,handcrafted EEG feature family,no-ICA,standard LOW<4 / HIGH>=4,feature-family diagnostic,0.705,balanced_accuracy,0.7066666666666667,accuracy,P36,paper_compact,frontal_central,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6803030303030303, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6576479076479077, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.7160894660894662, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.7518037518037518, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5339105339105338, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}]",5,{participant_lower}_no_ica,outputs/image_classification/feature_family_top5/best_per_participant_target.csv,nested-CV winner; representation diagnostic
classification,individual,arousal,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,optimized classifier search,0.7028571428571428,balanced_accuracy,0.7166666666666667,accuracy,P40,10,,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6307242465137202, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6599752586594693, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.569174538911381, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.598897885739991, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5777777777777777, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}}]",5,{participant_lower}_no_ica,outputs/image_classification/individual_optimized_top15/best_per_participant_target.csv,nested-CV winner; included in current standard-result comparison
classification,individual,arousal,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,optimized classifier search,0.6791708291708292,balanced_accuracy,0.6963768115942028,accuracy,P06,15,,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5964830376595083, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5800653594771242, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5646113146113145, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5623728123728124, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5026455026455027, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",5,{participant_lower}_no_ica,outputs/image_classification/individual_optimized_top15/best_per_participant_target.csv,nested-CV winner; included in current standard-result comparison
classification,individual,valence,eeg,SVM,handcrafted EEG feature family,no-ICA,standard LOW<4 / HIGH>=4,feature-family diagnostic,0.6703535353535353,balanced_accuracy,0.6766666666666666,accuracy,P36,hjorth,all_channels,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6138888888888889, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5824175824175825, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6258547008547009, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5920940170940171, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6408119658119659, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}]",5,{participant_lower}_no_ica,outputs/image_classification/feature_family_top5/best_per_participant_target.csv,nested-CV winner; representation diagnostic
