task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,general LOSO,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4956308508717786,balanced_accuracy,0.561656402833054,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5011995093205777,balanced_accuracy,0.5725056589488214,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4970522523663283,balanced_accuracy,0.5772999481308306,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5013434890843975,balanced_accuracy,0.4872758488643402,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5011374856170637,balanced_accuracy,0.5429122833963371,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4954714058378802,balanced_accuracy,0.5488351359965781,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4958992333582665,balanced_accuracy,0.5383565829185138,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4913213989425684,balanced_accuracy,0.5367980979344938,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5025348057746466,balanced_accuracy,0.5849662027007547,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5061097519472458,balanced_accuracy,0.596617066840697,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.500034725782219,balanced_accuracy,0.588164269250844,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4914782003296895,balanced_accuracy,0.5799350611503687,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5054366206420847,balanced_accuracy,0.5715757930241196,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5054366206420847,balanced_accuracy,0.5715757930241196,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4998047655755336,balanced_accuracy,0.5755449925557452,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5054366206420847,balanced_accuracy,0.5715757930241196,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4998207048673231,balanced_accuracy,0.5533948997377077,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4998207048673231,balanced_accuracy,0.5533948997377077,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4943718389390133,balanced_accuracy,0.5401828643122781,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4998207048673231,balanced_accuracy,0.5533948997377077,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5063756074175193,balanced_accuracy,0.6057543454340477,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
