condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
no-ICA,valence__eeg__svm__5,pick_place,all_selected,43,0.8611190155817653,1.3862126307370806,0.18604651162790697,0.051162790697674425,0.653364561506845,458.5084608336878
no-ICA,valence__eeg__svm__5,shape_sorter_alone,all_selected,15,0.342232682327465,0.33590232739167203,0.4,0.16000000000000003,0.6103237805106608,602.5395650239691
no-ICA,valence__eeg__svm__5,shape_sorter_interaction,all_selected,83,0.34917072388558285,0.22779854154985713,0.2289156626506024,0.0602409638554217,0.659253339681122,939.7153697076802
no-ICA,valence__eeg__svm__5,shape_sorter_observation,all_selected,63,0.7753098860415327,0.863900961990393,0.06349206349206349,0.02222222222222222,0.4898690915232783,433.4323678461505
no-ICA,valence__eeg__svm__5,sisyphus,all_selected,88,0.6088359103906098,0.891887198677207,0.375,0.08636363636363636,0.510930660079551,418.5828802081578
no-ICA,valence__eeg__svm__5,stack,all_selected,70,0.4108084725634983,0.4648059243354573,0.17142857142857143,0.04285714285714286,0.5810417058000585,420.1551563805799
no-ICA,valence__face__gnb__5,pick_place,all_selected,35,3.2484147855690906,1.7541072568357716,0.7714285714285715,0.2571428571428571,1.4006338332181143,8.894723534764424
no-ICA,valence__face__gnb__5,shape_sorter_alone,all_selected,14,4.295732042142062,1.0049432772638909,1.0,0.3285714285714287,0.9807571339711134,6.608908605061514
no-ICA,valence__face__gnb__5,shape_sorter_interaction,all_selected,74,3.9839836921043355,1.5295668468323336,1.0,0.2621621621621622,0.7963642745756889,18.83406629634556
no-ICA,valence__face__gnb__5,shape_sorter_observation,all_selected,54,1.8341926004879219,2.126055898077838,0.48148148148148145,0.15925925925925924,1.1565292095513962,8.486745341695762
no-ICA,valence__face__gnb__5,sisyphus,all_selected,47,3.9978621810140185,1.8733093692254914,0.8936170212765957,0.2553191489361702,1.0524399822358845,14.59573500795295
no-ICA,valence__face__gnb__5,stack,all_selected,64,1.472923101996919,2.3596865785929455,0.484375,0.15625,1.1926306306235577,27.135024117096926
no-ICA,valence__face__gnb__10,pick_place,all_selected,35,14.35255188384977,2.808930772431765,1.0,0.3971428571428572,2.423251144653836,17.826562696643496
no-ICA,valence__face__gnb__10,shape_sorter_alone,all_selected,14,12.128327895203201,1.6530678279257813,1.0,0.4500000000000001,1.9543387310200484,13.734996927258003
no-ICA,valence__face__gnb__10,shape_sorter_interaction,all_selected,74,8.916140465696113,2.6649632489674975,1.0,0.4527027027027027,1.9146317344075308,22.181717914473634
