target,model_id,model_rank,modality,classifier,feature_request,task,n_matched_windows,mean_abs_probability_difference,median_abs_probability_difference,maximum_abs_probability_difference,pearson_probability_correlation,lower_distance_condition,lower_outside_fraction_condition,lower_median_abs_z_condition
arousal,arousal__face__gnb__5,1,face,gnb,5,pick_place,20,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_alone,12,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_interaction,80,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_observation,104,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,1,face,gnb,5,sisyphus,95,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,1,face,gnb,5,stack,61,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,pick_place,20,4.1839673544340204e-15,0.0,4.141131881851834e-14,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_alone,12,6.957397620984314e-15,0.0,8.348877145181177e-14,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_interaction,80,4.68192379397131e-14,0.0,4.480860127387132e-13,0.9999999999999998,no-ICA,tie,no-ICA
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_observation,104,1.4221913577361356e-14,0.0,4.36206626375224e-13,0.9999999999999998,no-ICA,tie,ICA
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,sisyphus,95,0.8892448714202434,0.9996050806576748,1.0,0.017097025471150513,no-ICA,no-ICA,no-ICA
arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,stack,61,6.5917288135161484e-15,0.0,8.570921750106208e-14,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,pick_place,20,0.0,0.0,0.0,0.9999999999999998,ICA,tie,ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,shape_sorter_alone,12,0.0,0.0,0.0,1.0,ICA,tie,ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,shape_sorter_interaction,80,0.0,0.0,0.0,0.9999999999999998,no-ICA,tie,no-ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,shape_sorter_observation,104,0.0,0.0,0.0,1.0,ICA,tie,no-ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,sisyphus,95,0.15157894736842106,0.20000000000000007,0.4,-0.055274848489026855,no-ICA,no-ICA,no-ICA
arousal,arousal__multimodal__knn__all,2,multimodal,knn,all,stack,61,0.0,0.0,0.0,1.0,no-ICA,tie,no-ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,pick_place,25,2.0861090632706692e-14,1.765254609153999e-14,7.149836278586008e-14,1.0,no-ICA,tie,no-ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,shape_sorter_alone,23,2.2670271457182815e-14,1.7208456881689926e-14,6.09512440519211e-14,0.9999999999999998,ICA,tie,no-ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,shape_sorter_interaction,85,7.705078405372072e-14,5.88418203051333e-14,3.483879851273741e-13,0.9999999999999998,ICA,tie,ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,shape_sorter_observation,108,1.650017571135036e-14,1.27675647831893e-14,6.88338275267597e-14,1.0,no-ICA,tie,no-ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,sisyphus,107,0.1270435653519311,0.10363956092620796,0.41333139587678025,-0.027253263150465425,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__20,2,eeg,svm,20,stack,69,2.0264788237161643e-14,1.609823385706477e-14,7.294165271787278e-14,0.9999999999999997,no-ICA,tie,no-ICA
valence,valence__face__gnb__10,3,face,gnb,10,pick_place,20,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_alone,12,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_interaction,80,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_observation,104,0.0,0.0,0.0,0.9999999999999998,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,sisyphus,95,0.0,0.0,0.0,0.9999999999999998,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,stack,61,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,pick_place,20,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,shape_sorter_alone,12,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,shape_sorter_interaction,80,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,shape_sorter_observation,104,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,sisyphus,95,0.0,0.0,0.0,0.9999999999999998,tie,tie,tie
valence,valence__face__gnb__5,1,face,gnb,5,stack,61,0.0,0.0,0.0,1.0,tie,tie,tie
