participant,task,target,condition,n_valid_windows,rank1_model_label,rank1_mean_high_probability,rank1_median_high_probability,rank1_fraction_high_windows,rank1_task_verdict,rank2_model_label,rank2_mean_high_probability,rank2_median_high_probability,rank2_fraction_high_windows,rank2_task_verdict,rank3_model_label,rank3_mean_high_probability,rank3_median_high_probability,rank3_fraction_high_windows,rank3_task_verdict,consensus_median_probability,consensus_verdict,models_voting_HIGH,models_voting_LOW,unanimous_verdict,agreement_fraction,robot_rating,robot_rating_class,consensus_matches_rating,rank1_matches_rating,rank2_matches_rating,rank3_matches_rating,shift_warning,ica_no_ica_same_consensus_verdict
P15,pick_place,arousal,ICA,20,Face GNB Top-5,0.3522172524768127,0.17035609450803785,0.35,LOW,Multimodal KNN All,0.6599999999999999,0.6,0.9,HIGH,Multimodal GNB Top-20,0.8935993681940031,0.999998103423759,0.9,HIGH,0.6,HIGH,2,1,False,0.25,6.0,HIGH,True,False,True,True,ICA: R2,True
P15,pick_place,arousal,no-ICA,20,Face GNB Top-5,0.3522172524768127,0.17035609450803785,0.35,LOW,Multimodal KNN All,0.6599999999999999,0.6,0.9,HIGH,Multimodal GNB Top-20,0.8935993681940065,0.999998103423759,0.9,HIGH,0.6,HIGH,2,1,False,0.25,6.0,HIGH,True,False,True,True,no-ICA: R2,True
P15,shape_sorter_alone,arousal,ICA,12,Face GNB Top-5,0.5274723789148663,0.617906069851776,0.5833333333333334,HIGH,Multimodal KNN All,0.7666666666666667,0.8,1.0,HIGH,Multimodal GNB Top-20,0.9764590357732622,0.9999999999987138,1.0,HIGH,0.8,HIGH,3,0,True,0.5833333333333334,4.0,HIGH,True,True,True,True,ICA: R2,True
P15,shape_sorter_alone,arousal,no-ICA,12,Face GNB Top-5,0.5274723789148663,0.617906069851776,0.5833333333333334,HIGH,Multimodal KNN All,0.7666666666666667,0.8,1.0,HIGH,Multimodal GNB Top-20,0.9764590357732691,0.9999999999987138,1.0,HIGH,0.8,HIGH,3,0,True,0.5833333333333334,4.0,HIGH,True,True,True,True,no-ICA: R2,True
P15,shape_sorter_interaction,arousal,ICA,80,Face GNB Top-5,0.7859706449588336,0.9614424023910964,0.825,HIGH,Multimodal KNN All,0.8150000000000001,0.8,1.0,HIGH,Multimodal GNB Top-20,0.8663788825466809,0.999826249472423,0.8625,HIGH,0.9614424023910964,HIGH,3,0,True,0.75,6.0,HIGH,True,True,True,True,ICA: R2,True
P15,shape_sorter_interaction,arousal,no-ICA,80,Face GNB Top-5,0.7859706449588336,0.9614424023910964,0.825,HIGH,Multimodal KNN All,0.8150000000000001,0.8,1.0,HIGH,Multimodal GNB Top-20,0.8663788825466975,0.999826249472423,0.8625,HIGH,0.9614424023910964,HIGH,3,0,True,0.75,6.0,HIGH,True,True,True,True,no-ICA: R2,True
P15,shape_sorter_observation,arousal,ICA,104,Face GNB Top-5,0.7559751595405785,0.9599224568776215,0.7596153846153846,HIGH,Multimodal KNN All,0.7442307692307693,0.8,0.8653846153846154,HIGH,Multimodal GNB Top-20,0.9015620007999435,0.9995605305841853,0.9423076923076923,HIGH,0.9599224568776215,HIGH,3,0,True,0.6730769230769231,6.0,HIGH,True,True,True,True,ICA: R2,True
P15,shape_sorter_observation,arousal,no-ICA,104,Face GNB Top-5,0.7559751595405785,0.9599224568776215,0.7596153846153846,HIGH,Multimodal KNN All,0.7442307692307693,0.8,0.8653846153846154,HIGH,Multimodal GNB Top-20,0.9015620007999321,0.9995605305841853,0.9423076923076923,HIGH,0.9599224568776215,HIGH,3,0,True,0.6730769230769231,6.0,HIGH,True,True,True,True,no-ICA: R2,True
P15,sisyphus,arousal,ICA,95,Face GNB Top-5,0.6656914985240718,0.8757557002859646,0.7052631578947368,HIGH,Multimodal KNN All,0.6694736842105263,0.6,1.0,HIGH,Multimodal GNB Top-20,1.627823109142988e-07,0.0,0.0,LOW,0.6,HIGH,2,1,False,0.0,6.0,HIGH,True,True,True,False,"ICA: R2, R3",True
P15,sisyphus,arousal,no-ICA,95,Face GNB Top-5,0.6656914985240718,0.8757557002859646,0.7052631578947368,HIGH,Multimodal KNN All,0.7452631578947368,0.8,0.9368421052631579,HIGH,Multimodal GNB Top-20,0.8892450342025546,0.9996050806576748,0.8947368421052632,HIGH,0.8757557002859646,HIGH,3,0,True,0.6526315789473685,6.0,HIGH,True,True,True,True,no-ICA: R2,True
P15,stack,arousal,ICA,61,Face GNB Top-5,0.811438745720732,0.9751474648256124,0.8524590163934426,HIGH,Multimodal KNN All,0.7704918032786885,0.8,0.9016393442622951,HIGH,Multimodal GNB Top-20,0.9415921626809464,0.999796998012484,0.9508196721311475,HIGH,0.9751474648256124,HIGH,3,0,True,0.7540983606557377,7.0,HIGH,True,True,True,True,ICA: R2,True
P15,stack,arousal,no-ICA,61,Face GNB Top-5,0.811438745720732,0.9751474648256124,0.8524590163934426,HIGH,Multimodal KNN All,0.7704918032786885,0.8,0.9016393442622951,HIGH,Multimodal GNB Top-20,0.9415921626809491,0.999796998012484,0.9508196721311475,HIGH,0.9751474648256124,HIGH,3,0,True,0.7540983606557377,7.0,HIGH,True,True,True,True,no-ICA: R2,True
P15,pick_place,valence,ICA,20,Face GNB Top-5,0.16032245451439878,0.06330203976162325,0.1,LOW,Eeg SVM Top-20,0.7464155758314868,0.7525014423398638,0.88,HIGH,Face GNB Top-10,0.03955208056073466,2.0110391176238952e-05,0.0,LOW,0.06330203976162325,LOW,1,2,False,0.32,5.0,HIGH,False,False,True,False,None,True
P15,pick_place,valence,no-ICA,20,Face GNB Top-5,0.16032245451439878,0.06330203976162325,0.1,LOW,Eeg SVM Top-20,0.7464155758315069,0.7525014423399353,0.88,HIGH,Face GNB Top-10,0.03955208056073466,2.0110391176238952e-05,0.0,LOW,0.06330203976162325,LOW,1,2,False,0.32,5.0,HIGH,False,False,True,False,None,True
