participant,task,event_type,event_label,event_code,event_occurrence,task_relative_time_s,source_file,source_time,source_timebase,source_controller_type,source_waypoint_stage,status_anchor_vision_time_s,alignment_method,alignment_qc,plot_color,plot_linestyle
P19,shape_sorter_interaction,force_threshold_release,Force threshold / release,15,1,21.944,data/P19_2026-06-11/Shape Sorter Interaction/robot_metrics_16-09-27_HRI_INTERACTION.csv,12.94,robot_metrics.Experiment_Time (s),TorqueImpedance,CIRCLE_HUMAN_PULL,16.59,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#d62728,-
P19,shape_sorter_interaction,force_threshold_release,Force threshold / release,25,1,35.72,data/P19_2026-06-11/Shape Sorter Interaction/robot_metrics_16-09-27_HRI_INTERACTION.csv,21.803,robot_metrics.Experiment_Time (s),TorqueImpedance,RECTANGLE_HUMAN_PULL,30.362,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#d62728,-
P19,shape_sorter_interaction,force_threshold_release,Force threshold / release,35,1,50.44,data/P19_2026-06-11/Shape Sorter Interaction/robot_metrics_16-09-27_HRI_INTERACTION.csv,31.798,robot_metrics.Experiment_Time (s),TorqueImpedance,TRIANGLE_HUMAN_PULL,45.069,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#d62728,-
P19,shape_sorter_interaction,force_threshold_release,Force threshold / release,45,1,70.528,data/P19_2026-06-11/Shape Sorter Interaction/robot_metrics_16-09-27_HRI_INTERACTION.csv,47.02,robot_metrics.Experiment_Time (s),TorqueImpedance,SQUARE_HUMAN_PULL,65.144,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#d62728,-
P19,sisyphus,task_start,Task start,1,1,8.144,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,0.0,robot_metrics.Experiment_Time (s),Action/Event,START,0.884,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#2f4f4f,:
P19,sisyphus,cycle_start,Cycle start,12,1,12.04,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,2.226,robot_metrics.Experiment_Time (s),TorqueImpedance,PRE_PICK,4.751,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#1f77b4,-
P19,sisyphus,release,Release,21,1,23.1,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,10.92,robot_metrics.Experiment_Time (s),Action/Event,RELEASE,15.823,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#2ca02c,--
P19,sisyphus,cycle_start,Cycle start,12,2,28.672,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,14.144,robot_metrics.Experiment_Time (s),TorqueImpedance,PRE_PICK,21.392,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#1f77b4,-
P19,sisyphus,hri_collision_pause,HRI collision / pause,50,1,39.08,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,22.349,robot_metrics.Experiment_Time (s),TorqueImpedance,HRI_COLLISION_SPIKE,31.796,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#d62728,-
P19,sisyphus,release,Release,21,2,41.676,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,24.745,robot_metrics.Experiment_Time (s),Action/Event,RELEASE,34.397,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#2ca02c,--
P19,sisyphus,cycle_start,Cycle start,12,3,47.26,data/P19_2026-06-11/Sisyphus/robot_metrics_16-06-07_SISYPHUS_INTERACTION.csv,28.033,robot_metrics.Experiment_Time (s),TorqueImpedance,PRE_PICK,40.0,direct_retained_status_anchor_eeg_time,PASS; robot/vision Status alignment=status_constant_offset; RMSE=0.011s; max residual=0.020s,#1f77b4,-
