participant,target,task,task_label,feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_overall_median,image_overall_iqr,image_min,image_max,robot_median,robot_iqr,robot_min,robot_max,robot_z_median_abs,robot_z_p95_abs,robot_z_max_abs,robot_z_pct_abs_gt_2,robot_z_pct_abs_gt_3,robot_z_pct_abs_gt_5,robot_pct_outside_image_min_max,iqr_overlap,distance_median_contribution,distance_p95_contribution,distance_largest_contributor_pct,transferability_category,shift_indicator_count
P19,valence,pick_place,Pick and Place,eeg_se__PO8,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,4.286688362122769,0.34030216504695954,3.555258305383176,4.76267914443993,3.236022881369477,0.6754566142270244,1.3562217637547818,4.191264465179826,4.121593731890076,8.450399230329923,11.591354313711069,92.85714285714286,71.42857142857143,30.952380952380953,76.19047619047619,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,pick_place,Pick and Place,eeg_hc__PO8,1.974150724765359,0.2665160164732536,1.8726584094868293,0.163247229991615,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.7344465683815518,0.6406854509754276,1.9279378830231968,16.5822996261246,4.344504911051747,12.066792278430981,77.58450080524868,80.95238095238095,71.42857142857143,38.095238095238095,59.523809523809526,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,pick_place,Pick and Place,eeg_mf_hz__Fz,9.0,5.0,11.0,3.0,10.0,3.25,4.0,21.0,3.0,1.0,2.0,3.0,1.9991539434875751,2.260196895847215,2.260196895847215,42.857142857142854,0.0,0.0,100.0,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,2
P19,valence,pick_place,Pick and Place,eeg_mf_hz__PO8,6.0,2.0,7.0,2.0,6.0,2.0,3.0,12.0,3.0,0.0,2.0,7.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,88.09523809523809,0.0,0.0,19.047619047619047,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,2
P19,valence,pick_place,Pick and Place,eeg_bp_delta__Fz,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,12.13778562384432,8.852124210642575,2.196954279885814,43.87831178778889,190.42488980026818,176.21017756246715,56.54273186526272,852611.8317311933,22.36321809253795,149.71561740508088,108104.1500293498,100.0,100.0,100.0,100.0,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,shape_sorter_observation,Shape Sorter Observation,eeg_se__PO8,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,4.286688362122769,0.34030216504695954,3.555258305383176,4.76267914443993,3.2854239266005,0.9122998041899764,1.3370574948355656,4.668176956949639,3.925288932988959,7.133930809506183,11.667507316925487,74.57627118644068,59.32203389830508,33.89830508474576,61.016949152542374,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,shape_sorter_observation,Shape Sorter Observation,eeg_hc__PO8,1.974150724765359,0.2665160164732536,1.8726584094868293,0.163247229991615,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.879312960581303,0.8830831414496165,1.7730808340576454,15.043178459200872,5.110689670932941,10.868151702684337,69.44423332290889,81.35593220338984,71.1864406779661,52.54237288135594,55.932203389830505,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__Fz,9.0,5.0,11.0,3.0,10.0,3.25,4.0,21.0,2.0,1.0,2.0,5.0,2.260196895847215,2.260196895847215,2.260196895847215,55.932203389830505,0.0,0.0,94.91525423728814,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,3
P19,valence,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__PO8,6.0,2.0,7.0,2.0,6.0,2.0,3.0,12.0,3.0,1.0,2.0,9.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,77.96610169491525,0.0,0.0,30.508474576271187,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,3
P19,valence,shape_sorter_observation,Shape Sorter Observation,eeg_bp_delta__Fz,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,12.13778562384432,8.852124210642575,2.196954279885814,43.87831178778889,198.68498648830084,244.10159734754754,36.60411394904252,811386.792549128,23.41054750274648,102.46934885477354,102877.06884579294,100.0,98.30508474576271,93.22033898305084,96.61016949152543,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
