participant,target,task,task_label,window_count,post_task_valence_rating,post_task_arousal_rating,score_first,score_last,score_median,score_iqr,score_mean,pct_score_lt_0_05,pct_score_gt_0_95,selected_feature_median_abs_z_median,selected_feature_p95_abs_z_max,selected_feature_pct_abs_z_gt_3_mean,nearest_image_distance_median,mean_11_image_distance_median,pct_nearest_distance_above_image_reference_p95,pct_nearest_distance_above_image_reference_max
P19,valence,pick_place,Pick and Place,42,5.0,5.0,0.0,0.0,3.794167070993445e-76,4.478338488474022e-37,9.738094940818702e-10,100.0,0.0,4.121593731890076,149.71561740508088,48.57142857142857,19.014741914867088,20.940478673806,100.0,97.61904761904762
P19,valence,shape_sorter_observation,Shape Sorter Observation,59,5.0,5.0,0.0,9.754066982130282e-23,1.3413677093104348e-85,2.121814604660092e-25,0.0005125361420520607,100.0,0.0,3.925288932988959,102.46934885477354,45.762711864406775,20.08870131203859,22.048663487744186,98.30508474576271,93.22033898305084
P19,valence,stack,Stack,68,4.0,4.0,0.0,2.807624844931375e-138,2.4253016219093443e-153,4.549604174974186e-80,1.3726981346458067e-11,100.0,0.0,3.088481658389267,127.84128994712744,42.64705882352941,29.31210719998345,31.10627996782217,100.0,100.0
P19,valence,sisyphus,Sisyphus,91,4.0,5.0,0.0,5.786787260172904e-132,9.058187304593453e-172,1.573377677682847e-51,0.00022666975197427894,100.0,0.0,2.260196895847215,104.1031102860436,32.527472527472526,30.43800390085436,32.45175493882703,100.0,98.9010989010989
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,77,6.0,6.0,0.0,1.726490832700485e-21,0.859788725554845,0.7483200162446959,0.6221646281953592,24.675324675324674,25.97402597402597,1.1712743198611706,9.89221267854911,7.792207792207792,1.1989392555901255,1.8034827393713067,45.45454545454545,16.883116883116884
P19,arousal,pick_place,Pick and Place,42,5.0,5.0,0.5488484407939087,0.910997970049008,0.9143709941602203,0.0031090703703723355,0.8900430559627058,0.0,0.0,2.214633146021276,22.80561274356423,42.142857142857146,9.51353882885136,11.621498510570598,100.0,100.0
P19,arousal,shape_sorter_observation,Shape Sorter Observation,59,5.0,5.0,0.6396871328005972,0.9128004543841832,0.9141151456153508,0.0024043443906689443,0.8883000976008921,0.0,0.0,2.486410907368266,20.919422134019428,41.86440677966102,12.758223167571916,14.729822071318734,98.30508474576271,94.91525423728814
P19,arousal,stack,Stack,68,4.0,4.0,0.5538640898623172,0.8262800249375357,0.9129597019136828,0.0014842437346659354,0.8739073411219543,0.0,0.0,2.6973427502049248,24.941661279000268,42.352941176470594,14.188659151662932,16.045345594183757,100.0,100.0
P19,arousal,sisyphus,Sisyphus,91,4.0,5.0,0.5550698831026609,0.5588656228667941,0.911523735865244,0.08883249908465651,0.8516904366013022,0.0,0.0,2.3177784265695918,21.816395323564834,42.41758241758242,14.494705174726208,16.56091033946473,100.0,100.0
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,6.0,6.0,0.5493505212916424,0.5449600563592549,0.2637861853604502,0.35582738266997704,0.35904815362250303,0.0,0.0,1.210311110653829,9.913076424078364,16.753246753246753,5.44992282420599,6.240180310828243,97.40259740259741,89.6103896103896
