participant,representation,target,task,task_label,window_count,nearest_image_distance_median,pct_above_image_reference_p95,pct_beyond_image_reference_max,selected_feature_abs_z_median,selected_feature_abs_z_p95,high_score_mean,high_score_median,pct_predicted_high
P19,A_existing_robot_features,valence,pick_place,Pick and Place,42,19.014741914867088,100.0,97.61904761904762,3.706174734488399,122.16090536906087,9.7380949408187e-10,3.794167070993445e-76,0.0
P19,A_existing_robot_features,valence,shape_sorter_observation,Shape Sorter Observation,59,20.08870131203859,98.30508474576271,93.22033898305084,3.5771534743539135,83.93312568078778,0.0005125361420520642,1.3413677093104348e-85,0.0
P19,A_existing_robot_features,valence,stack,Stack,68,29.31210719998345,100.0,100.0,2.924353613006308,103.93706965657435,1.3726981346458069e-11,2.425301621909344e-153,0.0
P19,A_existing_robot_features,valence,sisyphus,Sisyphus,91,30.43800390085436,100.0,98.9010989010989,2.1890818184619762,84.0901009478554,0.00022666975197427919,9.058187304593451e-172,0.0
P19,A_existing_robot_features,valence,shape_sorter_interaction,Shape Sorter Interaction,77,1.1989392555901255,45.45454545454545,16.883116883116884,1.0820208144578003,8.36580952200873,0.6221646281953592,0.859788725554845,66.23376623376623
P19,A_existing_robot_features,arousal,pick_place,Pick and Place,42,9.51353882885136,100.0,100.0,2.5434536496961577,18.91202410366435,0.8900430559627058,0.9143709941602203,100.0
P19,A_existing_robot_features,arousal,shape_sorter_observation,Shape Sorter Observation,59,12.758223167571916,98.30508474576271,94.91525423728814,2.610365912829849,16.389009978457402,0.8883000976008921,0.9141151456153509,98.30508474576271
P19,A_existing_robot_features,arousal,stack,Stack,68,14.188659151662932,100.0,100.0,2.537783522090691,18.655685189937973,0.8739073411219543,0.9129597019136828,100.0
P19,A_existing_robot_features,arousal,sisyphus,Sisyphus,91,14.494705174726208,100.0,100.0,2.359170347556544,17.092531217586792,0.8516904366013022,0.9115237358652439,98.9010989010989
P19,A_existing_robot_features,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,5.44992282420599,97.40259740259741,89.6103896103896,1.281289524612001,9.438504737293943,0.3590481536225031,0.2637861853604502,27.27272727272727
P19,C0_reproducible_harmonized_no_ICA,valence,pick_place,Pick and Place,42,0.7880649645032822,21.428571428571427,14.285714285714285,0.8050136142835886,10.5227494045345,0.6543346573512655,0.8845977960225947,71.42857142857143
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_observation,Shape Sorter Observation,59,0.9151303946030687,18.64406779661017,6.779661016949152,0.7960297521679911,4.988702726182926,0.5268120287529766,0.6326191052958737,55.932203389830505
P19,C0_reproducible_harmonized_no_ICA,valence,stack,Stack,68,0.9935206904161722,30.88235294117647,7.352941176470589,0.9814311543638564,4.30007063522334,0.43609019573312013,0.399976335961074,39.705882352941174
P19,C0_reproducible_harmonized_no_ICA,valence,sisyphus,Sisyphus,91,1.1431732822389038,37.362637362637365,8.791208791208792,1.178512051797515,9.472667304384544,0.360571595673817,0.1460178956855115,35.16483516483517
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_interaction,Shape Sorter Interaction,77,1.1164458363360352,36.36363636363637,10.38961038961039,1.3779559685488552,5.073058132051023,0.22961639220908597,0.0068818034634314336,22.07792207792208
P19,C0_reproducible_harmonized_no_ICA,arousal,pick_place,Pick and Place,42,2.307189510224652,40.476190476190474,23.809523809523807,0.7046848561797727,10.528852810203452,0.32435381412156633,0.2628763849670288,19.047619047619047
P19,C0_reproducible_harmonized_no_ICA,arousal,shape_sorter_observation,Shape Sorter Observation,59,2.2384294153227677,32.20338983050847,20.33898305084746,0.8619398020843152,4.7309766571951,0.4320778416057374,0.3998218722067847,35.59322033898305
P19,C0_reproducible_harmonized_no_ICA,arousal,stack,Stack,68,3.035650018079315,67.64705882352942,41.17647058823529,0.9902551145173732,4.266874640503582,0.3252123943412992,0.26575677752324534,19.11764705882353
P19,C0_reproducible_harmonized_no_ICA,arousal,sisyphus,Sisyphus,91,5.185457999342372,94.5054945054945,82.41758241758241,0.9466554353664707,8.899227581220433,0.28159989861658513,0.25226745521661326,12.087912087912088
P19,C0_reproducible_harmonized_no_ICA,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,5.4162458040511146,98.7012987012987,89.6103896103896,1.127960196481768,8.689375987530365,0.37037498565762017,0.27162531697419273,28.57142857142857
