participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P27,pick_place,1,pick_place_s1_0.000,0.0,2.0,no-ICA,valence__eeg__svm__all,42961.16175899381,59,0.49166666666666664,41000.32438572155,2.2373723534978813
P27,pick_place,1,pick_place_s1_1.000,1.0,3.0,no-ICA,valence__eeg__svm__all,573.7460978480761,61,0.5083333333333333,521.4275724472685,2.488885527139961
P27,pick_place,1,pick_place_s1_10.000,10.0,12.0,no-ICA,valence__eeg__svm__all,12.91468877317507,8,0.06666666666666667,4.0839468336791835,0.7997435609984082
P27,pick_place,1,pick_place_s1_11.000,11.0,13.0,no-ICA,valence__eeg__svm__all,10.372848738172246,11,0.09166666666666666,3.2202986775807183,0.9722758012737663
P27,pick_place,1,pick_place_s1_12.000,12.0,14.0,no-ICA,valence__eeg__svm__all,13.33893198519309,11,0.09166666666666666,4.271537820373765,0.9222557825397032
P27,pick_place,1,pick_place_s1_13.000,13.0,15.0,no-ICA,valence__eeg__svm__all,13.61100553184792,7,0.058333333333333334,3.988204921402542,0.8260300216765231
P27,pick_place,1,pick_place_s1_14.000,14.0,16.0,no-ICA,valence__eeg__svm__all,12.466245800939499,4,0.03333333333333333,3.795503874614261,0.8210422268827968
P27,pick_place,1,pick_place_s1_15.000,15.0,17.0,no-ICA,valence__eeg__svm__all,11.510113526824702,5,0.041666666666666664,2.708841652369803,0.8096155140305852
P27,pick_place,1,pick_place_s1_16.000,16.0,18.0,no-ICA,valence__eeg__svm__all,12.08053974108846,5,0.041666666666666664,4.539872287454091,0.7601736497484267
P27,pick_place,1,pick_place_s1_17.000,17.0,19.0,no-ICA,valence__eeg__svm__all,17.00409146822051,4,0.03333333333333333,11.132495894624023,0.8545477373604731
P27,pick_place,1,pick_place_s1_18.000,18.0,20.0,no-ICA,valence__eeg__svm__all,17.809602494164295,5,0.041666666666666664,11.414374813021501,0.8970555614259235
P27,pick_place,1,pick_place_s1_19.000,19.0,21.0,no-ICA,valence__eeg__svm__all,12.275491483657968,5,0.041666666666666664,3.8450469682152786,0.7067675107057252
P27,pick_place,1,pick_place_s1_2.000,2.0,4.0,no-ICA,valence__eeg__svm__all,30.216726263384512,16,0.13333333333333333,14.415707899570247,1.0083252797124067
P27,pick_place,1,pick_place_s1_20.000,20.0,22.0,no-ICA,valence__eeg__svm__all,10.367869497846746,3,0.025,3.780975054416739,0.6809119642803074
P27,pick_place,1,pick_place_s1_21.000,21.0,23.0,no-ICA,valence__eeg__svm__all,10.5660895855549,10,0.08333333333333333,2.6515665110164077,0.7999695499114583
P27,pick_place,1,pick_place_s1_22.000,22.0,24.0,no-ICA,valence__eeg__svm__all,14.106374942961663,13,0.10833333333333334,4.378774859760558,0.933687118333862
P27,pick_place,1,pick_place_s1_23.000,23.0,25.0,no-ICA,valence__eeg__svm__all,12.682063884853969,15,0.125,2.8814325663907696,0.9494466751940822
P27,pick_place,1,pick_place_s1_24.000,24.0,26.0,no-ICA,valence__eeg__svm__all,10.475493364551884,6,0.05,2.995562918979999,0.8610776177951851
P27,pick_place,1,pick_place_s1_25.000,25.0,27.0,no-ICA,valence__eeg__svm__all,12.599014038180965,12,0.1,3.4158747682289925,0.8984295638613249
P27,pick_place,1,pick_place_s1_26.000,26.0,28.0,no-ICA,valence__eeg__svm__all,14.410231636947811,11,0.09166666666666666,6.137448101417801,0.965748799361994
P27,pick_place,1,pick_place_s1_27.000,27.0,29.0,no-ICA,valence__eeg__svm__all,11.391664910536168,5,0.041666666666666664,4.148614988812112,0.7892648451028124
P27,pick_place,1,pick_place_s1_28.000,28.0,30.0,no-ICA,valence__eeg__svm__all,8.61063578272739,2,0.016666666666666666,2.267703097448341,0.6830113211208572
P27,pick_place,1,pick_place_s1_29.000,29.0,31.0,no-ICA,valence__eeg__svm__all,10.951669050780733,3,0.025,2.5914492767520305,0.760516992664171
P27,pick_place,1,pick_place_s1_3.000,3.0,5.0,no-ICA,valence__eeg__svm__all,12.113933215773969,4,0.03333333333333333,4.503762948123875,0.6852813314239106
P27,pick_place,1,pick_place_s1_30.000,30.0,32.0,no-ICA,valence__eeg__svm__all,10.678886445303254,2,0.016666666666666666,4.073609061773147,0.6610621223345761
P27,pick_place,1,pick_place_s1_31.000,31.0,33.0,no-ICA,valence__eeg__svm__all,9.98251710381744,2,0.016666666666666666,2.194507428447501,0.7145070376963114
P27,pick_place,1,pick_place_s1_32.000,32.0,34.0,no-ICA,valence__eeg__svm__all,11.111950865865794,7,0.058333333333333334,2.347228160222675,0.8115127128396379
P27,pick_place,1,pick_place_s1_33.000,33.0,35.0,no-ICA,valence__eeg__svm__all,12.635870921872604,3,0.025,5.352273609908304,0.7179429130540596
P27,pick_place,1,pick_place_s1_34.000,34.0,36.0,no-ICA,valence__eeg__svm__all,13.236576777474722,4,0.03333333333333333,4.908635079051054,0.8306063803290014
P27,pick_place,1,pick_place_s1_35.000,35.0,37.0,no-ICA,valence__eeg__svm__all,11.37525408112549,4,0.03333333333333333,3.375647465892672,0.8827329900749027
P27,pick_place,1,pick_place_s1_36.000,36.0,38.0,no-ICA,valence__eeg__svm__all,14.433404493587016,8,0.06666666666666667,4.532840912838486,0.8158028459325082
P27,pick_place,1,pick_place_s1_37.000,37.0,39.0,no-ICA,valence__eeg__svm__all,11.673636035668558,4,0.03333333333333333,3.4043103592103647,0.7043337027907269
P27,pick_place,1,pick_place_s1_38.000,38.0,40.0,no-ICA,valence__eeg__svm__all,11.767970020078804,4,0.03333333333333333,4.612133547411348,0.6602381893309364
P27,pick_place,1,pick_place_s1_39.000,39.0,41.0,no-ICA,valence__eeg__svm__all,44.02856359890787,14,0.11666666666666667,28.342513660498366,0.9771574841750195
P27,pick_place,1,pick_place_s1_4.000,4.0,6.0,no-ICA,valence__eeg__svm__all,11.341430509059629,1,0.008333333333333333,3.3030110686397203,0.7537194051023366
P27,pick_place,1,pick_place_s1_40.000,40.0,42.0,no-ICA,valence__eeg__svm__all,16.51833742053728,12,0.1,7.513742298681199,0.862980096479739
P27,pick_place,1,pick_place_s1_5.000,5.0,7.0,no-ICA,valence__eeg__svm__all,10.442220614441606,1,0.008333333333333333,2.811507015296844,0.6392504669092431
P27,pick_place,1,pick_place_s1_6.000,6.0,8.0,no-ICA,valence__eeg__svm__all,12.581917384710401,4,0.03333333333333333,3.933950111310799,0.8394443370320338
P27,pick_place,1,pick_place_s1_7.000,7.0,9.0,no-ICA,valence__eeg__svm__all,11.852277956957673,5,0.041666666666666664,2.9753193236614486,0.8507923151514668
P27,pick_place,1,pick_place_s1_8.000,8.0,10.0,no-ICA,valence__eeg__svm__all,11.192884303829496,9,0.075,2.5724072754477847,0.6996586801474927
P27,pick_place,1,pick_place_s1_9.000,9.0,11.0,no-ICA,valence__eeg__svm__all,11.64662228606102,2,0.016666666666666666,4.60208673965213,0.7364963282761638
P27,shape_sorter_alone,1,shape_sorter_alone_s1_0.000,0.0,2.0,no-ICA,valence__eeg__svm__all,39949.856500776885,60,0.5,37061.36667455041,2.790094242404222
P27,shape_sorter_alone,1,shape_sorter_alone_s1_1.000,1.0,3.0,no-ICA,valence__eeg__svm__all,542.0753809062546,58,0.48333333333333334,470.92252212935,1.8258856253468805
P27,shape_sorter_alone,1,shape_sorter_alone_s1_10.000,10.0,12.0,no-ICA,valence__eeg__svm__all,44.07693299651058,16,0.13333333333333333,32.77519237505783,0.9039218094857929
P27,shape_sorter_alone,1,shape_sorter_alone_s1_11.000,11.0,13.0,no-ICA,valence__eeg__svm__all,117.57697441497244,28,0.23333333333333334,65.98690734696649,1.4919385274148687
P27,shape_sorter_alone,1,shape_sorter_alone_s1_12.000,12.0,14.0,no-ICA,valence__eeg__svm__all,21.535119584263676,13,0.10833333333333334,8.93301214908015,1.0997860181658932
P27,shape_sorter_alone,1,shape_sorter_alone_s1_13.000,13.0,15.0,no-ICA,valence__eeg__svm__all,11.468174172766238,6,0.05,3.250241442855068,0.8194694904555093
P27,shape_sorter_alone,1,shape_sorter_alone_s1_14.000,14.0,16.0,no-ICA,valence__eeg__svm__all,12.584622738915025,2,0.016666666666666666,5.01063027016238,0.6931616123516617
P27,shape_sorter_alone,1,shape_sorter_alone_s1_15.000,15.0,17.0,no-ICA,valence__eeg__svm__all,12.461969638147693,2,0.016666666666666666,5.716918670492637,0.74574449117133
P27,shape_sorter_alone,1,shape_sorter_alone_s1_16.000,16.0,18.0,no-ICA,valence__eeg__svm__all,14.469697016572345,7,0.058333333333333334,5.751350515939659,0.8171883460604581
P27,shape_sorter_alone,1,shape_sorter_alone_s1_17.000,17.0,19.0,no-ICA,valence__eeg__svm__all,66.16475044196274,23,0.19166666666666668,39.78548482762328,1.1311869606686125
P27,shape_sorter_alone,1,shape_sorter_alone_s1_18.000,18.0,20.0,no-ICA,valence__eeg__svm__all,63.219252173910945,25,0.20833333333333334,39.3148535609609,1.2074306726138464
P27,shape_sorter_alone,1,shape_sorter_alone_s1_19.000,19.0,21.0,no-ICA,valence__eeg__svm__all,19.503750717353604,5,0.041666666666666664,13.620748738371779,0.7549830061194236
P27,shape_sorter_alone,1,shape_sorter_alone_s1_2.000,2.0,4.0,no-ICA,valence__eeg__svm__all,27.05562490423278,10,0.08333333333333333,13.147591862791762,0.8355536910692638
P27,shape_sorter_alone,1,shape_sorter_alone_s1_20.000,20.0,22.0,no-ICA,valence__eeg__svm__all,12.385158984022661,5,0.041666666666666664,6.260838961913547,0.6722528806516117
P27,shape_sorter_alone,1,shape_sorter_alone_s1_21.000,21.0,23.0,no-ICA,valence__eeg__svm__all,12.185412200578183,2,0.016666666666666666,5.967919414828551,0.4745749290564688
P27,shape_sorter_alone,1,shape_sorter_alone_s1_22.000,22.0,24.0,no-ICA,valence__eeg__svm__all,15.903072378183525,6,0.05,9.389597519917185,0.7514652326845876
P27,shape_sorter_alone,1,shape_sorter_alone_s1_23.000,23.0,25.0,no-ICA,valence__eeg__svm__all,13.761661605448472,7,0.058333333333333334,6.368408407536153,0.7622034908292739
P27,shape_sorter_alone,1,shape_sorter_alone_s1_24.000,24.0,26.0,no-ICA,valence__eeg__svm__all,15.935008257966679,9,0.075,6.929553487206299,0.9438161149326411
P27,shape_sorter_alone,1,shape_sorter_alone_s1_25.000,25.0,27.0,no-ICA,valence__eeg__svm__all,42.999879506836905,16,0.13333333333333333,29.3334250039071,0.7907134084856176
P27,shape_sorter_alone,1,shape_sorter_alone_s1_26.000,26.0,28.0,no-ICA,valence__eeg__svm__all,62.260905763523745,16,0.13333333333333333,44.52245894423546,1.1386298491895372
P27,shape_sorter_alone,1,shape_sorter_alone_s1_27.000,27.0,29.0,no-ICA,valence__eeg__svm__all,21.08911073259833,13,0.10833333333333334,12.547033962799134,0.7931264152464963
P27,shape_sorter_alone,1,shape_sorter_alone_s1_28.000,28.0,30.0,no-ICA,valence__eeg__svm__all,20.634618249639544,8,0.06666666666666667,11.495366406340175,0.9801006012566267
P27,shape_sorter_alone,1,shape_sorter_alone_s1_3.000,3.0,5.0,no-ICA,valence__eeg__svm__all,12.949857910783164,4,0.03333333333333333,3.9530302313412586,0.6216177913260237
P27,shape_sorter_alone,1,shape_sorter_alone_s1_4.000,4.0,6.0,no-ICA,valence__eeg__svm__all,10.938238010784273,0,0.0,2.987705275571574,0.5192840420305141
P27,shape_sorter_alone,1,shape_sorter_alone_s1_5.000,5.0,7.0,no-ICA,valence__eeg__svm__all,11.956598038406069,3,0.025,4.79579990555296,0.7164802904024367
P27,shape_sorter_alone,1,shape_sorter_alone_s1_6.000,6.0,8.0,no-ICA,valence__eeg__svm__all,11.384289351644243,1,0.008333333333333333,4.45866659089392,0.8109015053527391
P27,shape_sorter_alone,1,shape_sorter_alone_s1_7.000,7.0,9.0,no-ICA,valence__eeg__svm__all,10.94144023663359,3,0.025,4.833429071589527,0.6976290416165543
P27,shape_sorter_alone,1,shape_sorter_alone_s1_8.000,8.0,10.0,no-ICA,valence__eeg__svm__all,12.657743643177612,5,0.041666666666666664,5.299840524678929,0.7285729970567745
P27,shape_sorter_alone,1,shape_sorter_alone_s1_9.000,9.0,11.0,no-ICA,valence__eeg__svm__all,13.516602779010542,8,0.06666666666666667,5.7498222955123195,0.7468592462368675
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_0.000,0.0,2.0,no-ICA,valence__eeg__svm__all,48005.762502597114,63,0.525,44984.095206517675,2.637428519845546
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_1.000,1.0,3.0,no-ICA,valence__eeg__svm__all,694.2616022257938,61,0.5083333333333333,624.9802911999884,2.376027638988013
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_10.000,10.0,12.0,no-ICA,valence__eeg__svm__all,11.113657113111993,4,0.03333333333333333,4.284110613269472,0.6731214765742675
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_11.000,11.0,13.0,no-ICA,valence__eeg__svm__all,10.626333490160398,3,0.025,4.717966845433081,0.7221335816040361
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_12.000,12.0,14.0,no-ICA,valence__eeg__svm__all,11.213430367240367,4,0.03333333333333333,4.432933402354123,0.7288320434865021
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_13.000,13.0,15.0,no-ICA,valence__eeg__svm__all,12.352888333097333,5,0.041666666666666664,7.4271469705203765,0.6652154236900325
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_14.000,14.0,16.0,no-ICA,valence__eeg__svm__all,12.334879415788391,4,0.03333333333333333,5.7810967792832875,0.6670504644814894
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_15.000,15.0,17.0,no-ICA,valence__eeg__svm__all,17.50619300933363,11,0.09166666666666666,10.482218654569724,0.9347510291231389
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_16.000,16.0,18.0,no-ICA,valence__eeg__svm__all,12.132583985819608,3,0.025,6.90950685093229,0.7572296352885673
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_17.000,17.0,19.0,no-ICA,valence__eeg__svm__all,12.583431599568932,2,0.016666666666666666,3.5160420777698254,0.7994551898845035
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_18.000,18.0,20.0,no-ICA,valence__eeg__svm__all,12.486526499433591,6,0.05,3.3294595123315904,0.904714798055443
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_19.000,19.0,21.0,no-ICA,valence__eeg__svm__all,10.208927621899933,8,0.06666666666666667,2.883414262131162,0.7755159264325826
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_2.000,2.0,4.0,no-ICA,valence__eeg__svm__all,29.439002980434395,20,0.16666666666666666,16.339556963248626,1.1379533274135796
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_20.000,20.0,22.0,no-ICA,valence__eeg__svm__all,10.901262502518156,8,0.06666666666666667,2.170214129167798,0.8661514275307315
P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_21.000,21.0,23.0,no-ICA,valence__eeg__svm__all,11.969293792608566,6,0.05,3.050401396756512,0.9452650930142743
