participant,condition,target,model_id,model_rank,modality,classifier,feature_request,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,pick_place,41,0.8083623693379791,0.8571428571428571,0.1678488025209453,1.0
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_alone,29,0.6896551724137931,0.7142857142857143,0.19493949692028945,0.7586206896551724
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_interaction,95,0.7488721804511278,0.7142857142857143,0.16892265387848263,0.9263157894736842
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_observation,60,0.8309523809523809,0.8571428571428571,0.1887380338679537,0.9333333333333333
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,sisyphus,127,0.7547806524184476,0.8571428571428571,0.18953648967535683,0.8582677165354331
P27,ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,stack,70,0.8489795918367347,0.8571428571428571,0.13516717504239223,0.9857142857142858
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,pick_place,35,0.8092211115790856,0.8661050060134869,0.22564640236508068,0.8857142857142857
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_alone,12,0.5443268772812401,0.6229922834851032,0.4640797588278408,0.5
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_interaction,87,0.7535700427262814,0.8599426899581321,0.2934283294830802,0.7816091954022989
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_observation,53,0.8708312689441438,0.9665098827531698,0.24109347792390834,0.9245283018867925
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,sisyphus,120,0.7309100625787053,0.9255519785795276,0.3303355963562385,0.7166666666666667
P27,ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,stack,64,0.8373232004515921,0.9501025528980203,0.2266950012609172,0.90625
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,pick_place,35,0.8040816326530612,0.8571428571428571,0.13003699854754278,1.0
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_alone,12,0.7142857142857143,0.7142857142857143,0.14920941939059815,0.9166666666666666
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_interaction,87,0.7520525451559934,0.7142857142857143,0.14849309542904973,0.9425287356321839
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_observation,53,0.8436657681940701,0.8571428571428571,0.15155953010075363,0.9622641509433962
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,sisyphus,120,0.7535714285714286,0.7142857142857143,0.15927560678314137,0.9416666666666667
P27,ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,stack,64,0.8035714285714285,0.8571428571428571,0.14950517670636673,0.953125
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,pick_place,41,0.6606593690767796,0.6807778783353082,0.12614473164042178,0.7317073170731707
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_alone,29,0.5963345484163189,0.6103506854781119,0.1170209219400946,0.5172413793103449
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_interaction,95,0.5754050835869283,0.5751698553195709,0.08910856356113336,0.4105263157894737
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_observation,60,0.6563515385192173,0.6683809869432726,0.09204034500176479,0.6833333333333333
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,sisyphus,127,0.598026846379265,0.5996208743026752,0.10086196772365821,0.4881889763779528
P27,ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,stack,70,0.6222372009814969,0.6353742551596577,0.10034397199129562,0.6142857142857143
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,pick_place,41,0.6453987683224047,0.6523567868147547,0.12116641176380284,0.5121951219512195
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_alone,29,0.7115552717019586,0.7089907405509791,0.14579535218264394,0.7586206896551724
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_interaction,95,0.6150672933304513,0.6300159775027665,0.11374179438402411,0.3263157894736842
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_observation,60,0.6549571737708171,0.6526885309033525,0.09195754984446744,0.5166666666666667
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,sisyphus,127,0.7290788783274038,0.6970250117873119,0.15122324264383363,0.6614173228346457
P27,ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,stack,70,0.6371816358864526,0.6330347676720192,0.10990378380655966,0.4142857142857143
