record_type,participant,target,task,variant,model_rank,model_id,model,selected_feature_count,n_valid_windows,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_any_selected_outside,fraction_selected_feature_values_outside,median_abs_image_z,maximum_abs_image_z,shift_warning,warning_contributor_summary
model_task,P01,valence,pick_place,ICA,1,valence__eeg__svm__5,eeg svm 5,5,43,4.289218754390182,3.778930777240381,0.9302325581395348,0.2093023255813953,0.8370749421567603,442.3735925856308,False,
model_task,P01,valence,shape_sorter_alone,ICA,1,valence__eeg__svm__5,eeg svm 5,5,15,6.045972910335411,2.6031649685395277,1.0,0.2800000000000001,0.7705368141282982,587.5101826368185,False,
model_task,P01,valence,shape_sorter_interaction,ICA,1,valence__eeg__svm__5,eeg svm 5,5,83,4.073954801931463,4.470881508104695,0.7108433734939759,0.1975903614457831,1.023037831687782,906.666871210516,False,
model_task,P01,valence,shape_sorter_observation,ICA,1,valence__eeg__svm__5,eeg svm 5,5,63,3.2034994777533523,3.057928352914812,0.7936507936507936,0.1682539682539681,0.5802897769139784,414.4825614421185,False,
model_task,P01,valence,sisyphus,ICA,1,valence__eeg__svm__5,eeg svm 5,5,88,1.4144875136919346,2.9963855778458264,0.6022727272727273,0.1454545454545454,0.5982389397910002,404.3786673964397,False,
model_task,P01,valence,stack,ICA,1,valence__eeg__svm__5,eeg svm 5,5,70,2.197339976840677,3.1929032772268005,0.7142857142857143,0.1599999999999999,0.5895821783268845,401.6821847573228,False,
model_task,P01,valence,pick_place,ICA,2,valence__face__gnb__5,face gnb 5,5,35,3.2484147855690906,1.7541072568357716,0.7714285714285715,0.2571428571428571,1.4006338332181143,8.894723534764424,False,
model_task,P01,valence,shape_sorter_alone,ICA,2,valence__face__gnb__5,face gnb 5,5,14,4.295732042142062,1.0049432772638909,1.0,0.3285714285714287,0.9807571339711134,6.608908605061514,False,
model_task,P01,valence,shape_sorter_interaction,ICA,2,valence__face__gnb__5,face gnb 5,5,74,3.983983692104336,1.5295668468323336,1.0,0.2621621621621622,0.7963642745756889,18.83406629634556,False,
model_task,P01,valence,shape_sorter_observation,ICA,2,valence__face__gnb__5,face gnb 5,5,54,1.8341926004879217,2.126055898077838,0.4814814814814814,0.1592592592592592,1.1565292095513962,8.486745341695762,False,
model_task,P01,valence,sisyphus,ICA,2,valence__face__gnb__5,face gnb 5,5,47,3.9978621810140185,1.8733093692254916,0.8936170212765957,0.2553191489361702,1.0524399822358843,14.59573500795295,False,
model_task,P01,valence,stack,ICA,2,valence__face__gnb__5,face gnb 5,5,64,1.472923101996919,2.359686578592945,0.484375,0.15625,1.1926306306235577,27.13502411709693,False,
model_task,P01,valence,pick_place,ICA,3,valence__face__gnb__10,face gnb 10,10,35,14.35255188384977,2.808930772431765,1.0,0.3971428571428572,2.423251144653836,17.826562696643496,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=0%); video_mnso_norm_std (median z²=nan; outside=2%)
model_task,P01,valence,shape_sorter_alone,ICA,3,valence__face__gnb__10,face gnb 10,10,14,12.1283278952032,1.653067827925781,1.0,0.4500000000000001,1.9543387310200484,13.734996927258004,True,video_enso_norm_mean (median z²=141.33; outside=100%); video_eso_norm_mean (median z²=99.28; outside=100%); video_irisdo_norm_mean (median z²=37.44; outside=93%)
model_task,P01,valence,shape_sorter_interaction,ICA,3,valence__face__gnb__10,face gnb 10,10,74,8.916140465696113,2.664963248967497,1.0,0.4527027027027027,1.9146317344075308,22.181717914473637,False,
model_task,P01,valence,shape_sorter_observation,ICA,3,valence__face__gnb__10,face gnb 10,10,54,12.876666777793886,3.8377008373703454,1.0,0.3740740740740741,1.899878268149013,19.69884622453716,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=10%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,valence,sisyphus,ICA,3,valence__face__gnb__10,face gnb 10,10,47,9.824532846251056,3.3157832553089364,0.9574468085106383,0.4063829787234042,2.809851294599713,18.315882208556552,False,
model_task,P01,valence,stack,ICA,3,valence__face__gnb__10,face gnb 10,10,64,11.402053278523628,3.360546671600277,1.0,0.4046875,1.949322183139004,48.66906958358656,True,video_mwo_norm_std (median z²=nan; outside=1%); video_mwo_norm_mean (median z²=nan; outside=49%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,pick_place,ICA,1,arousal__face__svm__10,face svm 10,10,35,14.270344071453447,2.793804395864102,1.0,0.3971428571428572,2.4044573140078827,17.703811570767883,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=0%); video_mnso_norm_std (median z²=nan; outside=2%)
model_task,P01,arousal,shape_sorter_alone,ICA,1,arousal__face__svm__10,face svm 10,10,14,12.05911146276854,1.65295122169929,1.0,0.4500000000000001,1.9395069152544184,13.629522789486163,True,video_enso_norm_mean (median z²=139.15; outside=100%); video_eso_norm_mean (median z²=97.88; outside=100%); video_irisdo_norm_mean (median z²=37.03; outside=93%)
model_task,P01,arousal,shape_sorter_interaction,ICA,1,arousal__face__svm__10,face svm 10,10,74,8.87011007712966,2.644395122548824,1.0,0.4527027027027027,1.9084546453834603,22.066117996914898,False,
model_task,P01,arousal,shape_sorter_observation,ICA,1,arousal__face__svm__10,face svm 10,10,54,12.804968563842532,3.814854373726286,1.0,0.3740740740740741,1.8825918183347583,19.562556401370657,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=10%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,sisyphus,ICA,1,arousal__face__svm__10,face svm 10,10,47,9.779488044148126,3.302475472170072,0.9574468085106383,0.4063829787234042,2.7897391703312646,18.218543468725773,False,
model_task,P01,arousal,stack,ICA,1,arousal__face__svm__10,face svm 10,10,64,11.338537862885394,3.341996830897632,1.0,0.4046875,1.9446725601256591,48.42835047494776,True,video_mwo_norm_std (median z²=nan; outside=1%); video_mwo_norm_mean (median z²=nan; outside=49%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,pick_place,ICA,2,arousal__face__gnb__5,face gnb 5,5,35,9.136291913219711,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883,False,
model_task,P01,arousal,shape_sorter_alone,ICA,2,arousal__face__gnb__5,face gnb 5,5,14,9.67525334791494,2.15992855387154,1.0,0.5142857142857145,1.214398581752279,13.629522789486163,False,
model_task,P01,arousal,shape_sorter_interaction,ICA,2,arousal__face__gnb__5,face gnb 5,5,74,4.861375428841777,2.732840717364211,1.0,0.3864864864864865,1.1507463928589394,18.847274629709474,False,
model_task,P01,arousal,shape_sorter_observation,ICA,2,arousal__face__gnb__5,face gnb 5,5,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657,False,
model_task,P01,arousal,sisyphus,ICA,2,arousal__face__gnb__5,face gnb 5,5,47,6.169077350218714,2.5734630271018557,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365,False,
model_task,P01,arousal,stack,ICA,2,arousal__face__gnb__5,face gnb 5,5,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.329309733641704,38.87418046939501,False,
model_task,P01,arousal,pick_place,ICA,3,arousal__face__svm__5,face svm 5,5,35,9.136291913219711,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883,False,
model_task,P01,arousal,shape_sorter_alone,ICA,3,arousal__face__svm__5,face svm 5,5,14,9.67525334791494,2.15992855387154,1.0,0.5142857142857145,1.214398581752279,13.629522789486163,False,
model_task,P01,arousal,shape_sorter_interaction,ICA,3,arousal__face__svm__5,face svm 5,5,74,4.861375428841777,2.732840717364211,1.0,0.3864864864864865,1.1507463928589394,18.847274629709474,False,
model_task,P01,arousal,shape_sorter_observation,ICA,3,arousal__face__svm__5,face svm 5,5,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657,False,
model_task,P01,arousal,sisyphus,ICA,3,arousal__face__svm__5,face svm 5,5,47,6.169077350218714,2.5734630271018557,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365,False,
model_task,P01,arousal,stack,ICA,3,arousal__face__svm__5,face svm 5,5,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.329309733641704,38.87418046939501,False,
model_task,P01,valence,pick_place,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,43,0.8611190155817653,1.3862126307370806,0.1860465116279069,0.0511627906976744,0.653364561506845,458.5084608336878,False,
model_task,P01,valence,shape_sorter_alone,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,15,0.342232682327465,0.335902327391672,0.4,0.16,0.6103237805106608,602.5395650239691,False,
model_task,P01,valence,shape_sorter_interaction,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,83,0.3491707238855828,0.2277985415498571,0.2289156626506024,0.0602409638554217,0.659253339681122,939.7153697076802,False,
model_task,P01,valence,shape_sorter_observation,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,63,0.7753098860415327,0.863900961990393,0.0634920634920634,0.0222222222222222,0.4898690915232783,433.4323678461505,False,
model_task,P01,valence,sisyphus,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,88,0.6088359103906098,0.891887198677207,0.375,0.0863636363636363,0.510930660079551,418.5828802081578,False,
model_task,P01,valence,stack,NO_ICA,1,valence__eeg__svm__5,eeg svm 5,5,70,0.4108084725634983,0.4648059243354573,0.1714285714285714,0.0428571428571428,0.5810417058000585,420.1551563805799,False,
model_task,P01,valence,pick_place,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,35,3.2484147855690906,1.7541072568357716,0.7714285714285715,0.2571428571428571,1.4006338332181143,8.894723534764424,False,
model_task,P01,valence,shape_sorter_alone,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,14,4.295732042142062,1.0049432772638909,1.0,0.3285714285714287,0.9807571339711134,6.608908605061514,False,
model_task,P01,valence,shape_sorter_interaction,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,74,3.983983692104336,1.5295668468323336,1.0,0.2621621621621622,0.7963642745756889,18.83406629634556,False,
model_task,P01,valence,shape_sorter_observation,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,54,1.8341926004879217,2.126055898077838,0.4814814814814814,0.1592592592592592,1.1565292095513962,8.486745341695762,False,
model_task,P01,valence,sisyphus,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,47,3.9978621810140185,1.8733093692254916,0.8936170212765957,0.2553191489361702,1.0524399822358843,14.59573500795295,False,
model_task,P01,valence,stack,NO_ICA,2,valence__face__gnb__5,face gnb 5,5,64,1.472923101996919,2.359686578592945,0.484375,0.15625,1.1926306306235577,27.13502411709693,False,
model_task,P01,valence,pick_place,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,35,14.35255188384977,2.808930772431765,1.0,0.3971428571428572,2.423251144653836,17.826562696643496,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=0%); video_mnso_norm_std (median z²=nan; outside=2%)
model_task,P01,valence,shape_sorter_alone,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,14,12.1283278952032,1.653067827925781,1.0,0.4500000000000001,1.9543387310200484,13.734996927258004,True,video_enso_norm_mean (median z²=141.33; outside=100%); video_eso_norm_mean (median z²=99.28; outside=100%); video_irisdo_norm_mean (median z²=37.44; outside=93%)
model_task,P01,valence,shape_sorter_interaction,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,74,8.916140465696113,2.664963248967497,1.0,0.4527027027027027,1.9146317344075308,22.181717914473637,False,
model_task,P01,valence,shape_sorter_observation,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,54,12.876666777793886,3.8377008373703454,1.0,0.3740740740740741,1.899878268149013,19.69884622453716,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=10%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,valence,sisyphus,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,47,9.824532846251056,3.3157832553089364,0.9574468085106383,0.4063829787234042,2.809851294599713,18.315882208556552,False,
model_task,P01,valence,stack,NO_ICA,3,valence__face__gnb__10,face gnb 10,10,64,11.402053278523628,3.360546671600277,1.0,0.4046875,1.949322183139004,48.66906958358656,True,video_mwo_norm_std (median z²=nan; outside=1%); video_mwo_norm_mean (median z²=nan; outside=49%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,pick_place,NO_ICA,1,arousal__face__svm__10,face svm 10,10,35,14.270344071453447,2.793804395864102,1.0,0.3971428571428572,2.4044573140078827,17.703811570767883,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=0%); video_mnso_norm_std (median z²=nan; outside=2%)
model_task,P01,arousal,shape_sorter_alone,NO_ICA,1,arousal__face__svm__10,face svm 10,10,14,12.05911146276854,1.65295122169929,1.0,0.4500000000000001,1.9395069152544184,13.629522789486163,True,video_enso_norm_mean (median z²=139.15; outside=100%); video_eso_norm_mean (median z²=97.88; outside=100%); video_irisdo_norm_mean (median z²=37.03; outside=93%)
model_task,P01,arousal,shape_sorter_interaction,NO_ICA,1,arousal__face__svm__10,face svm 10,10,74,8.87011007712966,2.644395122548824,1.0,0.4527027027027027,1.9084546453834603,22.066117996914898,False,
model_task,P01,arousal,shape_sorter_observation,NO_ICA,1,arousal__face__svm__10,face svm 10,10,54,12.804968563842532,3.814854373726286,1.0,0.3740740740740741,1.8825918183347583,19.562556401370657,True,video_mwo_norm_std (median z²=nan; outside=0%); video_mwo_norm_mean (median z²=nan; outside=10%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,sisyphus,NO_ICA,1,arousal__face__svm__10,face svm 10,10,47,9.779488044148126,3.302475472170072,0.9574468085106383,0.4063829787234042,2.7897391703312646,18.218543468725773,False,
model_task,P01,arousal,stack,NO_ICA,1,arousal__face__svm__10,face svm 10,10,64,11.338537862885394,3.341996830897632,1.0,0.4046875,1.9446725601256591,48.42835047494776,True,video_mwo_norm_std (median z²=nan; outside=1%); video_mwo_norm_mean (median z²=nan; outside=49%); video_mnso_norm_std (median z²=nan; outside=11%)
model_task,P01,arousal,pick_place,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,35,9.136291913219711,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883,False,
model_task,P01,arousal,shape_sorter_alone,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,14,9.67525334791494,2.15992855387154,1.0,0.5142857142857145,1.214398581752279,13.629522789486163,False,
model_task,P01,arousal,shape_sorter_interaction,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,74,4.861375428841777,2.732840717364211,1.0,0.3864864864864865,1.1507463928589394,18.847274629709474,False,
model_task,P01,arousal,shape_sorter_observation,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657,False,
model_task,P01,arousal,sisyphus,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,47,6.169077350218714,2.5734630271018557,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365,False,
model_task,P01,arousal,stack,NO_ICA,2,arousal__face__gnb__5,face gnb 5,5,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.329309733641704,38.87418046939501,False,
model_task,P01,arousal,pick_place,NO_ICA,3,arousal__face__svm__5,face svm 5,5,35,9.136291913219711,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883,False,
model_task,P01,arousal,shape_sorter_alone,NO_ICA,3,arousal__face__svm__5,face svm 5,5,14,9.67525334791494,2.15992855387154,1.0,0.5142857142857145,1.214398581752279,13.629522789486163,False,
model_task,P01,arousal,shape_sorter_interaction,NO_ICA,3,arousal__face__svm__5,face svm 5,5,74,4.861375428841777,2.732840717364211,1.0,0.3864864864864865,1.1507463928589394,18.847274629709474,False,
model_task,P01,arousal,shape_sorter_observation,NO_ICA,3,arousal__face__svm__5,face svm 5,5,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657,False,
model_task,P01,arousal,sisyphus,NO_ICA,3,arousal__face__svm__5,face svm 5,5,47,6.169077350218714,2.5734630271018557,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365,False,
model_task,P01,arousal,stack,NO_ICA,3,arousal__face__svm__5,face svm 5,5,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.329309733641704,38.87418046939501,False,
model_task,P15,valence,pick_place,ICA,1,valence__face__gnb__5,face gnb 5,5,20,2.862522264160093,1.6959855634833565,0.75,0.23,1.4337634104057009,5.754348038922916,False,
model_task,P15,valence,shape_sorter_alone,ICA,1,valence__face__gnb__5,face gnb 5,5,12,3.200531071502824,1.2731193044941542,0.6666666666666666,0.15,1.0151026552741904,7.1468559906695335,False,
model_task,P15,valence,shape_sorter_interaction,ICA,1,valence__face__gnb__5,face gnb 5,5,80,2.33417782488226,1.3452263178728263,0.4625,0.1775,1.694225604158026,6.41722692161883,False,
model_task,P15,valence,shape_sorter_observation,ICA,1,valence__face__gnb__5,face gnb 5,5,104,1.5708018400052302,1.379220508521498,0.375,0.1192307692307692,1.109723571395253,5.843603388235969,False,
model_task,P15,valence,sisyphus,ICA,1,valence__face__gnb__5,face gnb 5,5,95,1.4159357126564818,1.337819367636457,0.3263157894736842,0.0757894736842105,1.0087827568115633,15.769373854269706,False,
model_task,P15,valence,stack,ICA,1,valence__face__gnb__5,face gnb 5,5,61,1.5300930010846232,1.3633362891470289,0.2786885245901639,0.0950819672131147,1.142069504016132,4.479465904004243,False,
model_task,P15,valence,pick_place,ICA,2,valence__eeg__svm__20,eeg svm 20,20,25,3.67381064213908,1.1040345566028682,0.32,0.0619999999999999,0.7626673830219772,46450.217183475885,False,
model_task,P15,valence,shape_sorter_alone,ICA,2,valence__eeg__svm__20,eeg svm 20,20,23,3.7472291360780474,1.6682830518973564,0.3043478260869565,0.0782608695652174,0.8755090426820824,58382.67742027515,False,
model_task,P15,valence,shape_sorter_interaction,ICA,2,valence__eeg__svm__20,eeg svm 20,20,85,3.799591319917856,1.128104113415906,0.5294117647058824,0.0517647058823529,0.8743625372079027,44281.78318737946,False,
