scope,group,target,n_total,n_low,n_high,proportion_low,proportion_high,high_to_low_ratio
overall,Overall,arousal,276,75,201,0.2717391304347826,0.7282608695652174,2.68
overall,Overall,valence,276,39,237,0.14130434782608695,0.8586956521739131,6.076923076923077
task,PnP,arousal,46,12,34,0.2608695652173913,0.7391304347826086,2.8333333333333335
task,PnP,valence,46,11,35,0.2391304347826087,0.7608695652173914,3.1818181818181817
task,SSObs,arousal,46,8,38,0.17391304347826086,0.8260869565217391,4.75
task,SSObs,valence,46,6,40,0.13043478260869565,0.8695652173913043,6.666666666666667
task,St,arousal,46,11,35,0.2391304347826087,0.7608695652173914,3.1818181818181817
task,St,valence,46,11,35,0.2391304347826087,0.7608695652173914,3.1818181818181817
task,Sisyphus,arousal,46,4,42,0.08695652173913043,0.9130434782608695,10.5
task,Sisyphus,valence,46,4,42,0.08695652173913043,0.9130434782608695,10.5
task,SSInt,arousal,46,10,36,0.21739130434782608,0.782608695652174,3.6
task,SSInt,valence,46,4,42,0.08695652173913043,0.9130434782608695,10.5
task,SSAlone,arousal,46,30,16,0.6521739130434783,0.34782608695652173,0.5333333333333333
task,SSAlone,valence,46,3,43,0.06521739130434782,0.9347826086956522,14.333333333333334
task_type,Observation,arousal,138,31,107,0.2246376811594203,0.7753623188405797,3.4516129032258065
task_type,Observation,valence,138,28,110,0.2028985507246377,0.7971014492753623,3.9285714285714284
task_type,Interaction,arousal,92,14,78,0.15217391304347827,0.8478260869565217,5.571428571428571
task_type,Interaction,valence,92,8,84,0.08695652173913043,0.9130434782608695,10.5
task_type,Alone,arousal,46,30,16,0.6521739130434783,0.34782608695652173,0.5333333333333333
task_type,Alone,valence,46,3,43,0.06521739130434782,0.9347826086956522,14.333333333333334
