demographic,analysis_type,measure,n,group_1,group_2,group_1_n,group_2_n,group_1_median,group_1_iqr,group_2_median,group_2_iqr,test_statistic,effect_size_name,effect_size,ci_95_low,ci_95_high,p_value_raw,fdr_family,p_value_fdr_bh,fdr_significant_0_05
age,spearman_correlation,overall_valence,46,,,,,,,,,-0.12854198856103483,spearman_rho,-0.12854198856103483,-0.44014251611407185,0.21307931420596038,0.3945687007960291,age_10_measures,0.676403487078907,False
age,spearman_correlation,overall_arousal,46,,,,,,,,,-0.1706866741126127,spearman_rho,-0.1706866741126127,-0.458853159138955,0.14722133680815236,0.2567354713785141,age_10_measures,0.676403487078907,False
age,spearman_correlation,observation_valence,46,,,,,,,,,-0.042869706922719124,spearman_rho,-0.042869706922719124,-0.35178271098831215,0.2817508995306602,0.7772651749087668,age_10_measures,0.8070860823062856,False
age,spearman_correlation,observation_arousal,46,,,,,,,,,-0.13631099571608687,spearman_rho,-0.13631099571608687,-0.4227528194719192,0.17509281999747497,0.3663723079197567,age_10_measures,0.676403487078907,False
age,spearman_correlation,interaction_valence,46,,,,,,,,,-0.07801183536676384,spearman_rho,-0.07801183536676384,-0.3811284873518175,0.24792283189406342,0.6063243027273664,age_10_measures,0.7275891632728396,False
age,spearman_correlation,interaction_arousal,46,,,,,,,,,-0.09614106950692788,spearman_rho,-0.09614106950692788,-0.39400067184284077,0.2170864813908272,0.5250434633850616,age_10_measures,0.7000579511800821,False
age,spearman_correlation,alone_valence,46,,,,,,,,,-0.3146943098127063,spearman_rho,-0.3146943098127063,-0.564166690271857,-0.01011754851638504,0.033165838847022136,age_10_measures,0.39799006616426563,False
age,spearman_correlation,alone_arousal,46,,,,,,,,,-0.14747848881294603,spearman_rho,-0.14747848881294603,-0.45700105638484984,0.18054300183526092,0.3280336549197519,age_10_measures,0.676403487078907,False
age,spearman_correlation,fault_valence_delta,46,,,,,,,,,0.1036539587786007,spearman_rho,0.1036539587786007,-0.18735979769343888,0.37932383831148253,0.49301707450329324,age_10_measures,0.7000579511800821,False
age,spearman_correlation,fault_arousal_delta,46,,,,,,,,,0.2568504599373989,spearman_rho,0.2568504599373989,-0.05419531703721622,0.5421244729860666,0.08486260603307655,age_10_measures,0.5091756361984593,False
age,spearman_correlation,speed_valence_delta,45,,,,,,,,,-0.22892855404175136,spearman_rho,-0.22892855404175136,-0.5214573416166981,0.09710790584851425,0.13036776885869722,age_10_measures,0.5214710754347889,False
age,spearman_correlation,speed_arousal_delta,45,,,,,,,,,-0.03744210467340382,spearman_rho,-0.03744210467340382,-0.34107486671234,0.2834844039104914,0.8070860823062856,age_10_measures,0.8070860823062856,False
gender,mann_whitney_u,overall_valence,46,Female,Male,21,25,5.333333333333333,0.8333333333333339,5.333333333333333,1.166666666666666,245.0,cliffs_delta_group_1_minus_group_2,-0.06666666666666671,,,0.7068914761012475,gender_10_measures,0.8331165181027832,False
gender,mann_whitney_u,overall_arousal,46,Female,Male,21,25,4.666666666666667,1.6666666666666665,4.833333333333333,0.666666666666667,222.5,cliffs_delta_group_1_minus_group_2,-0.15238095238095245,,,0.3824885708087573,gender_10_measures,0.8061380655638651,False
gender,mann_whitney_u,observation_valence,46,Female,Male,21,25,5.0,1.0,5.0,1.666666666666667,272.5,cliffs_delta_group_1_minus_group_2,0.03809523809523807,,,0.8331165181027832,gender_10_measures,0.8331165181027832,False
gender,mann_whitney_u,observation_arousal,46,Female,Male,21,25,5.0,1.666666666666667,4.666666666666667,0.666666666666667,295.5,cliffs_delta_group_1_minus_group_2,0.12571428571428572,,,0.4702472049122547,gender_10_measures,0.8061380655638651,False
gender,mann_whitney_u,interaction_valence,46,Female,Male,21,25,6.0,1.5,6.0,2.0,247.0,cliffs_delta_group_1_minus_group_2,-0.059047619047619015,,,0.7370632500105956,gender_10_measures,0.8331165181027832,False
gender,mann_whitney_u,interaction_arousal,46,Female,Male,21,25,5.0,1.5,6.0,2.0,188.0,cliffs_delta_group_1_minus_group_2,-0.28380952380952384,,,0.09809987870715042,gender_10_measures,0.3923995148286017,False
gender,mann_whitney_u,alone_valence,46,Female,Male,21,25,5.0,2.0,5.0,2.0,229.0,cliffs_delta_group_1_minus_group_2,-0.12761904761904763,,,0.45068142859534166,gender_10_measures,0.8061380655638651,False
gender,mann_whitney_u,alone_arousal,46,Female,Male,21,25,2.0,2.0,4.0,3.0,181.5,cliffs_delta_group_1_minus_group_2,-0.30857142857142855,,,0.06969996111111233,gender_10_measures,0.3923995148286017,False
gender,mann_whitney_u,fault_valence_delta,46,Female,Male,21,25,-1.0,2.0,-2.0,3.0,244.5,cliffs_delta_group_1_minus_group_2,-0.06857142857142862,,,0.6942895019980397,gender_10_measures,0.8331165181027832,False
gender,mann_whitney_u,fault_arousal_delta,46,Female,Male,21,25,1.0,3.0,0.0,3.0,273.0,cliffs_delta_group_1_minus_group_2,0.040000000000000036,,,0.8230277996304934,gender_10_measures,0.8331165181027832,False
gender,mann_whitney_u,speed_valence_delta,45,Female,Male,21,24,0.0,1.0,0.0,2.0,297.0,cliffs_delta_group_1_minus_group_2,0.1785714285714286,,,0.2974268420785091,gender_10_measures,0.8061380655638651,False
gender,mann_whitney_u,speed_arousal_delta,45,Female,Male,21,24,0.0,2.0,-0.5,2.25,327.5,cliffs_delta_group_1_minus_group_2,0.29960317460317465,,,0.0833467461669347,gender_10_measures,0.3923995148286017,False
prior_robot_experience,mann_whitney_u,overall_valence,46,No,Yes,23,23,5.166666666666667,0.666666666666667,5.5,1.5,192.0,cliffs_delta_group_1_minus_group_2,-0.274102079395085,,,0.11260717695332645,experience_10_measures,0.5420350087936718,False
prior_robot_experience,mann_whitney_u,overall_arousal,46,No,Yes,23,23,4.666666666666667,0.75,4.833333333333333,1.3333333333333321,206.0,cliffs_delta_group_1_minus_group_2,-0.22117202268430997,,,0.20143064518559617,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,observation_valence,46,No,Yes,23,23,5.0,1.166666666666667,5.666666666666667,1.5,195.0,cliffs_delta_group_1_minus_group_2,-0.2627599243856333,,,0.12735999375174883,experience_10_measures,0.5420350087936718,False
prior_robot_experience,mann_whitney_u,observation_arousal,46,No,Yes,23,23,4.666666666666667,1.333333333333333,4.666666666666667,1.833333333333333,226.5,cliffs_delta_group_1_minus_group_2,-0.14366729678638945,,,0.4065332983039577,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,interaction_valence,46,No,Yes,23,23,5.5,1.0,6.0,2.0,223.0,cliffs_delta_group_1_minus_group_2,-0.15689981096408318,,,0.36059781847159145,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,interaction_arousal,46,No,Yes,23,23,5.5,1.0,6.0,2.0,232.0,cliffs_delta_group_1_minus_group_2,-0.1228733459357278,,,0.4760979071359426,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,alone_valence,46,No,Yes,23,23,5.0,2.0,6.0,2.5,214.5,cliffs_delta_group_1_minus_group_2,-0.18903591682419657,,,0.2596860383180932,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,alone_arousal,46,No,Yes,23,23,2.0,2.5,3.0,2.0,197.5,cliffs_delta_group_1_minus_group_2,-0.25330812854442347,,,0.13550875219841796,experience_10_measures,0.5420350087936718,False
prior_robot_experience,mann_whitney_u,fault_valence_delta,46,No,Yes,23,23,-2.0,2.0,-1.0,3.0,230.5,cliffs_delta_group_1_minus_group_2,-0.1285444234404537,,,0.45353058941870783,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,fault_arousal_delta,46,No,Yes,23,23,0.0,2.5,1.0,2.0,221.5,cliffs_delta_group_1_minus_group_2,-0.16257088846880907,,,0.34367844839071426,experience_10_measures,0.5713174885631311,False
prior_robot_experience,mann_whitney_u,speed_valence_delta,45,No,Yes,23,22,0.0,2.0,0.0,2.0,236.5,cliffs_delta_group_1_minus_group_2,-0.06521739130434784,,,0.7084796106289812,experience_10_measures,0.7728868479588886,False
prior_robot_experience,mann_whitney_u,speed_arousal_delta,45,No,Yes,23,22,0.0,3.0,0.0,1.75,265.5,cliffs_delta_group_1_minus_group_2,0.04940711462450592,,,0.7821593153871731,experience_10_measures,0.782159315387173,False
