participant,target,fault_effect_left_condition,fault_effect_right_condition,fault_effect_left_rating,fault_effect_right_rating,fault_effect_delta,fault_effect_included,speed_effect_left_condition,speed_effect_right_condition,speed_effect_left_rating,speed_effect_right_rating,speed_effect_delta,speed_effect_included,exclusion_note
P01,valence,FAULTY_FAST,CONTROL_FAST,5.0,7.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,5.0,2.0,True,
P02,valence,FAULTY_FAST,CONTROL_FAST,3.0,5.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P03,valence,FAULTY_FAST,CONTROL_FAST,2.0,6.0,-4.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P04,valence,FAULTY_FAST,CONTROL_FAST,3.0,7.0,-4.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P05,valence,FAULTY_FAST,CONTROL_FAST,3.0,4.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,5.0,-1.0,True,
P06,valence,FAULTY_FAST,CONTROL_FAST,1.0,3.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,4.0,-1.0,True,
P07,valence,FAULTY_FAST,CONTROL_FAST,2.0,4.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,4.0,0.0,True,
P08,valence,FAULTY_FAST,CONTROL_FAST,4.0,7.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P09,valence,FAULTY_FAST,CONTROL_FAST,6.0,6.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P10,valence,FAULTY_FAST,CONTROL_FAST,2.0,7.0,-5.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,5.0,2.0,True,
P11,valence,FAULTY_FAST,CONTROL_FAST,2.0,6.0,-4.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,6.0,0.0,True,
P12,valence,FAULTY_FAST,CONTROL_FAST,6.0,6.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P13,valence,FAULTY_FAST,CONTROL_FAST,3.0,6.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P14,valence,FAULTY_FAST,CONTROL_FAST,6.0,6.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,,,False,P14 Stack is FAULTY_SLOW; excluded only from CONTROL_FAST vs CONTROL_SLOW.
P15,valence,FAULTY_FAST,CONTROL_FAST,5.0,6.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,6.0,0.0,True,
P16,valence,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P17,valence,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,7.0,-2.0,True,
P18,valence,FAULTY_FAST,CONTROL_FAST,2.0,5.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P19,valence,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P20,valence,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P21,valence,FAULTY_FAST,CONTROL_FAST,5.0,4.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,6.0,-2.0,True,
P22,valence,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,5.0,2.0,True,
P23,valence,FAULTY_FAST,CONTROL_FAST,5.0,6.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P24,valence,FAULTY_FAST,CONTROL_FAST,3.0,6.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,5.0,1.0,True,
P25,valence,FAULTY_FAST,CONTROL_FAST,3.0,7.0,-4.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P26,valence,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P27,valence,FAULTY_FAST,CONTROL_FAST,5.0,6.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,6.0,0.0,True,
P28,valence,FAULTY_FAST,CONTROL_FAST,3.0,7.0,-4.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P29,valence,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P30,valence,FAULTY_FAST,CONTROL_FAST,3.0,5.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,7.0,-2.0,True,
P31,valence,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P32,valence,FAULTY_FAST,CONTROL_FAST,5.0,7.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P33,valence,FAULTY_FAST,CONTROL_FAST,2.0,5.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P34,valence,FAULTY_FAST,CONTROL_FAST,4.0,6.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,5.0,1.0,True,
P35,valence,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P36,valence,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P37,valence,FAULTY_FAST,CONTROL_FAST,2.0,7.0,-5.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,5.0,2.0,True,
P38,valence,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,3.0,2.0,True,
P39,valence,FAULTY_FAST,CONTROL_FAST,2.0,5.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,3.0,2.0,True,
P40,valence,FAULTY_FAST,CONTROL_FAST,2.0,4.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,3.0,1.0,True,
P41,valence,FAULTY_FAST,CONTROL_FAST,3.0,3.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,4.0,-1.0,True,
P42,valence,FAULTY_FAST,CONTROL_FAST,5.0,3.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,3.0,0.0,True,
P43,valence,FAULTY_FAST,CONTROL_FAST,3.0,5.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P44,valence,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P45,valence,FAULTY_FAST,CONTROL_FAST,1.0,4.0,-3.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,6.0,-2.0,True,
P46,valence,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P01,arousal,FAULTY_FAST,CONTROL_FAST,5.0,6.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,5.0,1.0,True,
P02,arousal,FAULTY_FAST,CONTROL_FAST,5.0,1.0,4.0,True,CONTROL_FAST,CONTROL_SLOW,1.0,6.0,-5.0,True,
P03,arousal,FAULTY_FAST,CONTROL_FAST,2.0,3.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,6.0,-3.0,True,
P04,arousal,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P05,arousal,FAULTY_FAST,CONTROL_FAST,5.0,3.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,5.0,-2.0,True,
P06,arousal,FAULTY_FAST,CONTROL_FAST,4.0,4.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,6.0,-2.0,True,
P07,arousal,FAULTY_FAST,CONTROL_FAST,6.0,4.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,4.0,0.0,True,
P08,arousal,FAULTY_FAST,CONTROL_FAST,5.0,7.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,2.0,5.0,True,
P09,arousal,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,5.0,2.0,True,
P10,arousal,FAULTY_FAST,CONTROL_FAST,4.0,1.0,3.0,True,CONTROL_FAST,CONTROL_SLOW,1.0,2.0,-1.0,True,
P11,arousal,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P12,arousal,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P13,arousal,FAULTY_FAST,CONTROL_FAST,2.0,4.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,7.0,-3.0,True,
P14,arousal,FAULTY_FAST,CONTROL_FAST,7.0,2.0,5.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,,,False,P14 Stack is FAULTY_SLOW; excluded only from CONTROL_FAST vs CONTROL_SLOW.
P15,arousal,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,6.0,1.0,True,
P16,arousal,FAULTY_FAST,CONTROL_FAST,6.0,5.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,3.0,2.0,True,
P17,arousal,FAULTY_FAST,CONTROL_FAST,6.0,5.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P18,arousal,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P19,arousal,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P20,arousal,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,2.0,3.0,True,
P21,arousal,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,7.0,-2.0,True,
P22,arousal,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P23,arousal,FAULTY_FAST,CONTROL_FAST,5.0,7.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,3.0,4.0,True,
P24,arousal,FAULTY_FAST,CONTROL_FAST,3.0,2.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,2.0,0.0,True,
P25,arousal,FAULTY_FAST,CONTROL_FAST,5.0,7.0,-2.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,7.0,0.0,True,
P26,arousal,FAULTY_FAST,CONTROL_FAST,6.0,7.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,3.0,4.0,True,
P27,arousal,FAULTY_FAST,CONTROL_FAST,7.0,6.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,7.0,-1.0,True,
P28,arousal,FAULTY_FAST,CONTROL_FAST,6.0,6.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,5.0,1.0,True,
P29,arousal,FAULTY_FAST,CONTROL_FAST,7.0,7.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,7.0,3.0,4.0,True,
P30,arousal,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P31,arousal,FAULTY_FAST,CONTROL_FAST,5.0,2.0,3.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,1.0,1.0,True,
P32,arousal,FAULTY_FAST,CONTROL_FAST,7.0,6.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,6.0,6.0,0.0,True,
P33,arousal,FAULTY_FAST,CONTROL_FAST,6.0,3.0,3.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,3.0,0.0,True,
P34,arousal,FAULTY_FAST,CONTROL_FAST,4.0,2.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,1.0,1.0,True,
P35,arousal,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,4.0,1.0,True,
P36,arousal,FAULTY_FAST,CONTROL_FAST,5.0,4.0,1.0,True,CONTROL_FAST,CONTROL_SLOW,4.0,6.0,-2.0,True,
P37,arousal,FAULTY_FAST,CONTROL_FAST,6.0,3.0,3.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,4.0,-1.0,True,
P38,arousal,FAULTY_FAST,CONTROL_FAST,4.0,5.0,-1.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P39,arousal,FAULTY_FAST,CONTROL_FAST,6.0,2.0,4.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,4.0,-2.0,True,
P40,arousal,FAULTY_FAST,CONTROL_FAST,7.0,3.0,4.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,5.0,-2.0,True,
P41,arousal,FAULTY_FAST,CONTROL_FAST,7.0,5.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,6.0,-1.0,True,
P42,arousal,FAULTY_FAST,CONTROL_FAST,5.0,3.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,3.0,6.0,-3.0,True,
P43,arousal,FAULTY_FAST,CONTROL_FAST,5.0,5.0,0.0,True,CONTROL_FAST,CONTROL_SLOW,5.0,5.0,0.0,True,
P44,arousal,FAULTY_FAST,CONTROL_FAST,4.0,1.0,3.0,True,CONTROL_FAST,CONTROL_SLOW,1.0,5.0,-4.0,True,
P45,arousal,FAULTY_FAST,CONTROL_FAST,6.0,2.0,4.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,4.0,-2.0,True,
P46,arousal,FAULTY_FAST,CONTROL_FAST,4.0,2.0,2.0,True,CONTROL_FAST,CONTROL_SLOW,2.0,2.0,0.0,True,
