#,Age,demographic_sheet_explicit_id,gender,prior_robot_experience,experience_free_text,demographic_sheet_group,demographic_sheet_date,demographic_sheet_time,demographic_sheet_completed,demographic_sheet_notes,participant,age,overall_arousal,overall_valence,alone_arousal,alone_valence,interaction_arousal,interaction_valence,observation_arousal,observation_valence,fault_arousal_delta,fault_valence_delta,speed_arousal_delta,speed_valence_delta
1,27,P01,Female,No,-,C,26/05,15:00,✔,"Sisyphus task, base moved. SS alone repeated",P01,27,4.5,5.166666666666667,1.0,6.0,5.0,4.0,5.333333333333333,5.666666666666667,-1.0,-2.0,1.0,2.0
2,22,P02,Male,No,-,B,27/05,10:00,✔,Different backend for the image emotion recognition (openCV) sisyphus task the robot did not move a lot ,P02,22,4.666666666666667,4.833333333333333,5.0,5.0,5.5,6.0,4.0,4.0,4.0,-2.0,-5.0,1.0
3,28,,Male,Yes,Seen demos from MEC and LRS chairs,A,28/05,10:00,✔,"Forgot to record part of the emotion image experiment, 54/120 stimuli recorded",P03,28,3.3333333333333335,5.5,1.0,4.0,4.0,7.0,3.6666666666666665,5.0,-1.0,-4.0,-3.0,-1.0
4,27,,Male,Yes,Thesis developement in SIEMENS Karlsruhe,C,28/05,13:00,✔,Sisyphus task was terminated because of sudden move of the robot ,P04,27,6.5,5.666666666666667,4.0,7.0,7.0,5.0,7.0,5.666666666666667,0.0,-4.0,0.0,0.0
5,29,,Male,Yes,I have done a bunch of projects related to real robots,B,29/05,10:00,✔,Cleaning personal came in during image study,P05,29,4.666666666666667,4.0,3.0,4.0,6.0,4.0,4.333333333333333,4.0,2.0,-1.0,-2.0,-1.0
6,24,,Male,No,-,A,29/05,16:00,✔,For interactive SS I forgot to remove the emergency break,P06,24,4.5,3.6666666666666665,2.0,5.0,5.5,4.5,4.666666666666667,2.6666666666666665,0.0,-2.0,-2.0,-1.0
7,31,,Male,Yes,I work with them,C,01/06,10:00,✔,the shape sorter interactiomn experiment had to be repeated because the robot did not pick the piece,P07,31,3.1666666666666665,3.6666666666666665,1.0,4.0,2.0,4.0,4.666666666666667,3.3333333333333335,2.0,-2.0,0.0,0.0
8,22,,Male,Yes,"In my undergraduate course, my team experimented using pick and place robot ",B,02/06,15:00,✔,"Image was not rated, will use the means from the data set instead to impute the recordings",P08,22,4.833333333333333,6.333333333333333,1.0,7.0,7.0,7.0,4.666666666666667,5.666666666666667,-2.0,-3.0,5.0,1.0
9,26,,Male,Yes,Theortical aspects of Degree of Freedom for robots. CAN to Hardware tsting for robotic arm to test steering modules for Ford vehicles at Cologne ,A,03/06,10:00,✔,A piece fell during the SS interaction ,P09,26,6.333333333333333,6.333333333333333,5.0,5.0,7.0,7.0,6.333333333333333,6.333333333333333,0.0,0.0,2.0,-1.0
10,24,,Male,Yes,SCARA Robot,C,03/06,14:00,✔,"The robot stopped for sisyphus, I had to redo stack because the material was not properly placed",P10,24,4.5,5.333333333333333,7.0,7.0,6.5,5.5,2.3333333333333335,4.666666666666667,3.0,-5.0,-1.0,2.0
11,23,,Female,Yes,"During my bachelors, we did pick and place an object from running conveyor belt using industrial robot which is in our university",B,03/06,16:00,✔,The sisyphus never concluded 1 loop and stopped because the robot was moved too fast,P11,23,5.5,4.5,3.0,6.0,5.0,3.5,6.666666666666667,4.666666666666667,0.0,-4.0,1.0,0.0
12,25,,Male,Yes,I work in robotics research,A,04/06,15:00,✔,----------------------------------------------------------------,P12,25,4.833333333333333,5.5,4.0,6.0,5.0,4.0,5.0,6.333333333333333,-1.0,0.0,-1.0,-1.0
13,23,,Male,No,-,C,05/06,14:00,✔,"During images eeg recorder was disconnected, 2 files. The robotic experiments were standing",P13,23,4.0,5.5,1.0,5.0,5.0,6.0,4.333333333333333,5.333333333333333,-2.0,-3.0,-3.0,-1.0
14,26,,Male,Yes,My master thesis was Industrial Robots,B,08/06,10:00,✔,"Got a faulty slow verison of Stack, has to repreat the SS interaction experient ",P14,26,5.166666666666667,6.0,7.0,6.0,5.0,6.0,4.666666666666667,6.0,5.0,0.0,,
15,25,,Female,No,-,A,09/06,15:00,✔,----------------------------------------------------------------,P15,25,5.833333333333333,5.5,4.0,5.0,6.0,5.5,6.333333333333333,5.666666666666667,-1.0,-1.0,1.0,0.0
16,33,,Male,Yes,I had a Robot lab and I programmed it to pickup some objects,C,10/06,10:00,✔,The sisyphus  experiment was stopped due to fast movement ,P16,33,5.0,5.333333333333333,4.0,4.0,6.0,6.5,4.666666666666667,5.0,1.0,0.0,2.0,0.0
17,23,,Female,No,-,B,10/06,14:00,✔,Electrode 1 was turning bad for the image eeg exp,P17,23,4.833333333333333,5.166666666666667,2.0,4.0,5.0,5.0,5.666666666666667,5.666666666666667,1.0,0.0,-1.0,-2.0
18,24,,Male,No,-,A,10/06,16:00,✔,----------------------------------------------------------------,P18,24,5.333333333333333,5.5,4.0,6.0,7.0,7.0,4.666666666666667,4.333333333333333,0.0,-3.0,1.0,-1.0
19,25,,Female,No,- ,C,11/06,15:00,✔,----------------------------------------------------------------,P19,25,4.666666666666667,4.833333333333333,3.0,5.0,5.5,5.0,4.666666666666667,4.666666666666667,-1.0,-1.0,0.0,0.0
20,24,,Female,No,-,B,16/06,10:00,✔,Second Attemptof sisyphus is better ,P20,24,4.333333333333333,4.833333333333333,3.0,6.0,5.5,4.5,4.0,4.666666666666667,0.0,0.0,3.0,1.0
21,23,,Male,No,-,A,24/06,10:00,✔,----------------------------------------------------------------,P21,23,4.833333333333333,5.0,1.0,4.0,6.0,5.5,5.333333333333333,5.0,-1.0,1.0,-2.0,-2.0
